date,trigger_value,threshold,time_trigger,days_since_rebalance_trade,confirmation_days,execution_month_rebalance_count_before
2013-04-18,1.0,0.125,False,67,1,0
2017-08-24,0.39999999999999997,0.125,False,1060,1,0
2017-09-21,0.16701562491643443,0.125,False,19,1,0
2017-09-29,0.2864705445703022,0.125,False,5,1,0
2017-12-27,0.28665985764184154,0.125,False,57,1,0
2017-12-29,0.29271746156369505,0.125,False,1,1,0
2018-02-08,0.291360696535668,0.125,False,27,1,0
2018-03-27,0.28706448256362344,0.125,False,27,1,0
2018-04-02,0.28847797739417974,0.125,False,3,1,0
2018-05-14,0.29342836181086973,0.125,False,25,1,0
2018-05-31,0.28996247846483914,0.125,False,12,1,0
2018-07-30,0.2907634256663789,0.125,False,40,1,0
2018-08-01,0.2930602924486839,0.125,False,1,1,0
2018-08-31,0.28758507346361817,0.125,False,21,1,0
2018-10-11,0.2883297268316982,0.125,False,22,1,0
2018-12-17,0.29008430569006155,0.125,False,46,1,0
2018-12-28,0.28970693053834773,0.125,False,8,1,0
2019-01-31,0.5961046568026892,0.125,False,21,1,0
2019-02-28,0.1519288296154785,0.125,False,14,1,0
2019-03-29,0.12532878186661084,0.125,False,20,1,0
2019-04-30,0.27166236858575477,0.125,False,20,1,0
2019-05-31,0.15668882341166837,0.125,False,19,1,0
2019-06-28,0.35064665325690386,0.125,False,18,1,0
2019-07-31,0.333787062439694,0.125,False,22,1,0
2019-09-02,0.34754102170682866,0.125,False,22,1,0
2019-09-30,0.1318876991056506,0.125,False,18,1,0
2019-11-08,0.1309317504684805,0.125,False,23,1,0
2019-11-29,0.29506852854015186,0.125,False,14,1,0
2019-12-31,0.22884827403708086,0.125,False,21,1,0
2020-01-23,0.3447239596685377,0.125,False,15,1,0
2020-03-02,0.3528521823678228,0.125,False,20,1,0
2020-03-31,0.35404463166950184,0.125,False,20,1,0
2020-04-30,0.35292719410401335,0.125,False,20,1,0
2020-05-29,0.13557434600157947,0.125,False,17,1,0
2020-09-07,0.27245637392936206,0.125,False,68,1,0
2020-09-30,0.13967734807565743,0.125,False,16,1,0
2020-10-30,0.1703463165552282,0.125,False,15,1,0
2020-11-30,0.16194895287703717,0.125,False,20,1,0
2020-12-31,0.4274217285219435,0.125,False,22,1,0
2021-01-29,0.1306485051698127,0.125,False,19,1,0
2021-02-26,0.3338339152064895,0.125,False,14,1,0
2021-03-31,0.1843647872546779,0.125,False,22,1,0
2021-04-30,0.16049545009614602,0.125,False,20,1,0
2021-05-31,0.16488633612983586,0.125,False,17,1,0
2021-06-30,0.2944860184467118,0.125,False,20,1,0
2021-08-12,0.29558150276935286,0.125,False,30,1,0
2021-08-31,0.19818585287804188,0.125,False,12,1,0
2021-10-13,0.17178666426048986,0.125,False,23,1,0
2021-10-29,0.15536612723679694,0.125,False,11,1,0
2021-11-30,0.25864924915816784,0.125,False,21,1,0
2022-01-25,0.15672483523306857,0.125,False,38,1,0
2022-01-28,0.17901999978061192,0.125,False,2,1,0
2022-02-28,0.314894414598765,0.125,False,15,1,0
2022-03-31,0.3072990675608606,0.125,False,22,1,0
2022-04-29,0.4227748549590762,0.125,False,18,1,0
2022-05-31,0.19377353151491897,0.125,False,18,1,0
2022-06-30,0.19250007216421358,0.125,False,20,1,0
2022-07-29,0.3939289830042873,0.125,False,20,1,0
2022-08-31,0.34921791823817944,0.125,False,22,1,0
2022-09-30,0.25344791081468243,0.125,False,20,1,0
2022-10-31,0.21562575721785962,0.125,False,15,1,0
2022-11-30,0.396351478004409,0.125,False,21,1,0
2022-12-30,0.38793719262808846,0.125,False,21,1,0
2023-01-31,0.4239624650808541,0.125,False,15,1,0
2023-02-28,0.1887394883366969,0.125,False,19,1,0
2023-03-31,0.3306577830967652,0.125,False,22,1,0
2023-04-28,0.3554570074254532,0.125,False,18,1,0
2023-05-31,0.33690140390369006,0.125,False,19,1,0
2023-07-13,0.2034457491400742,0.125,False,28,1,0
2023-07-31,0.2597367360170366,0.125,False,11,1,0
2023-08-31,0.34017756131654303,0.125,False,22,1,0
2023-09-28,0.4216987129605472,0.125,False,19,1,0
2023-10-31,0.4182120873915941,0.125,False,16,1,0
2023-11-30,0.1999081019607626,0.125,False,21,1,0
2023-12-29,0.2003000172703872,0.125,False,20,1,0
2024-01-31,0.347895568678978,0.125,False,21,1,0
2024-03-18,0.24780999278994428,0.125,False,26,1,0
2024-03-29,0.259430179595161,0.125,False,8,1,0
2024-05-16,0.1925908694807688,0.125,False,28,1,0
2024-05-31,0.19170090555268024,0.125,False,10,1,0
2024-06-28,0.33826643956042884,0.125,False,18,1,0
2024-08-19,0.33532814335329975,0.125,False,35,1,0
2024-08-30,0.24803116773854278,0.125,False,8,1,0
2024-09-30,0.3118489428795314,0.125,False,18,1,0
2024-10-31,0.2028657124681478,0.125,False,17,1,0
2024-11-29,0.2696320376177608,0.125,False,20,1,0
2024-12-31,0.1562145778764152,0.125,False,21,1,0
2025-01-27,0.3290700294144166,0.125,False,17,1,0
2025-02-28,0.3797486608893362,0.125,False,17,1,0
2025-04-03,0.1740683063548758,0.125,False,23,1,0
2025-04-30,0.3344007881538142,0.125,False,17,1,0
