date,calendar_monthly_reference,portfolio_drift_10_monthly_cap1,gap_calendar_minus_drift
2013,0.02761043413281139,0.028302834238009833,-0.000692400105198443
2014,0.04449324788640596,0.044486314160067986,6.933726337976509e-06
2015,0.03119536294349512,0.03119259364476412,2.76929873099796e-06
2016,0.026074544357653995,0.02607294000182292,1.6043558310752104e-06
2017,0.01821738791997185,0.019280156509322577,-0.0010627685893507266
2018,0.04807947350553743,0.04994034370872358,-0.001860870203186149
2019,0.09270553532198522,0.061183551432022476,0.031521983889962746
2020,0.08035872763209029,0.053750909690501336,0.02660781794158895
2021,0.13290202086439917,0.10292751725689242,0.029974503607506753
2022,0.07543705537410994,0.07323819751323746,0.002198857860872483
2023,0.11419267085075147,0.1018084505991339,0.012384220251617561
2024,0.1273939925876526,0.17724877483779866,-0.04985478225014606
2025,0.04162749109947872,0.04104869547555068,0.0005787956239280412
2026,0.009961889154295411,0.03396713882918756,-0.02400524967489215
