date,trigger_value,threshold,time_trigger,days_since_rebalance_trade,confirmation_days,execution_month_rebalance_count_before
2013-04-24,1.0,0.1,False,71,5,0
2017-08-30,0.4000000000000001,0.1,False,1060,5,0
2017-09-27,0.16862845821788802,0.1,False,19,5,0
2017-10-12,0.27516053721014666,0.1,False,5,5,0
2018-02-14,0.2937014804886956,0.1,False,87,5,0
2018-05-18,0.2797094605923282,0.1,False,57,5,0
2018-06-05,0.2805373365718862,0.1,False,11,5,0
2018-08-17,0.2527431255131164,0.1,False,51,5,0
2018-08-31,0.5217391304347826,0.1,False,9,5,0
2018-10-17,0.28884070198309086,0.1,False,26,5,0
2019-01-24,0.4165579985986796,0.1,False,68,5,0
2019-02-26,0.3470850160772445,0.1,False,17,5,0
2019-03-28,0.13129399382143167,0.1,False,21,5,0
2019-04-10,0.13873484900273694,0.1,False,7,5,0
2019-05-07,0.29157388303811693,0.1,False,15,5,0
2019-05-31,0.1530750625308984,0.1,False,17,5,0
2019-06-28,0.34539765823035024,0.1,False,18,5,0
2019-08-02,0.32522519967224883,0.1,False,24,5,0
2019-09-06,0.3850200183741695,0.1,False,24,5,0
2019-11-14,0.2966077932316404,0.1,False,42,5,0
2019-11-29,0.179507382385076,0.1,False,10,5,0
2019-12-31,0.2275354267012119,0.1,False,21,5,0
2020-02-04,0.3465245269545974,0.1,False,17,5,0
2020-03-06,0.3543966818541647,0.1,False,22,5,0
2020-03-31,0.3521935601835895,0.1,False,16,5,0
2020-04-30,0.35193373167801506,0.1,False,20,5,0
2020-05-29,0.1359155572015231,0.1,False,17,5,0
2020-08-10,0.11258030774726195,0.1,False,48,5,0
2020-08-31,0.13227773986702496,0.1,False,14,5,0
2020-09-30,0.4366719739195315,0.1,False,21,5,0
2020-11-04,0.3045179251793697,0.1,False,18,5,0
2020-12-15,0.28367275288451155,0.1,False,28,5,0
2021-01-13,0.1986617319353148,0.1,False,19,5,0
2021-02-18,0.4083816992383042,0.1,False,20,5,0
2021-04-16,0.16905976500915953,0.1,False,39,5,0
2021-06-23,0.18878659685637333,0.1,False,43,5,0
2021-07-01,0.26988686703155546,0.1,False,5,5,0
2021-07-30,0.21438838766613463,0.1,False,20,5,0
2021-08-31,0.40701267493848037,0.1,False,21,5,0
2021-10-19,0.27409930394568904,0.1,False,27,5,0
2021-11-11,0.19961662896163443,0.1,False,16,5,0
2021-12-08,0.33725793945318566,0.1,False,18,5,0
2022-02-23,0.19862530808449025,0.1,False,48,5,0
2022-03-14,0.41201702422748004,0.1,False,12,5,0
2022-04-11,0.33698827880890064,0.1,False,17,5,0
2022-04-29,0.19298487569363737,0.1,False,13,5,0
2022-05-31,0.19446395648881362,0.1,False,18,5,0
2022-06-30,0.19179071807060838,0.1,False,20,5,0
2022-07-29,0.39381712247612044,0.1,False,20,5,0
2022-08-31,0.3520928735388351,0.1,False,22,5,0
2022-09-30,0.2524863403622947,0.1,False,20,5,0
2022-11-03,0.20138460690188892,0.1,False,18,5,0
2022-11-30,0.43697689277794777,0.1,False,18,5,0
2022-12-30,0.38635096411313885,0.1,False,21,5,0
2023-01-31,0.42660313701290276,0.1,False,15,5,0
2023-02-28,0.18971401497531643,0.1,False,19,5,0
2023-05-25,0.32156811316791606,0.1,False,57,5,0
2023-07-25,0.34596391133100285,0.1,False,40,5,0
2023-08-25,0.33761551652031674,0.1,False,22,5,0
2023-09-12,0.3009881416813413,0.1,False,11,5,0
2023-09-28,0.18318948144290575,0.1,False,11,5,0
2023-10-31,0.4199154912739373,0.1,False,16,5,0
2023-12-01,0.3777467058990056,0.1,False,22,5,0
2023-12-29,0.3893590160174495,0.1,False,19,5,0
2024-01-31,0.34763147233888986,0.1,False,21,5,0
2024-03-22,0.3282365578000646,0.1,False,30,5,0
2024-03-29,0.3397835222682473,0.1,False,4,5,0
2024-05-22,0.1953209267974354,0.1,False,32,5,0
2024-06-04,0.18517428927732077,0.1,False,8,5,0
2024-06-28,0.33704431405874546,0.1,False,16,5,0
2024-08-28,0.41131138555366437,0.1,False,42,5,0
2024-09-04,0.2680694632904568,0.1,False,4,5,0
2024-09-30,0.3156141902673891,0.1,False,15,5,0
2024-11-06,0.18249560933363543,0.1,False,21,5,0
2024-12-05,0.3294352266903725,0.1,False,20,5,0
2024-12-31,0.33812369801574965,0.1,False,17,5,0
2025-01-27,0.3297310814689209,0.1,False,17,5,0
2025-02-28,0.3781846076278378,0.1,False,17,5,0
2025-04-10,0.3333086336106869,0.1,False,27,5,0
2025-05-09,0.16078026758785052,0.1,False,17,5,0
2025-05-30,0.1947282245960114,0.1,False,14,5,0
2025-06-30,0.19667276063160766,0.1,False,19,5,0
2025-07-31,0.26597034332123953,0.1,False,22,5,0
2025-08-29,0.2888866366644278,0.1,False,20,5,0
2025-09-30,0.2911656770380166,0.1,False,21,5,0
2025-10-31,0.25717859935846643,0.1,False,16,5,0
2025-11-28,0.19462204790972304,0.1,False,19,5,0
2025-12-31,0.28731696769834175,0.1,False,22,5,0
2026-01-30,0.20430544975483655,0.1,False,19,5,0
2026-02-27,0.3392594891617407,0.1,False,13,5,0
2026-04-02,0.18946086100290685,0.1,False,23,5,0
2026-04-30,0.38785034738568674,0.1,False,18,5,0
2026-07-06,0.18479865367546272,0.1,False,42,5,0
2026-07-31,0.26442059395195794,0.1,False,18,5,0
