er_group,conv_group,mean,median,count
low,low,0.002532454753857122,0.0016943126984485524,266
low,mid,0.00038053002554219717,0.001846722068328699,277
low,high,0.00029020190378002724,0.0022790912162723442,280
mid,low,0.0023608546749325217,0.0005938032286392225,260
mid,mid,0.0005569094518947517,0.000560852495793629,259
mid,high,-0.003647048345896597,0.0014873574615765772,263
high,low,0.008014319879437437,0.005757052389176787,277
high,mid,0.006027669724942485,0.004674711907787676,260
high,high,0.006351397038541435,0.004774958422430586,258
