er_group,com_group,mean,median,count
low,low,-0.0014023487382699993,0.0017291066282421053,1557
low,mid,0.001824122481073168,0.0018597442963278477,1374
low,high,0.0015925384691033038,0.0017084282460135825,1067
mid,low,0.0006356592869034565,0.001858045336306402,1395
mid,mid,0.0013280019112774275,0.002225090611872038,1374
mid,high,0.0014235473641919104,0.0012679040030229016,1230
high,low,0.003374777301000311,0.0025937558311385223,1046
high,mid,0.005814995385547308,0.004189782931319108,1252
high,high,0.007527452654077397,0.006628502561012439,1703
