er_group,conv_group,mean,median,count
low,low,0.0034949651839014904,0.001874766576741571,1292
low,mid,0.000915814531877782,0.0021468263882632455,1302
low,high,-0.002625184963008711,0.0014236344159432868,1404
mid,low,0.0032326456037223253,0.0015077324567684958,1346
mid,mid,0.00031037927313492636,0.0011695327670524502,1388
mid,high,-0.00025262041457705195,0.0029850746268658135,1265
high,low,0.006720750665061207,0.004954269012217849,1360
high,mid,0.004969789740263785,0.004169973458724385,1310
high,high,0.005994739057262632,0.004855393709098488,1331
