mom5_group,com_group,mean,median,count
low,low,0.005267728096178635,0.00416512975863792,60
low,mid,0.009307662669461769,0.004216522047543303,70
low,high,0.009165488716869775,0.009010889069144379,118
mid,low,0.0021385039093499074,0.002823861630780078,81
mid,mid,0.007097470359011058,0.004657179818887469,85
mid,high,0.0024983148236376184,0.004486540378863646,63
high,low,0.0115246756357907,0.007885657959586068,53
high,mid,0.006155716018928159,0.0,97
high,high,0.008359773227289712,0.006576243321002817,175
