mom5_group,com_group,mean,median,count
low,low,0.00721044799817884,0.004429945054944984,266
low,mid,0.005492278111125722,0.0048731295694859345,326
low,high,0.008789711593103117,0.008443135350243547,592
mid,low,0.001482776749544899,0.0021739130434783593,437
mid,mid,0.005832604417411876,0.004715270221254952,391
mid,high,0.005289476616182621,0.0051403716884144135,303
high,low,0.0044821311770741985,0.003960396039603964,333
high,mid,0.006259550335019633,0.003835423942570415,544
high,high,0.007995622678919892,0.0057558246668143465,824
