arm,fee_bps_one_side,start,end,days,annual_return,sharpe,max_drawdown,is_annual_return,is_sharpe,oos_annual_return,oos_sharpe,annual_turnover_sum_abs,switches
B0_core4,1.0,2014-01-02,2026-08-14,3068,0.3344526118113791,1.2383242854200656,-0.2579467007454501,0.3060969306595782,1.2377583370346532,0.4081334660239546,1.2648281117085953,46.49022164276402,283
B0_core4,5.0,2014-01-02,2026-08-14,3068,0.3098919953565198,1.1668761696561993,-0.2622193265943882,0.28243798792513863,1.1612458003645645,0.3811927058172533,1.2017947816137189,46.49022164276402,283
S0_static_current,1.0,2014-01-02,2026-08-14,3068,0.1731593708976582,0.6618000312141661,-0.509945124773147,0.12977198210810648,0.5645164319346192,0.2891691796984466,0.8648544267734251,67.1890482398957,409
S0_static_current,5.0,2014-01-02,2026-08-14,3068,0.14200668151329543,0.576842406737991,-0.528156235331005,0.10080600256914862,0.47530004334582704,0.25198670692699743,0.7864598200536332,67.1890482398957,409
D0_size_only,1.0,2014-01-02,2026-08-14,3068,0.25788180156806084,0.9285545551749816,-0.50113410491812,0.2679542197459457,1.02256621211153,0.2330269742596789,0.7716987724836621,56.511082138200784,344
D0_size_only,5.0,2014-01-02,2026-08-14,3068,0.22976792047117378,0.8513836721059111,-0.5302349711288218,0.24142972070587776,0.9433205703815185,0.20106456755138957,0.6967225943034908,56.511082138200784,344
D1_positive_top5,1.0,2014-01-02,2026-08-14,3068,0.3012644669179376,1.0403800956058036,-0.4365653465553355,0.2830571815409093,1.0882596756123712,0.3479644540079889,0.9951076328370522,54.211212516297266,330
D1_positive_top5,5.0,2014-01-02,2026-08-14,3068,0.2733601696197643,0.9667489509104739,-0.4710883853777308,0.2579644504769174,1.012374406047414,0.3127153225667594,0.9228029394413002,54.211212516297266,330
D2_median_core_top3,1.0,2014-01-02,2026-08-14,3068,0.271562987465952,0.9671121724721333,-0.5023832523795004,0.2437941343561929,0.9789407360461706,0.34379557196117694,0.9863529175786498,54.53976531942634,332
D2_median_core_top3,5.0,2014-01-02,2026-08-14,3068,0.24413753531200388,0.8925787311494664,-0.53252006156789,0.21923659354113134,0.9011955412907203,0.308698031916808,0.9143675502926278,54.53976531942634,332
D3_best_core_top2,1.0,2014-01-02,2026-08-14,3068,0.2671064808040562,0.9790002762668475,-0.4055415118867144,0.20550808462306214,0.8655476095452688,0.43539023591746084,1.2176808272421353,51.089960886571056,311
D3_best_core_top2,5.0,2014-01-02,2026-08-14,3068,0.2414773665544525,0.9065586355384656,-0.4383286408981786,0.18256829382297557,0.7895568161925057,0.40206596590941257,1.1494090141709337,51.089960886571056,311
