selector,sharpe_D,delta_D,sharpe_V,delta_V,min_DV_delta,sharpe_DV,sharpe_T_not_used_for_selection,delta_T_not_used_for_selection,satellite_days
P60_TOP5,1.509108363545654,0.07198327920433956,0.9373319505289354,-0.05667961602367999,-0.05667961602367999,1.2486865898247037,0.9704942425377346,-0.2943338691708607,964
ALIGN_TOP3,1.5031472956533256,0.06602221131201125,0.9083470814921676,-0.08566448506044777,-0.08566448506044777,1.2317836241313016,1.0895196124028206,-0.17530849930577475,842
MEDIAN_TOP3,1.5031472956533256,0.06602221131201125,0.9083470814921676,-0.08566448506044777,-0.08566448506044777,1.2317836241313016,1.0895196124028206,-0.17530849930577475,842
RISK_MEDIAN_TOP3,1.4997517265679885,0.06262664222667413,0.8796488208405732,-0.11436274571204219,-0.11436274571204219,1.2173651591363122,1.117246912667451,-0.14758119904114442,833
BEST_TOP2,1.4353304904494306,-0.0017945938918837445,0.8369677172402716,-0.15704384931234372,-0.15704384931234372,1.1623098587783387,1.406502652321107,0.14167454061251172,662
