block_days,replicates,observed_sharpe_delta,bootstrap_mean,probability_delta_positive,q025,q05,median,q95,q975
20,3000,0.05092136036044659,0.052934334904844775,0.7353333333333333,-0.11943653836275525,-0.09036141200253338,0.05363548757899239,0.1902954585354675,0.216494826564186
60,3000,0.05092136036044659,0.07476719155369543,0.8293333333333334,-0.08268558724679505,-0.05451562731392315,0.07554279383514295,0.2025591306254874,0.23022061781091466
120,3000,0.05092136036044659,0.07673275490960932,0.8623333333333333,-0.05762990140968132,-0.03497685286109495,0.07507476082140008,0.1941752505753917,0.21827695616803766
