year,baseline,candidate,candidate_minus_baseline
2014,0.7677552666581031,0.7266555005668982,-0.041099766091204915
2015,0.39635776312980187,0.4052218187126244,0.00886405558282255
2016,0.14299272484202374,0.21666899285387453,0.07367626801185079
2017,0.24303199599157344,0.21666948357137672,-0.026362512420196715
2018,0.286836138780572,0.22956029424483737,-0.057275844535734644
2019,0.42816920631941713,0.5149831470688644,0.08681394074944726
2020,0.21398539300393304,0.23949223452964885,0.025506841525715807
2021,0.06184614235334007,0.07526094347539525,0.013414801122055175
2022,0.2282291014130471,0.18499301117062306,-0.04323609024242403
2023,0.09325641293319364,0.1994203507780581,0.10616393784486444
2024,0.6931222879592331,0.6344433836141616,-0.0586789043450715
2025,0.5095569756768099,0.6661204676319976,0.1565634919551877
2026,0.176127385233807,0.13847904778459963,-0.03764833744920737
