year,baseline,candidate,candidate_minus_baseline
2014,0.7677552666581031,0.6605156528342269,-0.10723961382387626
2015,0.39635776312980187,0.500899955984325,0.10454219285452315
2016,0.14299272484202374,0.14553617128273588,0.002543446440712138
2017,0.24303199599157344,0.2712761054892543,0.028244109497680858
2018,0.286836138780572,0.286836138780572,0.0
2019,0.42816920631941713,0.5893498804234887,0.16118067410407155
2020,0.21398539300393304,0.2761352234837646,0.06214983047983158
2021,0.06184614235334007,0.039269179389140874,-0.0225769629641992
2022,0.2282291014130471,0.1625125620725245,-0.06571653934052257
2023,0.09325641293319364,0.294681039521707,0.20142462658851334
2024,0.6931222879592331,0.6388503810374804,-0.054271906921752766
2025,0.5095569756768099,0.6598963068906754,0.15033933121386545
2026,0.176127385233807,0.12015531373596056,-0.05597207149784644
