year,B0_core4,S0_static_current,D0_size_only,D1_positive_top5,D2_median_core_top3,D3_best_core_top2
2014,0.7677552666581031,0.6847309455849915,0.8583152075233449,0.8583152075233449,0.8583152075233449,0.8583152075233449
2015,0.39635776312980187,0.33590735400367655,0.8362526474673231,0.8396591759570791,0.8080985461397325,0.3819195619790505
2016,0.14299272484202374,-0.025389176510864364,0.013732151117975766,0.11536157120636581,0.10794158549017374,0.14299272484202374
2017,0.24303199599157344,0.027456857671369184,0.16082183872050404,0.24424512686067446,0.24424512686067446,0.25567475864302414
2018,0.286836138780572,0.049000860771838406,0.29724691968041284,0.286836138780572,0.286836138780572,0.286836138780572
2019,0.42816920631941713,0.25099089902050586,0.8233294859165816,0.7028476436011586,0.6548626969294093,0.42816920631941713
2020,0.21398539300393304,0.309693145013999,-0.039182113551345266,0.02362190370152817,-0.08024454535905556,-0.024788886018177192
2021,0.06184614235334007,-0.11120899838789466,-0.0431065372599877,-0.025075526182973595,-0.12748591409317545,-0.032692263163282
2022,0.2282291014130471,-0.1604724893803101,-0.09696547402570821,-0.1574794130845697,-0.15731110777677193,-0.20464269754668551
2023,0.09325641293319364,0.2945140436367706,0.0630930886206813,0.36727254565349554,0.3020342655122732,0.12649499639373007
2024,0.6931222879592331,-0.011526620756219241,0.23320033416056996,0.2861609051963996,0.2913414881865415,0.5184740627130551
2025,0.5095569756768099,0.8548961324785185,0.4940856974786574,0.10075931660044102,0.20237215828954302,0.4902453134680045
2026,0.176127385233807,0.01874838576254967,0.057444470927800584,0.4586268046701867,0.38168244001690743,0.3780442596158855
