date,core,raw_satellite_budget,weighted_corr60,scale,actual_satellite_budget
2014-07-23,510300.SH,0.15,0.9465899848414032,0.10682003031719356,0.016023004547579035
2014-07-24,510300.SH,0.15,0.9512729830855559,0.09745403382888829,0.014618105074333242
2014-07-25,510300.SH,0.15,0.9524038777161805,0.09519224456763897,0.014278836685145846
2014-07-28,510300.SH,0.15,0.9584756450391065,0.08304870992178692,0.012457306488268038
2014-07-29,510300.SH,0.15,0.9632996951908603,0.07340060961827932,0.011010091442741898
2014-07-30,510300.SH,0.15,0.9632441200466405,0.07351175990671899,0.011026763986007848
2014-07-31,510300.SH,0.15,0.964098494355612,0.07180301128877598,0.010770451693316396
2014-08-01,510300.SH,0.15,0.9667110177926784,0.06657796441464314,0.00998669466219647
2014-08-04,510300.SH,0.15,0.9694184440358982,0.06116311192820367,0.00917446678923055
2014-08-05,510300.SH,0.15,0.9659302821712665,0.06813943565746694,0.010220915348620041
2014-08-06,510300.SH,0.15,0.9886375175890333,0.022724964821933424,0.0034087447232900134
2014-08-08,510300.SH,0.15,0.9296679493154812,0.1406641013690375,0.021099615205355627
2014-08-11,510300.SH,0.15,0.9851162306435447,0.0297675387129106,0.00446513080693659
2014-08-12,510300.SH,0.15,0.9303371914669413,0.13932561706611746,0.020898842559917617
2014-08-13,510300.SH,0.15,0.9262001336172366,0.14759973276552674,0.02213995991482901
2014-08-14,510300.SH,0.15,0.927379715718311,0.14524056856337797,0.021786085284506696
2014-08-15,510300.SH,0.15,0.9298082036620945,0.14038359267581102,0.02105753890137165
2014-08-18,510300.SH,0.15,0.9271015755443278,0.14579684891134437,0.021869527336701656
2014-08-19,510300.SH,0.15,0.9274432428819049,0.14511351423619012,0.021767027135428517
2014-08-20,159915.SZ,0.15,0.6896485669619429,0.6207028660761142,0.09310542991141714
2014-09-19,510300.SH,0.15,0.9821346164900052,0.03573076701998956,0.0053596150529984345
2014-10-30,510300.SH,0.15,0.9837355209904587,0.03252895801908262,0.004879343702862393
2014-10-31,510300.SH,0.15,0.9843600278959977,0.031279944208004506,0.0046919916312006755
2014-11-03,510300.SH,0.15,0.7559340150256104,0.48813196994877917,0.07321979549231687
2014-11-04,510300.SH,0.15,0.981913666495657,0.03617266700868593,0.00542590005130289
2014-11-21,510300.SH,0.15,0.9804477716697506,0.039104456660498776,0.005865668499074816
2014-11-24,510300.SH,0.15,0.9810018335662166,0.03799633286756676,0.005699449930135014
2014-11-25,510300.SH,0.15,0.9807418166792201,0.038516366641559774,0.0057774549962339656
2014-11-26,510300.SH,0.15,0.9765038354849598,0.04699232903008044,0.007048849354512065
2014-11-27,510300.SH,0.15,0.9742846717738097,0.05143065645238054,0.007714598467857081
2014-11-28,510300.SH,0.15,0.9170220062931781,0.1659559874136438,0.02489339811204657
2014-12-01,510300.SH,0.15,0.9173492677466502,0.1653014645066997,0.024795219676004954
2014-12-02,510300.SH,0.15,0.9310395219373618,0.13792095612527633,0.02068814341879145
2014-12-03,510300.SH,0.15,0.9281313526973298,0.14373729460534035,0.02156059419080105
2014-12-04,510300.SH,0.15,0.9496459245611004,0.10070815087779916,0.015106222631669873
2014-12-05,510300.SH,0.15,0.9429021164637524,0.11419576707249512,0.017129365060874268
2014-12-08,510300.SH,0.15,0.9504767235982698,0.09904655280346031,0.014856982920519046
2014-12-09,510300.SH,0.15,0.9615127759788809,0.0769744480422383,0.011546167206335745
2014-12-10,510300.SH,0.15,0.9611250894002943,0.07774982119941143,0.011662473179911714
2014-12-11,510300.SH,0.15,0.9294631828689603,0.1410736342620793,0.021161045139311895
2014-12-12,510300.SH,0.15,0.9293447765186376,0.14131044696272488,0.02119656704440873
2014-12-15,510300.SH,0.15,0.9758026452256389,0.04839470954872227,0.00725920643230834
2014-12-16,510300.SH,0.15,0.950299643420678,0.09940071315864407,0.01491010697379661
2014-12-17,510300.SH,0.15,0.9479194119219146,0.10416117615617071,0.015624176423425605
2014-12-18,510300.SH,0.15,0.9475462032702731,0.10490759345945389,0.015736139018918082
2014-12-19,510300.SH,0.15,0.9473250411470135,0.1053499177059729,0.015802487655895935
2014-12-22,510300.SH,0.15,0.9337451853824976,0.13250962923500476,0.019876444385250713
2014-12-23,510300.SH,0.15,0.9364766493334463,0.12704670133310736,0.019057005199966105
2014-12-24,510300.SH,0.15,0.9395748658581007,0.12085026828379863,0.018127540242569795
2014-12-25,510300.SH,0.15,0.9415259681045977,0.11694806379080469,0.017542209568620702
2014-12-26,510300.SH,0.15,0.9445802724206666,0.11083945515866689,0.01662591827380003
2014-12-29,510300.SH,0.15,0.943587693343491,0.11282461331301796,0.016923691996952695
2014-12-30,510300.SH,0.15,0.9406702855288119,0.11865942894237613,0.017798914341356418
2014-12-31,510300.SH,0.15,0.9411886273599128,0.11762274528017436,0.017643411792026154
2015-01-05,510300.SH,0.15,0.9728051222988658,0.054389755402268314,0.008158463310340246
2015-01-06,510300.SH,0.15,0.9731001640799278,0.053799671840144336,0.00806995077602165
2015-01-07,510300.SH,0.15,0.9729117409478298,0.05417651810434032,0.008126477715651047
2015-01-08,510300.SH,0.15,0.9736110281594496,0.05277794368110089,0.007916691552165133
2015-01-09,510300.SH,0.15,0.9406674448372567,0.11866511032548654,0.01779976654882298
2015-01-12,510300.SH,0.15,0.9402054175665312,0.1195891648669376,0.01793837473004064
2015-01-13,510300.SH,0.15,0.9400214259896775,0.11995714802064494,0.01799357220309674
2015-01-14,510300.SH,0.15,0.9396382466834026,0.12072350663319487,0.018108525994979228
2015-01-15,510300.SH,0.15,0.9406253511972867,0.11874929760542652,0.017812394640813977
2015-01-16,510300.SH,0.15,0.940540876999882,0.11891824600023604,0.017837736900035404
2015-03-30,510300.SH,0.15,0.9874961748960391,0.025007650207921728,0.003751147531188259
2015-04-01,510300.SH,0.15,0.7660372922926775,0.46792541541464505,0.07018881231219676
2015-04-02,510300.SH,0.15,0.771397277791514,0.457205444416972,0.0685808166625458
2015-04-03,159915.SZ,0.15,0.6130253038647443,0.7739493922705114,0.1160924088405767
2015-04-07,159915.SZ,0.15,0.625633689509966,0.748732620980068,0.11230989314701019
2015-04-08,510300.SH,0.15,0.7649164786042383,0.47016704279152344,0.07052505641872851
2015-04-09,510300.SH,0.15,0.7660400584682558,0.4679198830634883,0.07018798245952325
2015-04-10,510300.SH,0.15,0.7651010727904459,0.46979785441910815,0.07046967816286621
2015-04-15,510300.SH,0.15,0.7740313710026391,0.45193725799472184,0.06779058869920827
2015-04-16,510300.SH,0.15,0.9457453007322435,0.108509398535513,0.01627640978032695
2015-04-17,510300.SH,0.15,0.944692060209639,0.11061587958072194,0.01659238193710829
2015-04-20,510300.SH,0.15,0.988974280113342,0.02205143977331603,0.003307715965997404
2015-04-21,510300.SH,0.15,0.7104457726240803,0.5791084547518395,0.08686626821277592
2015-04-22,510300.SH,0.15,0.9437982419263561,0.11240351614728783,0.016860527422093173
2015-04-23,510300.SH,0.15,0.9360980616962631,0.12780387660747383,0.019170581491121073
2015-04-27,510300.SH,0.15,0.9797926737783551,0.04041465244328979,0.006062197866493468
2015-04-28,510300.SH,0.15,0.9402674431118795,0.11946511377624103,0.017919767066436155
2015-04-29,510300.SH,0.15,0.980346852596066,0.03930629480786796,0.005895944221180193
2015-05-04,510300.SH,0.15,0.9796366285588305,0.04072674288233902,0.006109011432350852
2015-05-05,510300.SH,0.15,0.9818185985493155,0.03636280290136895,0.005454420435205343
2015-06-04,159915.SZ,0.15,0.689881228692249,0.620237542615502,0.0930356313923253
2015-06-05,159915.SZ,0.15,0.6719402124761522,0.6561195750476956,0.09841793625715434
2015-06-08,510300.SH,0.15,0.7812035437118927,0.4375929125762146,0.06563893688643219
2015-06-09,510300.SH,0.15,0.7799696408045745,0.4400607183908509,0.06600910775862763
2015-06-10,159915.SZ,0.15,0.6795331053652772,0.6409337892694456,0.09614006839041683
2015-06-11,159915.SZ,0.15,0.6789800286458363,0.6420399427083274,0.09630599140624911
2015-06-12,159915.SZ,0.15,0.6778104032120369,0.6443791935759262,0.09665687903638893
2015-06-15,510300.SH,0.15,0.783545286904443,0.43290942619111394,0.06493641392866709
2015-06-16,510300.SH,0.15,0.7957288578098193,0.40854228438036144,0.06128134265705421
2015-06-17,510300.SH,0.15,0.7949029827718724,0.41019403445625513,0.061529105168438264
2015-06-18,510300.SH,0.15,0.8089215831342716,0.3821568337314567,0.0573235250597185
2015-06-19,513100.SH,0.15,-0.014590484031539322,1.0,0.15
2015-12-23,510300.SH,0.15,0.957193299964428,0.08561340007114393,0.01284201001067159
2015-12-29,510300.SH,0.15,0.9558294244085667,0.08834115118286667,0.013251172677430001
2015-12-30,159915.SZ,0.15,0.8204710973815653,0.35905780523686937,0.0538586707855304
2016-07-11,159915.SZ,0.15,0.9531511771942783,0.09369764561144334,0.0140546468417165
2016-07-12,510300.SH,0.15,0.902955000012101,0.1940899999757979,0.029113499996369682
2016-07-13,510300.SH,0.15,0.9028421888918291,0.1943156222163418,0.029147343332451267
2016-07-14,159915.SZ,0.15,0.6653108149093905,0.669378370181219,0.10040675552718285
2016-07-15,510300.SH,0.15000000000000002,0.702954666242041,0.5940906675159181,0.08911360012738773
2016-07-18,510300.SH,0.15,0.7882522780547656,0.4234954438904688,0.06352431658357031
2016-07-19,159915.SZ,0.15,0.9422958833871216,0.11540823322575688,0.01731123498386353
2016-07-21,513100.SH,0.15,0.20206810495382002,1.0,0.15
2016-07-22,513100.SH,0.15,0.21205743722416606,1.0,0.15
2016-08-16,513100.SH,0.15,0.5420033553117071,0.9159932893765859,0.13739899340648787
2016-08-17,510300.SH,0.15,0.6070801512800937,0.7858396974398125,0.11787595461597188
2016-08-18,510300.SH,0.15,0.6039503213738138,0.7920993572523725,0.11881490358785586
2016-08-19,510300.SH,0.15000000000000002,0.7961018977508745,0.40779620449825105,0.061169430674737665
2016-08-22,510300.SH,0.14999999999999997,0.8163831533705009,0.36723369325899813,0.055085053988849705
2016-08-23,513100.SH,0.15,0.5056939661841793,0.9886120676316414,0.1482918101447462
2016-08-25,510300.SH,0.15,0.6372915508357778,0.7254168983284444,0.10881253474926665
2016-08-26,510300.SH,0.15,0.635570060690256,0.728859878619488,0.10932898179292319
2016-08-29,510300.SH,0.15,0.848660648770172,0.302678702459656,0.045401805368948396
2016-08-30,510300.SH,0.15,0.6354072323741511,0.7291855352516978,0.10937783028775468
2016-08-31,510300.SH,0.15,0.6311122957884988,0.7377754084230024,0.11066631126345035
2016-09-01,510300.SH,0.15,0.8029514834026561,0.3940970331946878,0.05911455497920317
2016-09-02,510300.SH,0.15000000000000002,0.8045790838530296,0.39084183229394087,0.058626274844091136
2016-09-05,510300.SH,0.15,0.7540215421933688,0.4919569156132624,0.07379353734198936
2016-09-06,510300.SH,0.15,0.5091998150127796,0.9816003699744409,0.14724005549616612
2016-09-07,510300.SH,0.15,0.523682970415052,0.9526340591698961,0.1428951088754844
2016-09-08,159915.SZ,0.15,0.32888912358295486,1.0,0.15
2016-09-09,159915.SZ,0.15,0.30418997914566626,1.0,0.15
2016-09-19,513100.SH,0.15,0.6040252591367208,0.7919494817265584,0.11879242225898376
2016-09-20,513100.SH,0.15,0.5916023470161655,0.8167953059676689,0.12251929589515033
2016-09-21,513100.SH,0.15,0.603406453275766,0.7931870934484679,0.11897806401727018
2016-09-22,513100.SH,0.15,0.5835541421064779,0.8328917157870441,0.12493375736805662
2016-09-27,513100.SH,0.15,0.4955670864834996,1.0,0.15
2016-09-29,513100.SH,0.15,0.48416468084604514,1.0,0.15
2016-10-10,159915.SZ,0.15,0.44041024022389624,1.0,0.15
2016-10-18,513100.SH,0.15,0.3788220706837576,1.0,0.15
2016-10-19,513100.SH,0.15,0.37375609997487386,1.0,0.15
2016-10-20,513100.SH,0.15,0.3764949859254728,1.0,0.15
2016-10-21,510300.SH,0.15,0.8503081477930092,0.29938370441398154,0.04490755566209723
2016-10-24,510300.SH,0.15,0.9149812740719908,0.17003745185601837,0.025505617778402757
2016-10-25,510300.SH,0.15,0.9130840574029888,0.17383188519402237,0.026074782779103356
2016-10-26,510300.SH,0.15,0.9133848418493968,0.17323031630120633,0.025984547445180948
2016-10-27,510300.SH,0.15,0.9097011935826254,0.1805976128347493,0.027089641925212394
2016-10-28,510300.SH,0.15,0.9275144535324759,0.14497109293504828,0.021745663940257242
2016-10-31,510300.SH,0.15,0.9306631509296287,0.1386736981407426,0.02080105472111139
2016-11-01,510300.SH,0.15,0.9306975298155521,0.1386049403688958,0.02079074105533437
2016-11-02,510300.SH,0.15,0.9321502458312511,0.1356995083374979,0.020354926250624683
2016-11-03,510300.SH,0.15,0.9319643130414474,0.1360713739171051,0.020410706087565764
2016-11-04,510300.SH,0.15,0.932501660038091,0.13499667992381803,0.020249501988572702
2016-11-10,510300.SH,0.15,0.9372603365799722,0.12547932684005558,0.018821899026008337
2016-11-11,510300.SH,0.15,0.9380611567832263,0.12387768643354735,0.018581652965032103
2016-11-14,510300.SH,0.15,0.9393461922186525,0.12130761556269509,0.018196142334404263
2016-11-15,510300.SH,0.15,0.9350520477582638,0.12989590448347244,0.019484385672520865
2016-11-16,510300.SH,0.15,0.9403867841225814,0.11922643175483727,0.01788396476322559
2016-11-17,510300.SH,0.15,0.9429527771153431,0.11409444576931382,0.017114166865397074
2016-11-18,510300.SH,0.15,0.9319157663956695,0.13616846720866094,0.02042527008129914
2016-11-21,510300.SH,0.15,0.9247844209020943,0.15043115819581132,0.0225646737293717
2016-11-22,510300.SH,0.15,0.9331537505319062,0.13369249893618762,0.020053874840428143
2016-11-23,510300.SH,0.15,0.9313164243051061,0.13736715138978783,0.020605072708468175
2016-11-24,510300.SH,0.15,0.9312466341513392,0.13750673169732153,0.02062600975459823
2016-11-25,510300.SH,0.15,0.9335710087281275,0.13285798254374503,0.019928697381561753
2016-11-28,510300.SH,0.15,0.9476579365286051,0.10468412694278983,0.015702619041418474
2016-11-29,510300.SH,0.15,0.9201452243565639,0.15970955128687225,0.023956432693030837
2016-11-30,510300.SH,0.15,0.9232631633394438,0.1534736733211124,0.02302105099816686
2016-12-01,510300.SH,0.15,0.9213490184848627,0.15730196303027455,0.023595294454541182
2016-12-02,510300.SH,0.15,0.9223087501681256,0.15538249966374873,0.02330737494956231
2016-12-05,510300.SH,0.15,0.9316813649128086,0.13663727017438276,0.020495590526157414
2016-12-06,510300.SH,0.15,0.9314395280888874,0.13712094382222517,0.020568141573333774
2016-12-07,513100.SH,0.15,0.5766155433452751,0.8467689133094498,0.12701533699641746
2016-12-08,513100.SH,0.15,0.4035500897970002,1.0,0.15
2016-12-09,513100.SH,0.15,0.3808792343214485,1.0,0.15
2016-12-12,513100.SH,0.15,0.5663158404350979,0.8673683191298043,0.13010524786947064
2017-01-26,510300.SH,0.15,0.6857552318452046,0.6284895363095908,0.09427343044643861
2017-02-03,513100.SH,0.15,0.17455184241412053,1.0,0.15
2017-02-15,513100.SH,0.15,0.3504028452322039,1.0,0.15
2017-02-16,513100.SH,0.15,0.3458323126828195,1.0,0.15
2017-02-20,513100.SH,0.15,0.3667405493823678,1.0,0.15
2017-03-27,510300.SH,0.15,0.7088667489873086,0.5822665020253828,0.08733997530380741
2017-03-28,159915.SZ,0.15,0.2040247319521532,1.0,0.15
2017-05-25,513100.SH,0.15,0.11757527044671034,1.0,0.15
2017-05-26,513100.SH,0.15,0.10927699516065341,1.0,0.15
2017-05-31,513100.SH,0.15,0.10682738849978443,1.0,0.15
2017-06-01,510300.SH,0.14999999999999997,0.6676900623210779,0.6646198753578443,0.09969298130367663
2017-06-02,513100.SH,0.15,0.09087542934018668,1.0,0.15
2017-06-05,513100.SH,0.15,0.05643378323054822,1.0,0.15
2017-06-06,513100.SH,0.15000000000000002,0.24120166956217487,1.0,0.15000000000000002
2017-06-07,510300.SH,0.15,0.817039583727438,0.365920832545124,0.05488812488176859
2017-06-08,510300.SH,0.15,0.81823306959672,0.3635338608065599,0.05453007912098399
2017-06-16,510300.SH,0.15,0.8154775788832691,0.3690448422334618,0.055356726335019264
2017-06-19,510300.SH,0.15,0.8247526569721529,0.3504946860556941,0.052574202908354115
2017-07-07,510300.SH,0.15,0.905222817031719,0.18955436593656194,0.02843315489048429
2017-07-10,510300.SH,0.15,0.9040478299616661,0.1919043400766678,0.028785651011500168
2017-07-11,510300.SH,0.15,0.9077083652581446,0.18458326948371084,0.027687490422556627
2017-07-12,510300.SH,0.15,0.9049236888729305,0.19015262225413898,0.028522893338120844
2017-07-13,510300.SH,0.15,0.8512979892766389,0.2974040214467222,0.04461060321700833
2017-07-14,510300.SH,0.15,0.8537791113578413,0.2924417772843173,0.04386626659264759
2017-07-17,510300.SH,0.14999999999999997,0.6199678144329663,0.7600643711340673,0.11400965567011008
2017-07-18,510300.SH,0.15,0.8178678529766137,0.36426429404677263,0.05463964410701589
2017-07-19,510300.SH,0.15000000000000002,0.63959787401708,0.72080425196584,0.10812063779487602
2017-07-20,510300.SH,0.15,0.8319937586188242,0.3360124827623516,0.05040187241435274
2017-07-21,510300.SH,0.15,0.9206433731982422,0.15871325360351562,0.023806988040527343
2017-07-24,510300.SH,0.14999999999999997,0.6628935120311846,0.6742129759376307,0.10113194639064459
2017-07-25,510300.SH,0.15,0.6666959587565703,0.6666080824868594,0.09999121237302891
2017-07-26,513100.SH,0.14999999999999997,0.34721362056231897,1.0,0.14999999999999997
2017-07-27,513100.SH,0.15000000000000002,0.3706925042410808,1.0,0.15000000000000002
2017-07-28,513100.SH,0.15,0.37349801659898124,1.0,0.15
2017-07-31,510300.SH,0.15,0.6487235746723408,0.7025528506553185,0.10538292759829777
2017-08-01,510300.SH,0.15,0.6416248719727157,0.7167502560545687,0.1075125384081853
2017-08-02,513100.SH,0.15,0.3671116200946969,1.0,0.15
2017-08-03,513100.SH,0.14999999999999997,0.3680703023249324,1.0,0.14999999999999997
2017-08-04,513100.SH,0.15,0.5529557910521903,0.8940884178956194,0.1341132626843429
2017-08-07,513100.SH,0.14999999999999997,0.38355964610181215,1.0,0.14999999999999997
2017-08-08,513100.SH,0.14999999999999997,0.39644375820329925,1.0,0.14999999999999997
2017-09-11,159915.SZ,0.15,0.7281115475413359,0.5437769049173282,0.08156653573759923
2017-09-12,510300.SH,0.15,0.6181661215897691,0.7636677568204617,0.11455016352306925
2017-09-13,510300.SH,0.15,0.6285262029606374,0.7429475940787251,0.11144213911180877
2017-09-14,510300.SH,0.15,0.644545917925331,0.710908164149338,0.1066362246224007
2017-09-15,510300.SH,0.15,0.643508597261542,0.7129828054769161,0.10694742082153741
2017-09-18,510300.SH,0.15,0.6267914217429076,0.7464171565141848,0.11196257347712772
2017-09-19,159915.SZ,0.15,0.7322530560613826,0.5354938878772348,0.08032408318158522
2017-09-20,159915.SZ,0.15,0.7311890633476408,0.5376218733047184,0.08064328099570776
2017-09-21,159915.SZ,0.15,0.7353627300910045,0.529274539817991,0.07939118097269865
2017-09-22,159915.SZ,0.15,0.7343959319297213,0.5312081361405574,0.07968122042108361
2017-09-26,513100.SH,0.15,0.10869955085797767,1.0,0.15
2017-09-27,513100.SH,0.15,0.11447617583616981,1.0,0.15
2017-09-28,513100.SH,0.15,0.11369864783400783,1.0,0.15
2017-09-29,510300.SH,0.15,0.6491634316088416,0.7016731367823168,0.10525097051734751
2017-10-09,513100.SH,0.15,0.5772865876225172,0.8454268247549657,0.12681402371324485
2017-10-10,513100.SH,0.15,0.5814022213214459,0.8371955573571082,0.1255793336035662
2017-10-13,513100.SH,0.15,0.5728453854536562,0.8543092290926877,0.12814638436390316
2017-10-18,513100.SH,0.15,0.564077646586288,0.871844706827424,0.1307767060241136
2017-10-19,513100.SH,0.15,0.4439332579211813,1.0,0.15
2017-10-20,513100.SH,0.15,0.5635160660677951,0.8729678678644097,0.13094518017966145
2017-11-10,513100.SH,0.15,0.06581515091168263,1.0,0.15
2017-11-14,510300.SH,0.15,0.7444104868075349,0.5111790263849303,0.07667685395773954
2017-11-17,510300.SH,0.15,0.7032612567161469,0.5934774865677062,0.08902162298515592
2017-11-20,510300.SH,0.15,0.6995680619046271,0.6008638761907459,0.09012958142861188
2017-11-21,510300.SH,0.15,0.7375865983087817,0.5248268033824366,0.07872402050736549
2017-11-22,510300.SH,0.15,0.7304663083886218,0.5390673832227564,0.08086010748341345
2017-11-27,513100.SH,0.15,0.1305656294789703,1.0,0.15
2017-11-28,513100.SH,0.15,0.12679159904853537,1.0,0.15
2017-12-05,513100.SH,0.15,-0.005033226828078187,1.0,0.15
2017-12-06,513100.SH,0.15,0.03171012817141891,1.0,0.15
2017-12-07,513100.SH,0.15,0.0022622437430463013,1.0,0.15
2017-12-29,510300.SH,0.15,0.8360544986204232,0.3278910027591535,0.04918365041387302
2018-01-02,510300.SH,0.15,0.7330852864148032,0.5338294271703936,0.08007441407555904
2018-01-04,513100.SH,0.15,0.30160299241075955,1.0,0.15
2018-01-05,510300.SH,0.15,0.6295065262263079,0.7409869475473843,0.11114804213210763
2018-01-10,510300.SH,0.14999999999999997,0.7430137940143535,0.513972411971293,0.07709586179569393
2018-01-15,510300.SH,0.15,0.7398377478505895,0.5203245042988209,0.07804867564482314
2018-01-16,510300.SH,0.15,0.7459759770465191,0.5080480459069618,0.07620720688604428
2018-01-17,510300.SH,0.14999999999999997,0.7508075319316319,0.4983849361367363,0.07475774042051042
2018-01-18,510300.SH,0.15000000000000002,0.7519602153648588,0.4960795692702824,0.07441193539054237
2018-01-19,510300.SH,0.15,0.7564377193809935,0.48712456123801307,0.07306868418570196
2018-01-22,510300.SH,0.15000000000000002,0.763886183183463,0.47222763363307396,0.0708341450449611
2018-01-23,510300.SH,0.15000000000000002,0.7665816132995344,0.4668367734009311,0.07002551601013968
2018-01-24,510300.SH,0.15,0.7632480227342742,0.47350395453145167,0.07102559317971775
2018-01-25,510300.SH,0.14999999999999997,0.7640989363162085,0.471802127367583,0.07077031910513742
2018-01-26,510300.SH,0.15,0.753783736058049,0.4924325278839019,0.07386487918258529
2018-01-29,510300.SH,0.14999999999999997,0.7615333676391294,0.47693326472174125,0.07153998970826117
2018-01-30,513100.SH,0.15,0.23824216445022423,1.0,0.15
2018-01-31,510300.SH,0.14999999999999997,0.7739395489689833,0.45212090206203337,0.06781813530930499
2018-02-01,510300.SH,0.15,0.7676885859884055,0.464622828023189,0.06969342420347835
2018-02-02,510300.SH,0.15000000000000002,0.7674119849073401,0.46517603018531983,0.06977640452779799
2018-02-05,510300.SH,0.15,0.763125935886455,0.4737481282270899,0.07106221923406349
2018-09-26,513100.SH,0.15,0.2681125714537113,1.0,0.15
2019-01-31,510300.SH,0.15,0.7649398226119789,0.4701203547760422,0.07051805321640632
2019-02-01,513100.SH,0.15000000000000002,0.5218818021440916,0.9562363957118167,0.14343545935677254
2019-02-11,510300.SH,0.15,0.9490261987924499,0.10194760241510026,0.015292140362265038
2019-02-12,510300.SH,0.15,0.955074692071436,0.08985061585712795,0.013477592378569192
2019-02-13,510300.SH,0.15,0.9599130936370185,0.08017381272596302,0.012026071908894454
2019-02-14,510300.SH,0.15,0.9592620240138641,0.08147595197227187,0.01222139279584078
2019-02-25,159915.SZ,0.15,0.7673377325195466,0.46532453496090675,0.069798680244136
2019-03-15,159915.SZ,0.15,0.9621799342698958,0.07564013146020843,0.011346019719031264
2019-03-20,159915.SZ,0.15,0.9598082255219662,0.08038354895606759,0.012057532343410138
2019-03-21,159915.SZ,0.15,0.9361804998232067,0.12763900035358655,0.019145850053037983
2019-03-22,159915.SZ,0.15,0.9295232813997262,0.14095343720054765,0.021143015580082147
