arm,period,asset,name,holding_days,additive_log_excess_vs_B0
D1_positive_top5,IS,159915.SZ,创业板ETF,398,0.04807295366852263
D1_positive_top5,IS,510300.SH,沪深300ETF,293,0.009654927914801771
D1_positive_top5,IS,510500.SH,中证500ETF,128,0.29190362267807624
D1_positive_top5,IS,512400.SH,有色金属ETF,23,-0.13614832725330023
D1_positive_top5,IS,512660.SH,军工ETF,83,-0.27766016286971423
D1_positive_top5,IS,512690.SH,酒ETF,31,0.006714903811308389
D1_positive_top5,IS,512880.SH,证券ETF,65,0.05704872410317176
D1_positive_top5,IS,513050.SH,中概互联网ETF,18,0.04099823303297717
D1_positive_top5,IS,513100.SH,纳指ETF,608,0.038063713063938506
D1_positive_top5,IS,513180.SH,恒生科技ETF,5,0.035149743464987566
D1_positive_top5,IS,513500.SH,标普500ETF,15,-0.1074972286446016
D1_positive_top5,IS,515790.SH,光伏ETF,23,-0.1357005840605805
D1_positive_top5,IS,518880.SH,黄金ETF,497,0.03932792822238079
D1_positive_top5,IS,588000.SH,科创50ETF,5,-0.06473926767888787
D1_positive_top5,OOS,159326.SZ,电网设备ETF,14,0.08171157488371034
D1_positive_top5,OOS,159819.SZ,人工智能ETF,12,0.027788195503818072
D1_positive_top5,OOS,159870.SZ,化工ETF,6,-0.029164689355707686
D1_positive_top5,OOS,159915.SZ,创业板ETF,30,-0.024559050718786286
D1_positive_top5,OOS,510300.SH,沪深300ETF,5,0.006232296394256636
D1_positive_top5,OOS,510500.SH,中证500ETF,10,-0.08753098740895726
D1_positive_top5,OOS,512100.SH,中证1000ETF,15,-0.009873896586731375
D1_positive_top5,OOS,512400.SH,有色金属ETF,26,-0.048581008889240954
D1_positive_top5,OOS,512660.SH,军工ETF,17,0.09362233933277402
D1_positive_top5,OOS,512690.SH,酒ETF,12,-0.0351950140998212
D1_positive_top5,OOS,512880.SH,证券ETF,44,0.004397207855528132
D1_positive_top5,OOS,513050.SH,中概互联网ETF,43,0.13016580032570005
D1_positive_top5,OOS,513100.SH,纳指ETF,148,0.013044211275605178
D1_positive_top5,OOS,513120.SH,港股创新药ETF,59,-0.6022592078644509
D1_positive_top5,OOS,513180.SH,恒生科技ETF,10,0.021409301748455605
D1_positive_top5,OOS,513500.SH,标普500ETF,87,0.100541714162501
D1_positive_top5,OOS,515220.SH,煤炭ETF,18,0.025993862483695077
D1_positive_top5,OOS,515790.SH,光伏ETF,21,-0.1282378408450971
D1_positive_top5,OOS,515880.SH,通信ETF,40,0.19132807409071959
D1_positive_top5,OOS,518880.SH,黄金ETF,173,0.08832092922500506
D1_positive_top5,OOS,562500.SH,机器人ETF,5,-0.03983007165401949
D1_positive_top5,OOS,588000.SH,科创50ETF,20,0.01823463605391997
D1_positive_top5,OOS,588200.SH,科创芯片ETF,61,0.05063846565244667
D2_median_core_top3,IS,159915.SZ,创业板ETF,417,-0.01445985192207306
D2_median_core_top3,IS,510300.SH,沪深300ETF,298,0.006283093235828346
D2_median_core_top3,IS,510500.SH,中证500ETF,109,0.3058985280590703
D2_median_core_top3,IS,512400.SH,有色金属ETF,23,-0.13614832725330023
D2_median_core_top3,IS,512660.SH,军工ETF,79,-0.31891472944918625
D2_median_core_top3,IS,512690.SH,酒ETF,33,-0.03567100276981668
D2_median_core_top3,IS,512880.SH,证券ETF,49,-0.07993009029914189
D2_median_core_top3,IS,513050.SH,中概互联网ETF,18,0.04099823303297717
D2_median_core_top3,IS,513100.SH,纳指ETF,614,0.05456695065618366
D2_median_core_top3,IS,513180.SH,恒生科技ETF,5,0.035149743464987566
