arm,window_end,baseline_sharpe,candidate_sharpe,candidate_leads
S0_static_current,2017-02-09,1.4540269671948867,0.9862510734649247,False
S0_static_current,2017-03-10,1.3810988746224735,0.8582540592128466,False
S0_static_current,2017-04-12,1.3056827022020154,0.7431439574409939,False
S0_static_current,2017-05-12,1.2908910835518335,0.6761419779610162,False
S0_static_current,2017-06-14,1.4254494847049464,0.7106169785526986,False
S0_static_current,2017-07-13,1.3928318345356012,0.7260081715262632,False
S0_static_current,2017-08-11,1.4548039238056452,0.7823097627998471,False
S0_static_current,2017-09-11,1.406542605668259,0.7962598182297654,False
S0_static_current,2017-10-17,1.3728024167490775,0.787296514292522,False
S0_static_current,2017-11-15,1.3645578903168318,0.7361589251544776,False
S0_static_current,2017-12-14,1.4227297622514936,0.720379120795235,False
S0_static_current,2018-01-15,1.2372958520719182,0.5983599225039992,False
S0_static_current,2018-02-13,1.0413149850879846,0.40829028190961786,False
S0_static_current,2018-03-21,1.2067696362290994,0.43209743936706835,False
S0_static_current,2018-04-23,1.02571034652644,0.31632816333228964,False
S0_static_current,2018-05-24,0.960975963098168,0.12335203965936369,False
S0_static_current,2018-06-25,0.8026415163413967,-0.0156862579562194,False
S0_static_current,2018-07-24,0.9767902267868361,-0.13946513040008654,False
S0_static_current,2018-08-22,1.0619876777122914,0.036929791967232194,False
S0_static_current,2018-09-20,0.9995901922696834,-0.06285603247911806,False
S0_static_current,2018-10-29,0.9337135326197259,0.09466655971373622,False
S0_static_current,2018-11-27,0.7107791145950325,-0.1573710421064223,False
S0_static_current,2018-12-26,0.904081917284217,-0.007938415109561277,False
S0_static_current,2019-01-28,1.1881440744675429,0.1617201750595809,False
S0_static_current,2019-03-05,1.7605666807474154,0.4458752132236501,False
S0_static_current,2019-04-03,1.519580728631467,0.37199285552457095,False
S0_static_current,2019-05-08,1.3908133783601515,0.38988876600166816,False
S0_static_current,2019-06-06,1.3668763695489077,0.47505037935318206,False
S0_static_current,2019-07-08,1.3400332418897365,0.46265287575307845,False
S0_static_current,2019-08-06,1.4571805378313205,0.5333928605390312,False
S0_static_current,2019-09-04,1.4879558392561467,0.5050898244313983,False
S0_static_current,2019-10-11,1.4288361824419744,0.4462097170199809,False
S0_static_current,2019-11-11,1.4425227135533176,0.4587639757971268,False
S0_static_current,2019-12-10,1.4961353897077805,0.397570283650243,False
S0_static_current,2020-01-09,1.644824318759851,0.43402542533926525,False
S0_static_current,2020-02-17,1.6315083341924606,0.6225768806483467,False
S0_static_current,2020-03-17,1.2225823666520708,0.4819265856843505,False
S0_static_current,2020-04-16,1.341301036898031,0.4827701115031118,False
S0_static_current,2020-05-20,1.2966981963007067,0.6100204800267419,False
S0_static_current,2020-06-18,1.3207618462424113,0.7518221587005413,False
S0_static_current,2020-07-21,1.3344408446299667,0.651086813516961,False
S0_static_current,2020-08-19,1.144612929099091,0.6819515780258453,False
S0_static_current,2020-09-17,1.2127994633772934,0.7025458722427186,False
S0_static_current,2020-10-26,1.100124950673044,0.6009211436205326,False
S0_static_current,2020-11-24,1.1483382614893272,0.7233150727741238,False
S0_static_current,2020-12-23,1.1823032408451017,0.7107346683984782,False
S0_static_current,2021-01-22,1.2168340429158262,0.7428543803933136,False
S0_static_current,2021-03-01,1.0637568352369795,0.6455245962958126,False
