year,baseline,candidate,candidate_minus_baseline
2014,0.7677552666581031,0.7271787959412579,-0.040576470716845225
2015,0.39635776312980187,0.4160591201894328,0.019701357059630942
2016,0.14299272484202374,0.21088643297353826,0.06789370813151452
2017,0.24303199599157344,0.22411544682606044,-0.018916549165512997
2018,0.286836138780572,0.22897203951715017,-0.05786409926342184
2019,0.42816920631941713,0.4611459420302966,0.032976735710879446
2020,0.21398539300393304,0.2587372781155606,0.04475188511162753
2021,0.06184614235334007,-0.048498784086588476,-0.11034492643992855
2022,0.2282291014130471,0.19143293445424403,-0.036796166958803056
2023,0.09325641293319364,0.21668523373479154,0.1234288208015979
2024,0.6931222879592331,0.6068021431459478,-0.08632014481328532
2025,0.5095569756768099,0.6754595823888427,0.16590260671203283
2026,0.176127385233807,0.12938304474013496,-0.04674434049367204
