year,baseline,candidate,candidate_minus_baseline
2014,0.7677552666581031,0.7780726782757605,0.010317411617657424
2015,0.39635776312980187,0.46884564820556984,0.07248788507576798
2016,0.14299272484202374,0.1364948435625719,-0.006497881279451834
2017,0.24303199599157344,0.23156534257298422,-0.011466653418589212
2018,0.286836138780572,0.22785821899742253,-0.05897791978314948
2019,0.42816920631941713,0.560409452834407,0.1322402465149899
2020,0.21398539300393304,0.11277441702346458,-0.10121097598046846
2021,0.06184614235334007,-0.03281404816601241,-0.09466019051935248
2022,0.2282291014130471,0.2282291014130471,0.0
2023,0.09325641293319364,0.14312421502014128,0.04986780208694763
2024,0.6931222879592331,0.840469596875739,0.14734730891650583
2025,0.5095569756768099,0.6893498752183127,0.1797928995415028
2026,0.176127385233807,0.12850518452933835,-0.047622200704468653
