year,baseline,candidate,candidate_minus_baseline
2014,0.7677552666581031,0.7663965000915327,-0.001358766566570413
2015,0.39635776312980187,0.47787073791521806,0.08151297478541619
2016,0.14299272484202374,0.13876956482335867,-0.004223160018665073
2017,0.24303199599157344,0.22455404783044997,-0.01847794816112347
2018,0.286836138780572,0.23061582318382068,-0.056220315596751336
2019,0.42816920631941713,0.624643512948859,0.19647430662944187
2020,0.21398539300393304,0.17069254662307487,-0.043292846380858174
2021,0.06184614235334007,0.021548455562046875,-0.0402976867912932
2022,0.2282291014130471,0.18728572409824484,-0.04094337731480224
2023,0.09325641293319364,0.17358861565734784,0.0803322027241542
2024,0.6931222879592331,0.6031039186097158,-0.09001836934951735
2025,0.5095569756768099,0.6860403275338183,0.17648335185700836
2026,0.176127385233807,0.13860727092339964,-0.03752011431040736
