arm,fee_bps_one_side,start,end,days,annual_return,sharpe,max_drawdown,is_annual_return,is_sharpe,oos_annual_return,oos_sharpe,annual_turnover_sum_abs,switches,satellite_weight
overlay_D1_positive_top5,1.0,2014-01-02,2026-08-14,3068,0.33087739725779697,1.2473176136472965,-0.23346079090143712,0.30233003180296425,1.2299825139178315,0.4050831766112948,1.3008343776049054,48.42046936114733,169,0.25
overlay_D1_positive_top5,5.0,2014-01-02,2026-08-14,3068,0.3053677830310171,1.1713661893487581,-0.23748522655746196,0.2782674068148081,1.1515606942938716,0.3757249952192061,1.2287827078021096,48.42046936114733,169,0.25
overlay_D1_positive_top5,1.0,2014-01-02,2026-08-14,3068,0.32412680163403707,1.2105232741933591,-0.228093290888031,0.2972218464169858,1.1998897127565682,0.3939212419889615,1.2514080599885062,50.35071707953064,169,0.5
overlay_D1_positive_top5,5.0,2014-01-02,2026-08-14,3068,0.2977394391205683,1.1328852224262131,-0.23841887711483567,0.27278502782841496,1.1210294865825035,0.3623474053822886,1.175008505814403,50.35071707953064,169,0.5
overlay_D1_positive_top5,1.0,2014-01-02,2026-08-14,3068,0.3142374920382347,1.1360624391553373,-0.3063707076343173,0.2907904573826319,1.1507919335734926,0.3747919098695789,1.1355997783958092,52.28096479791395,169,0.75
overlay_D1_positive_top5,5.0,2014-01-02,2026-08-14,3068,0.28704996572026187,1.0594615747881433,-0.3346088107639522,0.2660099587430831,1.0728699760641032,0.3412429864706854,1.0597441492206692,52.28096479791395,169,0.75
overlay_D2_median_core_top3,1.0,2014-01-02,2026-08-14,3068,0.32285374998388505,1.2216534333180242,-0.2364706636174727,0.2920717710605405,1.198129655732359,0.4031308211341271,1.2884724107264338,48.5026075619296,172,0.25
overlay_D2_median_core_top3,5.0,2014-01-02,2026-08-14,3068,0.2974557896009711,1.1457464783000118,-0.240899425451089,0.268137989813539,1.1193711740798984,0.3738216905088929,1.217068878662073,48.5026075619296,172,0.25
overlay_D2_median_core_top3,1.0,2014-01-02,2026-08-14,3068,0.3084504133692725,1.1637272816561257,-0.2284548172916805,0.2769861843899699,1.1388228720649174,0.3906219454074731,1.2342700390954826,50.51499348109518,172,0.5
overlay_D2_median_core_top3,5.0,2014-01-02,2026-08-14,3068,0.2822927729350022,1.0859651104948769,-0.24589299485494898,0.252810759360768,1.0591666831835855,0.35914113868554853,1.1588251828145162,50.51499348109518,172,0.5
overlay_D2_median_core_top3,1.0,2014-01-02,2026-08-14,3068,0.2913223361445665,1.0737416801176618,-0.35574242321219984,0.26087980808447386,1.0638722409919004,0.3707578805293339,1.1213342468316687,52.527379400260756,172,0.75
overlay_D2_median_core_top3,5.0,2014-01-02,2026-08-14,3068,0.26448746189898076,0.9966626297323572,-0.3925285802942454,0.23649635658468404,0.9846243525003913,0.3373372423753338,1.0462420612426975,52.527379400260756,172,0.75
overlay_D3_best_core_top2,1.0,2014-01-02,2026-08-14,3068,0.32071735672317403,1.2144141541823543,-0.2598472949347199,0.28131528289019814,1.157769856266296,0.42470390534412217,1.3468622362710485,47.640156453715775,194,0.25
overlay_D3_best_core_top2,5.0,2014-01-02,2026-08-14,3068,0.29580601769946036,1.1398941445174273,-0.2617854597856757,0.25780796586639987,1.080171931367273,0.39599425863000715,1.2775069983826899,47.640156453715775,194,0.25
overlay_D3_best_core_top2,1.0,2014-01-02,2026-08-14,3068,0.3048573448726284,1.15853389846227,-0.26175963736279284,0.2562688759064611,1.0668025759235393,0.4348342889026324,1.3615258028740087,48.79009126466754,194,0.5
overlay_D3_best_core_top2,5.0,2014-01-02,2026-08-14,3068,0.2796502322454417,1.0829029890696036,-0.2638478219785786,0.23293233662975799,0.9889741121005928,0.40445635742647057,1.2892361125299898,48.79009126466754,194,0.5
overlay_D3_best_core_top2,1.0,2014-01-02,2026-08-14,3068,0.28695683688941953,1.076591230547308,-0.28865381013297475,0.23098939992978207,0.9681717476660182,0.43840849012226646,1.310143212602178,49.9400260756193,194,0.75
overlay_D3_best_core_top2,5.0,2014-01-02,2026-08-14,3068,0.2615101492535399,1.0017903867633957,-0.30463671081712707,0.20784223018607473,0.8909174272583589,0.4064853167355851,1.2385819179879705,49.9400260756193,194,0.75
