date,core,core_qm20,best_satellite_qm20,scale,actual_satellite_budget
2014-07-23,510300.SH,0.017631267081045978,0.02013637332196864,0.14208316562884504,0.021312474844326756
2014-07-24,510300.SH,0.03105679966489111,0.03397651006711394,0.0940119533798418,0.01410179300697627
2014-07-25,510300.SH,0.03941163060393139,0.04734107483802296,0.2011955382861168,0.03017933074291752
2014-07-28,510300.SH,0.058339144764241346,0.07089651000113403,0.21524767439836823,0.03228715115975523
2014-07-29,510300.SH,0.06036440623596599,0.07824508051793026,0.29621221174723833,0.04443183176208575
2014-07-30,510300.SH,0.04980384590648925,0.06277331699877789,0.2604110356585687,0.03906165534878531
2014-07-31,510300.SH,0.05908559138768453,0.07455954897815338,0.2618905426356477,0.039283581395347156
2014-08-01,510300.SH,0.03947613557509827,0.052655819911154526,0.3338646031089745,0.05007969046634617
2014-08-04,510300.SH,0.05919382390969926,0.07207576096634258,0.21762299182250566,0.03264344877337585
2014-08-05,510300.SH,0.053399563904338865,0.06192897141172992,0.1597280367808025,0.023959205517120375
2014-08-06,510300.SH,0.0629579445475506,0.06943366773030918,0.1028579193507122,0.01542868790260683
2014-08-08,510300.SH,0.04551724137931041,0.04731622378681198,0.039523098346625485,0.005928464751993823
2014-08-11,510300.SH,0.04592092476088177,0.04729912636889384,0.030012496812479528,0.004501874521871929
2014-08-12,510300.SH,0.04209786893240799,0.042943413106687534,0.0200852013586994,0.00301278020380491
2014-08-13,510300.SH,0.04499719897839901,0.04545368494784465,0.010144764114423666,0.0015217146171635498
2014-08-14,510300.SH,0.0349798932143822,0.04360663184192591,0.24661992461420024,0.03699298869213003
2014-08-15,510300.SH,0.040663155362622605,0.050291832277007946,0.23679118918636544,0.03551867837795481
2014-08-18,510300.SH,0.04372761562533447,0.057539682539682516,0.3158659971925326,0.04737989957887989
2014-08-19,510300.SH,0.035778404719158496,0.04673854447439352,0.30633394197606933,0.0459500912964104
2014-08-20,159915.SZ,0.0459086131411027,0.049242424242424254,0.07261842328094081,0.010892763492141121
2014-09-19,510300.SH,0.0070078037038474135,0.007921015535063799,0.13031355754371599,0.0195470336315574
2014-10-30,510300.SH,0.0008488814458963703,0.0008876173708920621,0.045631725352164976,0.006844758802824746
2014-10-31,510300.SH,0.006381689352973995,0.0066340069401919066,0.03953774200875615,0.005930661301313422
2014-11-03,510300.SH,0.003971946064656315,0.005169698982667199,0.30155316777055075,0.04523297516558261
2014-11-04,510300.SH,0.0036810881747389754,0.004240105375399902,0.15186194248133345,0.022779291372200017
2014-11-21,510300.SH,0.03585457954684374,0.0415161436682238,0.15790351450037976,0.023685527175056963
2014-11-24,510300.SH,0.07335562504872684,0.08073825055818376,0.1006415732202266,0.015096235983033989
2014-11-25,510300.SH,0.06509445836014519,0.07100962016211865,0.09087043584028165,0.013630565376042247
2014-11-26,510300.SH,0.06394950007105515,0.07560381845436034,0.18224252527941442,0.027336378791912162
2014-11-27,510300.SH,0.06690150460118491,0.08396319107126159,0.25502694702884887,0.03825404205432733
2014-11-28,510300.SH,0.07087893241520375,0.09058382967124863,0.27800781677431297,0.041701172516146946
2014-12-01,510300.SH,0.0752194742385344,0.10400511734565435,0.38268870393637067,0.057403305590455596
2014-12-02,510300.SH,0.11623700402086637,0.16775114323889465,0.4431819251705824,0.06647728877558735
2014-12-03,510300.SH,0.13025794252664352,0.18007972471590014,0.38248556074855755,0.05737283411228363
2014-12-04,510300.SH,0.19730773841708504,0.26953711995532276,0.36607475265644873,0.05491121289846731
2014-12-05,510300.SH,0.18583496371399086,0.2758742796812021,0.4845122476833055,0.07267683715249582
2014-12-08,510300.SH,0.21017982000086988,0.30797307171827576,0.4652837352177823,0.06979256028266735
2014-12-09,510300.SH,0.10409215019043361,0.14071815712709446,0.3518613735008318,0.052779206025124766
2014-12-10,510300.SH,0.12452966261131307,0.1627388494961818,0.3068279965081795,0.04602419947622692
2014-12-11,510300.SH,0.11515632670568719,0.1257982815208171,0.09241311458577761,0.013861967187866642
2014-12-12,510300.SH,0.11705838450761379,0.1301834256413129,0.11212388748492796,0.016818583122739195
2014-12-15,510300.SH,0.13418831561373756,0.14269413668006672,0.06338719602691234,0.00950807940403685
2014-12-16,510300.SH,0.17575708340103227,0.20851655102207992,0.1863905965388548,0.02795858948082822
2014-12-17,510300.SH,0.2002730509615729,0.25612603034779846,0.2788841490058602,0.041832622350879034
2014-12-18,510300.SH,0.19605581751563092,0.23685652888823194,0.20810762919263093,0.03121614437889464
2014-12-19,510300.SH,0.19272510435301143,0.2252123916588005,0.16856800993752552,0.025285201490628826
2014-12-22,510300.SH,0.15020921614838503,0.2192663240225346,0.4597394863303934,0.06896092294955901
2014-12-23,510300.SH,0.10722334188347402,0.16887813547488156,0.5750127957997382,0.08625191936996073
2014-12-24,510300.SH,0.06453421105826529,0.09080743570308208,0.4071208776550437,0.06106813164825655
2014-12-25,510300.SH,0.08472709153779658,0.10701455676946366,0.2630500448811546,0.039457506732173186
2014-12-26,510300.SH,0.09785499725329296,0.11970993740270477,0.22334005173840388,0.03350100776076058
2014-12-29,510300.SH,0.09095376414613074,0.1196839027581835,0.31587630134684175,0.04738144520202626
2014-12-30,510300.SH,0.0635341285880974,0.09038246367932529,0.4225813068955462,0.06338719603433192
2014-12-31,510300.SH,0.075591377858463,0.10574169460093602,0.3988592032139744,0.059828880482096156
2015-01-05,510300.SH,0.058131949325115805,0.07811793554685853,0.34380381965116413,0.05157057294767462
2015-01-06,510300.SH,0.056863675113195365,0.06139435109045404,0.07967610197968589,0.011951415296952882
2015-01-07,510300.SH,0.029388140559089084,0.033275708969969946,0.13228357891729647,0.01984253683759447
2015-01-08,510300.SH,0.05685787757010386,0.0586174223280681,0.03094636720821642,0.004641955081232462
2015-01-09,510300.SH,0.028472548573408227,0.03855191919498746,0.3540031056788784,0.05310046585183176
2015-01-12,510300.SH,0.034138676933510005,0.051040350161715556,0.4950887013320404,0.07426330519980606
2015-01-13,510300.SH,0.030774668120449152,0.045585719066567346,0.4812741079172369,0.07219111618758553
2015-01-14,510300.SH,0.023117897455885,0.047313797313797215,1.0,0.15
2015-01-15,510300.SH,0.026082689369439065,0.04408924487837224,0.6903642202644698,0.10355463303967045
2015-01-16,510300.SH,0.022071101661829698,0.030075187969924706,0.362650058467062,0.0543975087700593
2015-03-30,510300.SH,0.0712975704005402,0.07187775065562059,0.008137447767448514,0.001220617165117277
2015-04-01,510300.SH,0.10369212648644884,0.13855922296835907,0.3362559691209235,0.050438395368138524
2015-04-02,510300.SH,0.11647564194556893,0.16286054490194257,0.3982369376255517,0.05973554064383275
2015-04-03,159915.SZ,0.16057127044643957,0.21463287170107145,0.33668290164438086,0.05050243524665713
2015-04-07,159915.SZ,0.15665489799652646,0.2255370415747773,0.4397062872542816,0.06595594308814225
2015-04-08,510300.SH,0.17045809650914104,0.17893640755740237,0.04973838862389668,0.007460758293584502
2015-04-09,510300.SH,0.1502703617167105,0.16788503520585454,0.11721987814437562,0.017582981721656343
2015-04-10,510300.SH,0.15669834171790512,0.20557393134389434,0.31190878659058874,0.04678631798858831
2015-04-15,510300.SH,0.1114421186398045,0.13997983512160958,0.2560765788565338,0.038411486828480064
2015-04-16,510300.SH,0.11873842499888564,0.12669759655073384,0.06703113631432212,0.010054670447148317
2015-04-17,510300.SH,0.14783789204115907,0.15743867400785228,0.06494128016936473,0.00974119202540471
2015-04-20,510300.SH,0.08985634477069769,0.09486154675566973,0.05570226563015335,0.008355339844523002
2015-04-21,510300.SH,0.09155875653551976,0.09793932072624323,0.06968819184703712,0.010453228777055568
2015-04-22,510300.SH,0.1195645734746873,0.14195170169955204,0.18723880807055493,0.02808582121058324
2015-04-23,510300.SH,0.12825679781022506,0.1469565853456858,0.14579958220327494,0.02186993733049124
2015-04-27,510300.SH,0.13402631604240486,0.13855229855966122,0.03376935702555883,0.005065403553833825
2015-04-28,510300.SH,0.08196403215207926,0.08850699451439772,0.07982723873538089,0.011974085810307133
2015-04-29,510300.SH,0.10363845513317156,0.10840156352262763,0.045958890291597276,0.006893833543739591
2015-05-04,510300.SH,0.0926901309074969,0.09790070686217907,0.05621500265095336,0.008432250397643004
2015-05-05,510300.SH,0.033404963338250014,0.03964803737550517,0.18689061185427458,0.028033591778141187
2015-06-04,159915.SZ,0.2226003671588678,0.250826572949953,0.12680215289555385,0.01902032293433308
2015-06-05,159915.SZ,0.13019631668005457,0.2304013377926424,0.7696455911178532,0.11544683866767798
2015-06-08,510300.SH,0.04819928032951095,0.1390742099465299,1.0,0.15
2015-06-09,510300.SH,0.034339082605221186,0.13406711767829385,1.0,0.15
2015-06-10,159915.SZ,0.07456567699237056,0.14186426992488577,0.9025411643402781,0.1353811746510417
2015-06-11,159915.SZ,0.08476884570082445,0.16665277702741782,0.9659672801914416,0.14489509202871623
2015-06-12,159915.SZ,0.09082424599665981,0.19467264731743675,1.0,0.15
2015-06-15,510300.SH,0.04768649314644992,0.1353024916320798,1.0,0.15
2015-06-16,510300.SH,0.012865569893664419,0.06625947057465592,1.0,0.15
2015-06-17,510300.SH,0.016823175498807172,0.07062859976358193,1.0,0.15
2015-06-18,510300.SH,0.0006840299127453435,0.021775399946761302,1.0,0.15
2015-06-19,513100.SH,-0.00017770406349958614,0.000840837723149033,1.0,0.15
2015-12-23,510300.SH,0.0022926016330116613,0.013208726915432905,1.0,0.15
2015-12-29,510300.SH,0.00959111434778196,0.03634614078584,1.0,0.15
2015-12-30,159915.SZ,0.014056522001807481,0.015695179538793277,0.11657631502124688,0.017486447253187033
2016-07-11,159915.SZ,0.031106392735029947,0.056022851273206414,0.8010076497914596,0.12015114746871892
2016-07-12,510300.SH,0.04446292649386595,0.06323462438748416,0.4221876375188198,0.06332814562782298
2016-07-13,510300.SH,0.035058535023390486,0.04281768615924452,0.22131989059660517,0.033197983589490776
2016-07-14,159915.SZ,0.04419273162368269,0.05104157177974695,0.15497661955781883,0.02324649293367282
2016-07-15,510300.SH,0.03934789824957711,0.04576271186440677,0.1630281133223832,0.02445421699835748
2016-07-18,510300.SH,0.03346341743881641,0.037939202526647925,0.13375158398017528,0.020062737597026294
2016-07-19,159915.SZ,0.03575506560372026,0.05060844164685584,0.415420187107421,0.06231302806611315
2016-07-21,513100.SH,0.038098140810728355,0.04448177478130653,0.16755762445973632,0.025133643668960447
2016-07-22,513100.SH,0.04590801555796139,0.057757652651995575,0.2581169529986189,0.038717542949792835
2016-08-16,513100.SH,0.01857001883914956,0.03027806385169929,0.6304810519559987,0.0945721577933998
2016-08-17,510300.SH,0.013220838622368116,0.02542167946315209,0.9228492374259507,0.1384273856138926
2016-08-18,510300.SH,0.009500488073234323,0.01919203099059217,1.0,0.15
2016-08-19,510300.SH,0.014858381055564213,0.025236127508854712,0.6984439566115588,0.10476659349173383
2016-08-22,510300.SH,0.009956646661792936,0.021247305321281384,1.0,0.14999999999999997
2016-08-23,513100.SH,0.012205564118132508,0.013180005931002636,0.079835868579192,0.011975380286878801
2016-08-25,510300.SH,0.008421426301168553,0.016745805634694574,0.9884761839417788,0.14827142759126682
2016-08-26,510300.SH,0.009847558710496663,0.021518097207859428,1.0,0.15
2016-08-29,510300.SH,0.016462429611103196,0.01998963167547351,0.21425768538997247,0.03213865280849587
2016-08-30,510300.SH,0.017612594802487395,0.025632223366517867,0.4553348699589612,0.06830023049384418
2016-08-31,510300.SH,0.01962313122380314,0.03470649446042744,0.7686522127685698,0.11529783191528546
2016-09-01,510300.SH,0.00876059030308923,0.03548163548163562,1.0,0.15
2016-09-02,510300.SH,0.009017048609885128,0.035044490075291077,1.0,0.15000000000000002
2016-09-05,510300.SH,0.006211900038467458,0.038589665653495656,1.0,0.15
2016-09-06,510300.SH,0.00804955952810274,0.04172735102967668,1.0,0.15
2016-09-07,510300.SH,0.010348195665373254,0.04168524472187692,1.0,0.15
2016-09-08,159915.SZ,0.02084838598872048,0.03470910076729708,0.6648339485884234,0.0997250922882635
2016-09-09,159915.SZ,0.009152752009894835,0.03741453831041265,1.0,0.15
2016-09-19,513100.SH,0.0010460469884307109,0.0020960405793456357,1.0,0.15
2016-09-20,513100.SH,0.00025057883711373065,0.001681370005189421,1.0,0.15
2016-09-21,513100.SH,0.00025057883711373065,0.007662082514734748,1.0,0.15
2016-09-22,513100.SH,0.0014621490549838138,0.007654563297350404,1.0,0.15
2016-09-27,513100.SH,0.0009521701018587859,0.003469087948459282,1.0,0.15
2016-09-29,513100.SH,0.0008220786846741031,0.0012181910916088232,0.48184244929273534,0.0722763673939103
2016-10-10,159915.SZ,0.0018660695244188611,0.004204125570975535,1.0,0.15
2016-10-18,513100.SH,6.740929237095057e-06,0.0005827944051737067,1.0,0.15
2016-10-19,513100.SH,0.008219947822596853,0.008725949159379893,0.06155773098608108,0.009233659647912161
2016-10-20,513100.SH,0.004814644543820805,0.007014777005293008,0.4569667483128925,0.06854501224693388
2016-10-21,510300.SH,0.008072325699522404,0.010011492785084923,0.24022408878735524,0.036033613318103286
2016-10-24,510300.SH,0.011127322045043481,0.013153982190087156,0.18213368291487742,0.027320052437231613
