weight_510300.SH,weight_159915.SZ,weight_513100.SH,weight_518880.SH,rebalance_days,selection_cost_rate,train_annual_return,train_sharpe,train_max_drawdown,train_annual_return_delta,train_sharpe_delta,dual_improvement_blocks,median_block_annual_return_delta,median_block_sharpe_delta,robust_score,train_joint_improvement,weight_std,block_1_annual_return_delta,block_1_sharpe_delta,block_2_annual_return_delta,block_2_sharpe_delta,block_3_annual_return_delta,block_3_sharpe_delta,block_4_annual_return_delta,block_4_sharpe_delta,eligible,selected_on_train
0.0,0.0,0.0,0.0,1,0.0005,0.21230010838873836,0.9145373908813454,-0.29068271578292726,-0.026743071669334872,-0.09168078078239139,2,-0.024242874986669216,-0.08564213275213323,-0.4848574997333843,-0.11187548485105453,0.0,-0.12434546768021537,-0.3142290421211855,0.04031627812696548,0.24756315480967178,-0.08880202810030391,-0.29311281174069237,0.044204172982827306,0.12182854623642592,False,False
0.0,0.0,0.0,0.0,2,0.0005,0.21856670119841315,0.9325503776470926,-0.2873289669861395,-0.020476478859660086,-0.07366779401664425,1,-0.02486634126306364,-0.09052731329618674,-0.4973268252612728,-0.08566016756757303,0.0,-0.07182552616681237,-0.1785927468642552,0.027092163643523515,0.14184565692495438,-0.03077598292378325,-0.10501959064469957,-0.01895669960234403,-0.07603503594767391,False,False
0.0,0.0,0.0,0.0,3,0.0005,0.18233114581286158,0.8030152923857986,-0.2897942846639858,-0.05671203424521165,-0.20320287927793823,0,-0.05065891324805327,-0.18123222963222746,-1.0131782649610654,-0.23724598305391523,0.0,-0.11345094039920212,-0.2947165050876708,-0.02262708022682447,-0.12133916547602064,-0.05382822465954451,-0.1836515287086864,-0.047489601836562034,-0.17881293055576852,False,False
0.0,0.0,0.0,0.0,5,0.0005,0.23904318005807323,1.0062181716637368,-0.2597331750888461,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
0.0,0.0,0.0,0.3,1,0.0005,0.21230010838873836,0.9145373908813454,-0.29068271578292726,-0.026743071669334872,-0.09168078078239139,2,-0.024242874986669216,-0.08564213275213323,-0.4848574997333843,-0.11187548485105453,0.12990381056766578,-0.12434546768021537,-0.3142290421211855,0.04031627812696548,0.24756315480967178,-0.08880202810030391,-0.29311281174069237,0.044204172982827306,0.12182854623642592,False,False
0.0,0.0,0.0,0.3,2,0.0005,0.21856670119841315,0.9325503776470926,-0.2873289669861395,-0.020476478859660086,-0.07366779401664425,1,-0.02486634126306364,-0.09052731329618674,-0.4973268252612728,-0.08566016756757303,0.12990381056766578,-0.07182552616681237,-0.1785927468642552,0.027092163643523515,0.14184565692495438,-0.03077598292378325,-0.10501959064469957,-0.01895669960234403,-0.07603503594767391,False,False
0.0,0.0,0.0,0.3,3,0.0005,0.18233114581286158,0.8030152923857986,-0.2897942846639858,-0.05671203424521165,-0.20320287927793823,0,-0.05065891324805327,-0.18123222963222746,-1.0131782649610654,-0.23724598305391523,0.12990381056766578,-0.11345094039920212,-0.2947165050876708,-0.02262708022682447,-0.12133916547602064,-0.05382822465954451,-0.1836515287086864,-0.047489601836562034,-0.17881293055576852,False,False
0.0,0.0,0.0,0.3,5,0.0005,0.23904318005807323,1.0062181716637368,-0.2597331750888461,0.0,0.0,0,0.0,0.0,0.0,0.0,0.12990381056766578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
0.0,0.0,0.0,0.6,1,0.0005,0.21230010838873836,0.9145373908813454,-0.29068271578292726,-0.026743071669334872,-0.09168078078239139,2,-0.024242874986669216,-0.08564213275213323,-0.4848574997333843,-0.11187548485105453,0.25980762113533157,-0.12434546768021537,-0.3142290421211855,0.04031627812696548,0.24756315480967178,-0.08880202810030391,-0.29311281174069237,0.044204172982827306,0.12182854623642592,False,False
0.0,0.0,0.0,0.6,2,0.0005,0.21856670119841315,0.9325503776470926,-0.2873289669861395,-0.020476478859660086,-0.07366779401664425,1,-0.02486634126306364,-0.09052731329618674,-0.4973268252612728,-0.08566016756757303,0.25980762113533157,-0.07182552616681237,-0.1785927468642552,0.027092163643523515,0.14184565692495438,-0.03077598292378325,-0.10501959064469957,-0.01895669960234403,-0.07603503594767391,False,False
0.0,0.0,0.0,0.6,3,0.0005,0.18233114581286158,0.8030152923857986,-0.2897942846639858,-0.05671203424521165,-0.20320287927793823,0,-0.05065891324805327,-0.18123222963222746,-1.0131782649610654,-0.23724598305391523,0.25980762113533157,-0.11345094039920212,-0.2947165050876708,-0.02262708022682447,-0.12133916547602064,-0.05382822465954451,-0.1836515287086864,-0.047489601836562034,-0.17881293055576852,False,False
0.0,0.0,0.0,0.6,5,0.0005,0.23904318005807323,1.0062181716637368,-0.2597331750888461,0.0,0.0,0,0.0,0.0,0.0,0.0,0.25980762113533157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False
