sample,annual_return_delta,sharpe_delta
0,-0.03400585069770434,-0.1056356144615549
1,-0.03204228940383835,-0.09592843413609642
2,-0.007046283801814157,-0.025284025090470008
3,0.09137932104083224,0.25709344652957944
4,0.06487840249928989,0.14551118523493822
5,0.0036189016645731265,0.009949741471198315
6,-0.0032456538474567864,0.007067945965334221
7,0.04917772961297584,0.1595378316096001
8,-0.03095947741392191,-0.09240676928688885
9,-0.09254245730257704,-0.29997473072959613
10,-0.0035956131480907594,-0.012847395418123853
11,-0.011944751804114917,-0.04845359826022688
12,-0.02910882300961304,-0.09101158329747538
13,0.07817228473423632,0.18569956647508046
14,0.03193735792434049,0.10230731956807637
15,0.04827741822876508,0.18685811373109096
16,-0.031427798067568125,-0.11504507471138237
17,-0.02736156496277231,-0.08291749688389494
18,0.007054664673680211,0.018963367017697852
19,0.057775852730987065,0.16612735117130573
20,0.0715228645080197,0.1694523216001067
21,-0.09779479190082019,-0.3342882160290077
22,-0.04535096880406386,-0.12153253991254043
23,0.037836563459626715,0.1041904940196865
24,-0.03207553319081069,-0.11089371183303798
25,0.02902598756425423,0.09124193761230248
26,-0.03558161783480607,-0.09576562940284095
27,-0.023679634505683334,-0.05669262440359324
28,0.04597269581814478,0.12028038352244108
29,-0.016737603086496078,-0.05110307945900372
30,0.1091963919969905,0.34578800707653345
31,0.09572614579396421,0.3269385030547709
32,-0.040748472545521164,-0.12419203967110792
33,0.02630496729494336,0.07280408577833453
34,0.08659029646635963,0.31229744751361954
35,0.10332579931504471,0.3148666340799434
36,-0.1059323239917429,-0.29192311527433645
37,0.01094011462195188,0.04735038077025866
38,-0.027185584087187298,-0.07483202469277217
39,0.011417544723461015,0.019757436128220007
40,0.10497400668064283,0.3332077656707382
41,0.04876393237565657,0.17128153253285383
42,0.05068288267715304,0.16727269769467257
43,-0.037241954437698066,-0.121940305619467
44,0.022751998550067043,0.04353402044440169
45,0.013221290684758413,0.055795941634030566
46,0.034921673766273864,0.09180837984797752
47,-0.07864957495492697,-0.28427253565130606
48,0.035582106927313006,0.09225317960963109
49,0.04226100615110395,0.10932224231812726
50,-0.013572275674474055,-0.043587261574463576
51,-0.038646710066398526,-0.09803200768359122
52,0.0285419224072041,0.09398992123179895
53,0.05334947984061489,0.19344652264337592
54,-0.028893489095347835,-0.07228944050151986
55,0.09278158846417672,0.2864352757529006
56,-0.041177514597249276,-0.11317612699557489
57,0.08067471770309176,0.2559369941583999
58,-0.005582441000248073,-0.01782593460975823
59,0.021208117541586358,0.05648991929046454
60,0.08274340559908477,0.25016167550029733
61,0.0076846459475607976,0.02603593079428701
62,0.1141078478247981,0.31516081198625123
63,0.12673076160779906,0.4382082708501416
64,0.013150897917981963,0.03677565149079742
65,-0.04126612157642073,-0.11872144739726176
66,0.03522443646051787,0.116741222427039
67,0.004053057667173121,0.02515134283289666
68,0.01416356126224061,0.04579790395685668
69,0.06713874234681327,0.19992954143714603
70,0.01903470719539957,0.050136088571983484
71,0.07605503638995059,0.2566393236403549
72,0.026823023604399143,0.07548282290303743
73,-0.11198951395374857,-0.33378916461949926
74,0.05021347910328533,0.13475481677388768
75,0.058992359881681944,0.19086992346306064
76,0.015889595912628174,0.05890275024177993
77,0.11312042603346084,0.28543306427293924
78,0.05562119712020408,0.20524493701298452
79,-0.024479956874428277,-0.06352283770751699
80,-0.0036106671719455807,-0.024147043616232322
81,-0.10795032229019808,-0.3866345554621793
82,0.08961113808347942,0.20805910025646268
83,0.06488265636250334,0.18322428969483728
84,0.09721993928130068,0.27372206403599464
85,-0.08005821990090589,-0.26026324953624136
86,0.10963592390304022,0.3261101195041307
87,0.06159305634946799,0.18082233673220927
88,0.018013887106387738,0.06560445041425012
89,0.017877174474919322,0.04620231128428087
90,-0.007602767396736043,-0.020195316610376768
91,-0.07699015812867915,-0.20590797151896112
92,0.05742061540429133,0.17726501339378498
93,-0.0017156827760480553,-0.0061352307042739085
94,-0.0018959251142551814,0.003191084571543046
95,0.028537931766632996,0.0975561203900146
96,-0.02821010400369084,-0.08796483238947328
97,-0.01770068865105623,-0.051524664489633665
98,0.06216249120825634,0.20090753864949085
99,0.042866757377449494,0.133671380805801
100,-0.052114136219578056,-0.18292894655502479
101,0.006066490578200634,0.023191776018710142
102,0.04389351091402083,0.09978800508204455
103,0.08226838452685725,0.20793915311015754
104,0.06724579921963025,0.22032241437033062
105,0.02886724773101168,0.0820193457469045
106,3.760251366391465e-05,-0.017351532769616873
107,0.05341617415893496,0.12497835082170639
108,-0.11666167468218847,-0.3753849181361337
109,0.04286823361629,0.13265293594259897
110,-0.013719562485093428,-0.033235672418467255
111,0.012477010262889054,0.029054664952931963
112,0.02817784774493437,0.06653361726809615
113,0.010580014519885994,0.031581033594785035
114,0.04145387355108299,0.11718220748808128
