year,baseline_annual_return,selected_annual_return,annual_return_delta,baseline_sharpe,selected_sharpe,sharpe_delta
2013,-0.42055489335687535,-0.34280906226390095,0.0777458310929744,-2.075045237117758,-1.3895568679230128,0.6854883691947453
2014,0.8045335452625293,0.7178315053683779,-0.08670203989415137,2.8280951496230684,2.7524588012151012,-0.07563634840796718
2015,0.41849774157463626,0.8196011867683723,0.4011034451937361,1.1226408186287378,1.7888311004847928,0.666190281856055
2016,0.15347633268992666,0.21794672868998965,0.06447039600006299,0.8812534156593427,1.2307236709907314,0.34947025533138876
2017,0.2565762714097797,0.217969659784639,-0.038606611625140674,1.8741864290196264,1.6530580369959034,-0.22112839202372303
2018,0.30482039189270127,0.020814603515508567,-0.2840057883771927,1.3750937561455165,0.20284082834767986,-1.1722529277978366
2019,0.45182984849035157,0.4349463702761547,-0.01688347821419689,1.911071894345498,1.8612216582462815,-0.04985023609921657
2020,0.22883227203917622,0.40135205839272703,0.1725197863535508,0.7694555686220114,1.1450405153716265,0.3755849467496152
2021,0.07082669826606725,0.1458544049067929,0.07502770664072567,0.4537088748803534,0.799795863360918,0.34608698848056463
2022,0.24255023858225,0.23427317497179967,-0.00827706361045033,1.2238706708500655,1.0440713891987083,-0.17979928165135717
2023,0.10324476702254937,0.3163182870212211,0.21307351999867175,0.6924061084379841,1.86044057682996,1.1680344683919759
2024,0.7368329867685421,0.6992441399930207,-0.037588846775521434,1.5227215753059824,1.4472655925248852,-0.07545598278109722
2025,0.5397854344233615,0.7078163523514085,0.16803091792804703,1.908395343084984,2.270417212771335,0.36202186968635086
2026,0.3516559442584746,0.7126366732427325,0.3609807289842579,1.0034248657653015,1.6227331978204393,0.6193083320551378
