year,baseline_annual_return,selected_annual_return,annual_return_delta,baseline_sharpe,selected_sharpe,sharpe_delta
2013,-0.44187931250426293,-0.3741529792701469,0.06772633323411603,-2.2321267274997036,-1.5670380718379349,0.6650886556617688
2014,0.7660099052331042,0.06292685891249206,-0.7030830463206121,2.727006920233746,0.4189126745762039,-2.308094245657542
2015,0.3849518893030317,0.8516626797883757,0.46671079048534403,1.0574314358239585,1.800909171634749,0.7434777358107905
2016,0.1264029418610806,0.20606866932442425,0.07966572746334366,0.7495337740037653,1.1826673258550149,0.4331335518512496
2017,0.2335075601557659,0.16764931377901804,-0.06585824637674786,1.7317946206420602,1.3179274955195959,-0.4138671251224644
2018,0.27553230563866316,0.22216599403207793,-0.053366311606585226,1.268863619238202,1.1747573150821011,-0.09410630415610077
2019,0.41776755712001856,0.5386220827921833,0.1208545256721647,1.7949688306934335,2.20477267733902,0.40980384664558667
2020,0.19863688328447493,0.32468117982361067,0.12604429653913574,0.6975054635489911,0.9625929893296401,0.265087525780649
2021,0.03813075544574285,0.12903394570385274,0.09090319025810989,0.2916134623064887,0.7150047211631807,0.423391258856692
2022,0.22344534042642095,0.12753527759194117,-0.09591006283447978,1.146327328341353,0.7076942346384878,-0.4386330937028653
2023,0.07378759864869044,0.16207497350956146,0.08828737486087102,0.5235827132818218,1.0636187709646951,0.5400360576828733
2024,0.70473087333081,0.5681537911955128,-0.13657708213529718,1.4782568069565958,1.27219490862462,-0.20606189833197575
2025,0.5049532590322627,0.6331743710686928,0.12822111203643005,1.8107100041186284,2.118505875706848,0.3077958715882194
2026,0.3114772613003245,0.47610077544758567,0.16462351414726117,0.9214723974268382,1.2411764820307085,0.31970408460387034
