label,train_days,train_annual_return,train_sharpe,train_max_drawdown,train_total_return,test_days,test_annual_return,test_sharpe,test_max_drawdown,test_total_return,full_days,full_annual_return,full_sharpe,full_max_drawdown,full_total_return,full_annual_turnover,one_way_cost_rate
current_qmom_rd5,1622,0.24356831628933295,1.104454719677505,-0.21677674987301288,3.06763470537419,958,0.3956219303321946,1.2690556383096192,-0.2550410754294248,2.5509730303353773,2580,0.29799189281424376,1.1644896541722833,-0.25504107542942467,13.444061136039926,46.68837209302326,0.0
matched_qmom_rd10,1622,0.30173226547422805,1.275550726131799,-0.19512746506300882,4.459082223642493,958,0.3555845817524934,1.4036024882626432,-0.2001068119647188,2.179002599267365,2580,0.3214742404151414,1.3243241041577745,-0.20010681196471847,16.35443657857377,31.255813953488374,0.0
range_volume_rsi_overlay,1622,0.35583995159449455,1.4654197458882359,-0.1951274650630087,6.095133778434593,958,0.3555845817524934,1.4036024882626432,-0.2001068119647188,2.179002599267365,2580,0.3557451226044108,1.4415836147004524,-0.20010681196471936,21.55544872379327,33.2093023255814,0.0
current_qmom_rd5,1622,0.23791635408366196,1.083820957361212,-0.2173998067359023,2.950101824323206,958,0.3888962196795871,1.2527972597201493,-0.25505250836130977,2.4863556172979977,2580,0.2919604136957148,1.1460017786185974,-0.2550525083613101,12.771459684128283,46.68837209302326,0.0001
matched_qmom_rd10,1622,0.29754262542203436,1.2614417842630163,-0.19544773278943617,4.346976719194167,958,0.3516018737933666,1.3911867965272344,-0.20092003011605497,2.1436419837291005,2580,0.31735869150359486,1.3108619286773504,-0.2009200301160543,15.808980500480875,31.255813953488374,0.0001
range_volume_rsi_overlay,1622,0.35105228252486764,1.449716947566709,-0.19544773278943617,5.9354136049396615,958,0.3516018737933666,1.3911867965272344,-0.20092003011605497,2.1436419837291005,2580,0.3512563294727087,1.4271417724113586,-0.2009200301160542,20.802457383014364,33.2093023255814,0.0001
current_qmom_rd5,1622,0.2266860314672723,1.0424772091279366,-0.21864480533629937,2.7250607637163515,958,0.3755378972105097,1.2202404799174773,-0.25864385599849216,2.3605899630047342,2580,0.27997783588764436,1.10896947743875,-0.2586438559984917,11.518401814127916,46.68837209302326,0.0003
matched_qmom_rd10,1622,0.2892012663678454,1.2331728009587273,-0.19608807723620547,4.129561156529124,958,0.34366915654076347,1.3663137524967894,-0.20254448271462155,2.0740757274948023,2580,0.30916355919779237,1.2838902272230472,-0.20254448271462167,14.768659443986323,31.255813953488374,0.0003
range_volume_rsi_overlay,1622,0.3415247577807299,1.4182544417596137,-0.1960880772362057,5.626588363679602,958,0.34366915654076347,1.3663137524967894,-0.20254448271462155,2.0740757274948023,2580,0.34232061152910687,1.3982072865667354,-0.20254448271462044,19.370634444887017,33.2093023255814,0.0003
current_qmom_rd5,1622,0.21555316711406225,1.0010388455312216,-0.21988831808861653,2.5127582407463964,958,0.36230279310713476,1.1876335638834286,-0.2622193265943892,2.2393135790251524,2580,0.26810167401475793,1.071866708540985,-0.26221932659438696,10.378925469082343,46.68837209302326,0.0005
matched_qmom_rd10,1622,0.2809102312189282,1.2048389562558104,-0.19672816700819518,3.920904434199504,958,0.3357798531105145,1.3413876244597558,-0.20416629306278034,2.006022016839206,2580,0.3010161639924296,1.256858337911097,-0.2041662930627801,13.792347071965397,31.255813953488374,0.0005
range_volume_rsi_overlay,1622,0.33206065166464493,1.386720150053196,-0.1967281670081953,5.331399421000927,958,0.3357798531105145,1.3413876244597558,-0.20416629306278034,2.006022016839206,2580,0.33344044725162525,1.3692084766266097,-0.20416629306278034,18.0323260569318,33.2093023255814,0.0005
current_qmom_rd5,1622,0.18814210359519024,0.8970848138843883,-0.22299060714310226,2.0331295550753588,958,0.32974699570225097,1.1059224868102628,-0.27108895937636557,1.9547362911738024,2580,0.23887093026428308,0.9788406393569454,-0.2710889593763657,7.962097972213002,46.68837209302326,0.001
matched_qmom_rd10,1622,0.2604009523913817,1.1337465774060325,-0.1983272772360074,3.4353223724163957,958,0.3162450863498747,1.2788596075426888,-0.2082092802372676,1.842294813638588,2580,0.28085482825645913,1.1890386933364925,-0.2082092802372676,11.606493775934345,31.255813953488374,0.001
range_volume_rsi_overlay,1622,0.30867524308172634,1.307602845068347,-0.1983272772360074,4.6492314214053225,958,0.3162450863498747,1.2788596075426888,-0.2082092802372676,1.842294813638588,2580,0.31148096604258213,1.2964571036381123,-0.20820928023726804,15.056781170104479,33.2093023255814,0.001
