year,baseline_annual_return,selected_annual_return,annual_return_delta,baseline_sharpe,selected_sharpe,sharpe_delta
2013,-0.42055489335687535,-0.3358714589813333,0.08468343437554204,-2.075045237117758,-1.34886971803439,0.7261755190833681
2014,0.8045335452625293,0.11554176048203102,-0.6889917847804983,2.8280951496230684,0.6760867144959735,-2.1520084351270947
2015,0.41849774157463626,0.9257312648762575,0.5072335233016212,1.1226408186287378,1.9043088272649265,0.7816680086361887
2016,0.15347633268992666,0.2530142231363126,0.09953789044638595,0.8812534156593427,1.4066081693073882,0.5253547536480455
2017,0.2565762714097797,0.19449109518887653,-0.06208517622090315,1.8741864290196264,1.5041264912219041,-0.3700599377977223
2018,0.30482039189270127,0.26721276441758923,-0.03760762747511204,1.3750937561455165,1.367678928245822,-0.007414827899694609
2019,0.45182984849035157,0.5985417622047802,0.1467119137144286,1.911071894345498,2.3944088535251513,0.48333695917965325
2020,0.22883227203917622,0.3709113051028772,0.14207903306370095,0.7694555686220114,1.058521720722288,0.28906615210027653
2021,0.07082669826606725,0.17563188818957576,0.10480518992350851,0.4537088748803534,0.9211288681013369,0.4674199932209835
2022,0.24255023858225,0.16202722019645766,-0.08052301838579234,1.2238706708500655,0.8599397193972365,-0.36393095145282905
2023,0.10324476702254937,0.20636081173691134,0.10311604471436198,0.6924061084379841,1.3065785364279292,0.6141724279899451
2024,0.7368329867685421,0.6027804166305935,-0.1340525701379487,1.5227215753059824,1.3243101303522584,-0.19841144495372398
2025,0.5397854344233615,0.684898554628316,0.14511312020495448,1.908395343084984,2.2497784037512405,0.34138306066625645
2026,0.3516559442584746,0.5291269728009353,0.17747102854246077,1.0034248657653015,1.3374690854324462,0.3340442196671447
