label,weight_510300.SH,weight_159915.SZ,weight_513100.SH,weight_518880.SH,train_days,train_annual_return,train_sharpe,train_max_drawdown,train_total_return,test_days,test_annual_return,test_sharpe,test_max_drawdown,test_total_return,full_days,full_annual_return,full_sharpe,full_max_drawdown,full_total_return,full_annual_turnover,is_selected,dual_improvement_train_and_test
neighbor,0.6,0.0,0.0,0.0,2215,0.21856670119841315,0.9325503776470926,-0.2873289669861395,4.683137306917349,958,0.39925070517361383,1.2786961147779827,-0.286156633124351,2.5862008662061093,3173,0.27051153358603464,1.0473388859273784,-0.2873289669861395,19.380871932835245,67.26883075953356,False,False
neighbor,0.6,0.0,0.0,0.3,2215,0.2057171048997588,0.8969956904201924,-0.2873289669861392,4.177516216419451,958,0.39669860286990444,1.272819999319641,-0.286156633124351,2.561398544490368,3173,0.2604492634550106,1.0225300342200139,-0.2873289669861392,17.439198717231502,69.65143397415694,False,False
neighbor,0.6,0.0,0.0,0.6,2215,0.19222485618531682,0.8457815374790448,-0.2873289669861394,3.6899054928603086,958,0.3552904227417346,1.1700909887896074,-0.2861566331243508,2.176380921132351,3173,0.23927435655908846,0.9536269760564016,-0.2873289669861394,13.89692632943537,76.32272297510242,False,False
neighbor,0.6,0.0,0.3,0.0,2215,0.2286322174497002,0.9664463718512938,-0.28732896698613963,5.109281079602126,958,0.40157958913975045,1.282405741888852,-0.286156633124351,2.608944730956166,3173,0.27847021980817765,1.0708005110978367,-0.28732896698613963,21.048057762160294,70.92215568862275,False,False
neighbor,0.6,0.0,0.3,0.3,2215,0.21475036861629926,0.9278852000063718,-0.28732896698613963,4.5285883736340775,958,0.39902323916969107,1.2765411936643731,-0.2861566331243508,2.5839851116791204,3173,0.26767033241978644,1.0439504120550256,-0.28732896698613963,18.814378419706845,72.98707847462968,False,False
neighbor,0.6,0.0,0.3,0.6,2215,0.20504071490421705,0.8815924007295575,-0.3038216689482469,4.152042185749034,958,0.3875698680944757,1.248741545905561,-0.32196692704430196,2.4737156921959103,3173,0.2574635932398377,1.003546970412167,-0.32196692704430163,16.89672978749174,90.93602269145919,False,False
neighbor,0.6,0.0,0.6,0.0,2215,0.22588842249831753,0.9537655054468502,-0.2873289669861393,4.990398497620927,958,0.4073386036811768,1.2965935967838849,-0.2836604362899928,2.665643585787052,3173,0.27805777968387924,1.0672369014966243,-0.2873289669861393,20.958665829112533,79.18184683265048,False,False
neighbor,0.6,0.0,0.6,0.3,2215,0.1958091751684492,0.8612020840566099,-0.26291702271070083,3.815299256416586,958,0.43912276256101546,1.3758814454771267,-0.2901720287155587,2.990458056430054,3173,0.26458290170518395,1.0344964045003608,-0.29017202871555947,18.215249711889175,91.09486290576741,False,False
neighbor,0.6,0.0,0.6,0.6,2215,0.21324736258666355,0.9125057362483806,-0.28678923830345315,4.468751478276296,958,0.4001368186867278,1.2828103648222984,-0.2901720287155588,2.5948421573696323,3173,0.2668795046762975,1.0354599801241264,-0.2901720287155589,18.65929836228518,100.30759533564449,False,False
neighbor,0.6,0.3,0.0,0.0,2215,0.23203212037774001,0.9747465255140911,-0.2873289669861394,5.259488979151181,958,0.39808556821737784,1.2758733070397492,-0.286156633124351,2.5748618752234553,3173,0.27997389800361927,1.073862993703966,-0.2873289669861394,21.376808509948926,71.39867633154743,False,False
neighbor,0.6,0.3,0.0,0.3,2215,0.2145064717097256,0.9224537306016634,-0.2873289669861395,4.518839215834984,958,0.393391450566543,1.26469393043186,-0.28615663312435125,2.5294466794538413,3173,0.26594997926872943,1.0360961821592207,-0.2873289669861395,18.478448744768396,74.09895997478726,False,False
