metric,observed,bootstrap_mean,ci_2_5,ci_97_5,probability_positive
annual_return_delta,0.0132102142719428,0.01184585317140996,-0.08644156481746393,0.10744327794294553,0.596
sharpe_delta,0.038208475470361325,0.033586159712372395,-0.2595187750844445,0.31487398852760107,0.5965
