start,end,baseline_annual_return,selected_annual_return,annual_return_delta,baseline_sharpe,selected_sharpe,sharpe_delta,dual_improvement
2013-07-30,2016-08-30,0.31867280598779035,0.43959714496383206,0.12092433897604171,1.1367287246232562,1.4576694797290288,0.3209407551057726,True
2013-08-28,2016-09-30,0.3177968495057337,0.4330416659375764,0.1152448164318427,1.1336262812519355,1.448124966598939,0.31449868534700354,True
2013-09-30,2016-11-07,0.33819889657804514,0.4305512078027274,0.09235231122468224,1.196807458807588,1.4468540197665427,0.2500465609589546,True
2013-11-05,2016-12-06,0.3503564383764348,0.5032062011019567,0.15284976272552186,1.233589437433041,1.644658949187106,0.41106951175406503,True
2013-12-04,2017-01-05,0.3859663557317907,0.5246427058058138,0.13867635007402312,1.356104217122246,1.7379036287796694,0.3817994116574235,True
2014-01-03,2017-02-10,0.4207892502517312,0.5655146509188338,0.1447254006671026,1.4535082802210213,1.846205487858327,0.39269720763730565,True
2014-02-10,2017-03-13,0.3886044774207036,0.5538473262518742,0.16524284883117057,1.3793320432487177,1.832165838895878,0.4528337956471602,True
2014-03-11,2017-04-13,0.37489108114430114,0.5765844050912954,0.20169332394699424,1.3482199334889973,1.9122231678397572,0.5640032343507599,True
2014-04-10,2017-05-15,0.36272712043235855,0.5475580030182743,0.18483088258591573,1.3168744157012657,1.843201627838956,0.5263272121376903,True
2014-05-13,2017-06-15,0.4043662824348746,0.5615924785082,0.15722619607332544,1.4334196653334743,1.878382344932626,0.4449626795991517,True
2014-06-12,2017-07-14,0.39688269849335645,0.5298915109507798,0.13300881245742335,1.413057880630874,1.7971893220411839,0.38413144141030986,True
2014-07-11,2017-08-14,0.41451623647628155,0.5306755776905954,0.11615934121431382,1.4638587255720252,1.8023334509998665,0.3384747254278413,True
2014-08-11,2017-09-12,0.39514455711978536,0.5003265876776402,0.1051820305578548,1.413163404130734,1.7279939347767692,0.3148305306460353,True
2014-09-10,2017-10-18,0.3813106410412268,0.4639634131535548,0.08265277211232802,1.3801070584054413,1.6383200296848757,0.2582129712794343,True
2014-10-16,2017-11-16,0.3813317898331079,0.46468875358425543,0.08335696375114754,1.3866888428542812,1.6479012516450442,0.261212408790763,True
2014-11-14,2017-12-15,0.39960504197598734,0.4956724575890108,0.09606741561302345,1.43135521246913,1.7239679190326758,0.29261270656354577,True
2014-12-15,2018-01-16,0.3295768090445126,0.4134776542144625,0.08390084516994989,1.264111376978711,1.5191131102844737,0.2550017333057628,True
2015-01-15,2018-02-14,0.2634497047316129,0.38613330516210165,0.12268360043048876,1.0621663630058051,1.4551763858919522,0.39301002288614706,True
2015-02-13,2018-03-22,0.3020206021836893,0.43648403716180595,0.13446343497811664,1.2069640580376824,1.64528715396405,0.43832309592636753,True
2015-03-23,2018-04-24,0.2442884885822667,0.3618733918570718,0.11758490327480509,1.0209123711172723,1.435933809740016,0.41502143862274377,True
2015-04-22,2018-05-25,0.21719954119466278,0.3387012862629193,0.1215017450682565,0.9484656295762717,1.3955509517811646,0.44708532220489294,True
2015-05-22,2018-06-26,0.15103540735387,0.2793748940411913,0.1283394866873213,0.7372483920237275,1.241215214826743,0.5039668228030155,True
2015-06-23,2018-07-25,0.23758910784207687,0.37134971979878806,0.13376061195671118,1.1130813766327035,1.673372310738755,0.5602909341060516,True
2015-07-22,2018-08-23,0.2285397885718916,0.3103135388787297,0.08177375030683809,1.08275572772814,1.4521968538317453,0.36944112610360524,True
2015-08-20,2018-09-21,0.21228974163020053,0.2771852455368209,0.06489550390662036,1.042882304741239,1.3836816997453143,0.3407993950040753,True
2015-09-22,2018-10-30,0.18654401194840675,0.23977153362808745,0.0532275216796807,0.9326139891299938,1.2081809625653503,0.2755669734353565,True
2015-10-28,2018-11-28,0.12776820238528752,0.15317003477969515,0.02540183239440763,0.7346798102260624,0.884501301407377,0.1498214911813146,True
2015-11-26,2018-12-27,0.15098539330937544,0.10003854652196886,-0.050946846787406574,0.8687621053199437,0.6330253847233154,-0.2357367205966283,False
2015-12-25,2019-01-29,0.2081869703625865,0.13570366327346117,-0.07248330708912532,1.174847318807175,0.8376674785979029,-0.33717984020927216,False
2016-01-26,2019-03-06,0.3570770487314514,0.2323289417581429,-0.12474810697330851,1.8035959567281994,1.2804921618085539,-0.5231037949196455,False
2016-03-02,2019-04-04,0.29879297596093646,0.22012787858521587,-0.07866509737572058,1.519626478922895,1.1804941642602866,-0.3391323146626084,False
2016-03-31,2019-05-09,0.2614688989545375,0.18897466070856028,-0.07249423824597723,1.3578145882678114,1.0455720355338312,-0.31224255273398027,False
2016-05-03,2019-06-10,0.257779286170416,0.16132057292030533,-0.09645871325011068,1.3542250359303223,0.919279838978021,-0.43494519695230127,False
2016-06-01,2019-07-09,0.2597371444075727,0.18406371631716834,-0.07567342809040434,1.3503490662928737,1.0229952247307672,-0.32735384156210645,False
2016-07-04,2019-08-07,0.2898182704573664,0.20160485651138105,-0.08821341394598536,1.4998684631900066,1.1182486459829049,-0.3816198172071017,False
2016-08-02,2019-09-05,0.29933092555188856,0.22908188008393782,-0.07024904546795074,1.5271396002676476,1.235016387375798,-0.2921232128918496,False
2016-08-31,2019-10-14,0.2863725183180741,0.21347170181354458,-0.07290081650452951,1.4564471713721028,1.1524473402986526,-0.3039998310734502,False
2016-10-10,2019-11-12,0.2917270059634227,0.20372753935223553,-0.08799946661118718,1.485414770142017,1.1158410503788991,-0.3695737197631179,False
2016-11-08,2019-12-11,0.2953217816473388,0.22637582410046986,-0.06894595754686894,1.4977743874589973,1.2262717723377508,-0.2715026151212465,False
2016-12-07,2020-01-10,0.33634945717840203,0.22324330834112827,-0.11310614883727377,1.6768618243565303,1.2032434706225903,-0.47361835373394,False
