sample,annual_return_delta,sharpe_delta
0,0.0027918113119165255,0.01882871267756725
1,0.03987555310369939,0.11651278898250328
2,-0.016906426824838894,-0.059230686777607344
3,0.13030402237990613,0.35015849366101814
4,0.029772989187695442,0.05924606210729699
5,0.12842121357538794,0.38880063462761727
6,0.0661877685214689,0.20863159372535378
7,0.06031495921696273,0.17329927405378398
8,0.12266828880432112,0.37175086870993834
9,-0.01277656284827966,-0.044004433009199984
10,0.08232080659731844,0.22971403812399238
11,0.03270432552813385,0.1231138462676134
12,-0.06650758559791581,-0.19946442146436283
13,0.08904168548184144,0.20489416424262052
14,0.06976088020532423,0.19819969420221284
15,0.13968387052156794,0.47755348641114936
16,0.04435338267987454,0.12255748716892123
17,0.0443944691329643,0.12868721036477782
18,0.11258742815686085,0.23476068065266786
19,0.11682514177027037,0.31790557971569
20,0.037181039835297636,0.08591962883284321
21,-0.07425397731976524,-0.2466359647549079
22,0.0037105296864416992,0.004160086923368889
23,0.09633695574930856,0.2670513855842167
24,0.031011859007938236,0.08559218668179391
25,0.09348514648169992,0.2744258020744439
26,0.12853108962928128,0.392139432202097
27,0.02515709465741356,0.0990189477507426
28,0.04943221754783922,0.11905350212549548
29,0.0705664455119861,0.1842726072234171
30,0.1604839410461405,0.47734858828400883
31,0.10488051460187453,0.3628587071967734
32,0.01570981103401481,0.03800253718993796
33,0.08161813049235822,0.2183900307092943
34,0.10936721848261066,0.38083890815784516
35,0.053930311728573654,0.16613929522388826
36,-0.08256212624715076,-0.23903098952642154
37,0.010740671338994146,0.019196087562700415
38,-0.024825121630262403,-0.08024430400509786
39,0.01035373042786536,0.0010650168870824928
40,0.07155579166559889,0.21157288049305034
41,0.037722470687060694,0.11459818801802069
42,0.09270811819376834,0.2980666629992772
43,0.017326511486296825,0.033371468393723625
44,0.028894807031016656,0.056560537214849216
45,0.08261531925177179,0.23844518572753315
46,0.06864447577818433,0.18336791900498395
47,0.010761635856676222,-0.03762229735698552
48,0.04778621716217879,0.10261424356094717
49,0.11609377234389928,0.2581863847191024
50,-0.02545541578073962,-0.08932710788242226
51,0.05952621311805961,0.15169404410214637
52,-0.04062282562053743,-0.17227606691245323
53,0.09064165465258367,0.3026927204999963
54,0.002802051774241976,0.0021910688931692235
55,0.09295855315028279,0.2894776299250492
56,0.06573733888147437,0.1849777221101485
57,0.12287884864795373,0.34491398554771635
58,0.17394989565294638,0.4144917351921291
59,0.08137315580542293,0.20064663483635714
60,0.06895211928336509,0.17784520381449154
61,0.05054000499206568,0.12870724204545825
62,0.11289079750570186,0.29029199556520724
63,0.13808731928102014,0.4433785855596729
64,0.1443232630137239,0.4093365120533812
65,0.048460178730743486,0.1489381136094461
66,0.08096348487363225,0.24341733512040253
67,0.025501105869890406,0.07548256114746321
68,0.025384369819165142,0.08095687609031588
69,0.17215518133973906,0.4762970459448862
70,0.05504771570415068,0.136511262933517
71,0.1557184162929206,0.47992160769959025
72,0.05229053581767551,0.13421003544898313
73,0.04034085319669356,0.11024133302371242
74,0.05934269784770829,0.16402844141788786
75,0.10291936821991832,0.32258464389834995
76,0.08602621269431432,0.2719507849869742
77,0.2263740471897271,0.5231224084356396
78,0.16530201332806382,0.5547116643605068
79,0.04549896674833498,0.12365239291923413
80,0.0736012866043867,0.2157173611897405
81,-0.033376428114107126,-0.12485402605582041
82,0.08814967505344207,0.20041009890072514
83,0.060879383846748736,0.16245189113011915
84,0.05382338711011214,0.1380166702154213
85,-0.005511482192368078,-0.014895715438608681
86,0.08321753522136843,0.24412937354731967
87,0.0973108873283337,0.26522492901020644
88,-0.003874418393514878,-0.01611150268147421
89,0.18574822974420968,0.4126269510744309
90,0.06804187457680877,0.19796463001591902
91,-0.06649632833184738,-0.1943446930253958
92,-0.009853529397458205,-0.03971362350347851
93,0.10448623895936926,0.27948439231340194
94,-0.03053615922087083,-0.09200851248407127
95,0.06348775206190838,0.18599342503022398
96,0.08889212283248749,0.2602813385500169
97,0.04073091458371647,0.10645741969760747
98,0.1522070551770771,0.42022384135051283
99,0.059633000306140715,0.17966619679194107
100,-0.041557895222058994,-0.1570385522253902
101,0.13174680008762918,0.34119881862722035
102,0.05546535882934256,0.1266052076612474
103,0.08209570602852612,0.21623984647470684
104,0.12680213779593963,0.39891859664454477
105,0.08096578884622208,0.20440545141016941
106,5.58841445796876e-05,-0.006892996951914809
107,0.02887616825998207,0.06583936772773091
108,0.06528558458692935,0.162236322292296
109,0.0757255313373828,0.24751105016702857
110,0.010536171636122527,0.011445620878121954
111,0.007608662672700772,-0.0016580931138081567
112,0.06914583153769116,0.16574064470613736
113,0.036301628768302896,0.09802708319349906
114,0.06866120956413613,0.17813310959348194
115,0.05581618590450166,0.13831947848046733
116,0.008804044364258523,0.021010051715113498
117,0.08226208193667328,0.18521914434380737
118,-0.017524008097086652,-0.055282943570206466
119,0.060177454068765845,0.14206933094724583
120,0.02409645334134436,0.05454032530198427
121,0.04796337513309301,0.13965595716912638
122,0.06502581105414507,0.18697487634086452
123,0.07235025999340561,0.18706319768059143
124,0.00031479465721284683,-0.00798848323691348
125,-0.06902033989159229,-0.22390636237335304
126,0.050071566741923146,0.15471377322275093
127,0.06440617668266602,0.15711772902350796
128,0.07642737639777186,0.20333873898928378
129,0.09094082698576345,0.19574826687770686
130,0.03243146651566642,0.10956390098694213
131,0.10457203906211898,0.24574332985971115
132,0.1522663097865271,0.4333094992988179
133,0.01738387649852613,0.05345328403797922
134,0.018371185137585844,0.047040236878687414
135,0.07107705393854125,0.23537536058919395
136,0.020977559438651205,0.03881302305310608
137,0.10133675605642756,0.26392846953444593
138,0.11668328911338599,0.25264491373517695
139,0.11350658910315126,0.3477344969062084
140,0.06417692112528539,0.12715923758066516
141,0.16228183248543804,0.4694085841352382
142,-0.01232611988862975,-0.045968791734720016
143,0.08872211284621612,0.22998623105073634
144,0.09904625831107161,0.2721512203634926
145,0.04857316423574409,0.13829746885773586
146,0.10211864408764137,0.3076035660044487
147,0.034435675489072004,0.11089458767005633
148,-0.01091656327050372,-0.039544532769514085
149,0.026805619884211263,0.07941144753627594
150,0.01620173755231602,0.031444589621339
151,0.11323177415544317,0.28945432967185236
152,0.14389622140076908,0.38795006453808667
153,0.11619527738323243,0.343247143197426
154,0.022130806941154102,0.06429065328256889
155,-0.010227443281902282,-0.053254930470168826
156,0.06324155543988308,0.20677403862116672
157,0.08352586146245589,0.19740126033618455
158,0.058320132188671714,0.14111262604515606
159,0.0730095242454547,0.17899713838872278
160,0.056810072511902066,0.11969774948862977
161,0.08420960907627739,0.23208098165334157
162,-0.0413732397240687,-0.16034225995751228
163,0.06833593387164982,0.1647357579198796
164,0.055861426516405466,0.15886519801614662
165,0.12610011467694382,0.33209730674725524
166,-0.006851626555401502,-0.041829864048060106
167,0.11624343907269141,0.34017711079685364
168,0.010205857674418617,0.02051125919991137
169,0.10020549961591696,0.2624829567331348
170,0.04454646671067253,0.1314255658528558
171,0.017062615913556733,0.02866711916998299
172,0.044059600932055965,0.09196480239442928
173,0.06934321151910039,0.16452797515012607
174,0.00261763674788118,-0.004684767002596679
175,-0.02216718229417025,-0.06445965020316358
176,0.13785934850531856,0.3577834797830308
177,0.07568082206162119,0.19866222230355657
178,0.20377591378083748,0.47536616790865005
179,0.17764858149938467,0.48356026884397285
180,0.07433235266994576,0.19384880714466868
181,-0.04619576317700136,-0.16098687237564557
182,-0.009683373516284233,-0.04828380951021605
183,0.05727086443114393,0.14483067641473846
184,0.08001467723297129,0.24515736933363352
185,0.1188566097241075,0.3974129974474683
186,0.04357787116790646,0.10130591938655087
187,0.08230369869954135,0.19624023077329356
188,-0.0009168166342023998,-0.022452245214783506
189,0.2179615851228367,0.5640207106391513
190,0.09735594999928443,0.2675268303521774
191,-0.0039806850097379165,-0.025084461933094104
192,0.050495076181085174,0.12306509870901272
193,0.056817691852963925,0.15325915628673847
194,0.1481708321860018,0.3821332084097293
195,-0.05347478000356842,-0.18332563382391065
196,0.07045923207217797,0.21545331119396005
197,0.08609170835634505,0.19926419417678787
198,0.04488277342453362,0.1393302515482655
199,0.17188715170583424,0.45407690949442414
200,0.06287653429921858,0.19342300538776502
201,0.06346635803921652,0.14610694232509558
202,0.10010295774220324,0.2968045263678374
203,0.05124653179186689,0.1625813313901633
204,0.08118796415371676,0.19948055013677402
205,-0.00790013863594563,-0.02637252829515102
206,0.06627211988993587,0.19045078128898152
207,0.044882100981118445,0.1435196672129916
