window,history,mechanism,drawdown_direction,rebound_direction,volume_direction,rsi_direction,alpha,rebalance_days,selection_cost_rate,train_annual_return,train_sharpe,train_max_drawdown,current_annual_return_delta,current_sharpe_delta,matched_annual_return_delta,matched_sharpe_delta,current_dual_blocks,matched_dual_blocks,median_current_annual_return_delta,median_current_sharpe_delta,robust_score,current_joint_improvement,block_1_current_annual_delta,block_1_current_sharpe_delta,block_1_matched_annual_delta,block_1_matched_sharpe_delta,block_2_current_annual_delta,block_2_current_sharpe_delta,block_2_matched_annual_delta,block_2_matched_sharpe_delta,block_3_current_annual_delta,block_3_current_sharpe_delta,block_3_matched_annual_delta,block_3_matched_sharpe_delta,block_4_current_annual_delta,block_4_current_sharpe_delta,block_4_matched_annual_delta,block_4_matched_sharpe_delta,current_gate,matched_gate,selected_on_train
10,126,near_high_high_volume_high_rsi,-1,1,1,1,0.25,1,0.0005,0.20808984725542423,0.9726431112368212,-0.26077643000923123,-0.007463319858638018,-0.028395734294400343,-0.0005621236392538975,-0.0021219893376408505,1,0,-0.006347282921957298,0.027623224757499232,-0.12694565843914596,-0.034624032476816835,-0.0023253910688663115,0.07800861897151412,0.0,0.0,-0.010369174775048284,-0.022762169456515657,-0.0024261522596937812,-0.009065651804720076,-0.05553284436317285,-0.16058687646160563,0.0,0.0,0.03570406254883318,0.12056901862608771,0.0,0.0,False,False,False
10,126,near_high_high_volume_high_rsi,-1,1,1,1,0.25,2,0.0005,0.19674993515410222,0.9226272389915735,-0.2316674972111924,-0.01880323195996003,-0.07841160653964807,-0.002329845736124936,-0.008875881222391135,1,0,-0.01579730668748014,-0.0671100992400181,-0.3355504962000905,-0.08723245504442113,-0.04256389924234005,-0.25771942475103893,0.0,0.0,0.0014327402942626577,0.04156185269162371,-0.010265609309062285,-0.03936663418743502,-0.015612308692349863,-0.04890684473074591,0.0,0.0,-0.015982304682610415,-0.08531335374929028,0.0,0.0,False,False,False
10,126,near_high_high_volume_high_rsi,-1,1,1,1,0.25,3,0.0005,0.17386013825756486,0.8308733585580677,-0.20648298532333698,-0.041693028856497394,-0.17016548697315392,0.001921140996189008,0.00700684900045212,0,1,-0.040276423293062136,-0.22159729336146872,-1.1079864668073436,-0.19342341109947636,-0.03313674124783672,-0.212518204275158,0.0,0.0,-0.07669223314760965,-0.26355082729660717,0.008074119800367097,0.029845945857752687,-0.010182190125108237,-0.03524779854702176,0.0,0.0,-0.04741610533828755,-0.23067638244777944,0.0,0.0,False,False,False
10,126,near_high_high_volume_high_rsi,-1,1,1,1,0.25,5,0.0005,0.21964128660277438,1.0157368567118295,-0.21988831808861675,0.0040881194887121275,0.014698011180607873,0.0040881194887121275,0.014698011180607873,1,1,0.0,0.0,0.0,0.01468275806300811,0.0,0.0,0.0,0.0,0.017752449702714834,0.06018513411608484,0.017752449702714834,0.06018513411608484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False
10,126,near_high_high_volume_high_rsi,-1,1,1,1,0.25,10,0.0005,0.2835512973872534,1.2134365260731206,-0.19672816700819562,0.06799813027319113,0.212397680541899,0.002641066168325157,0.008597569817310191,3,1,0.06932656849019825,0.2952292887091454,1.386531369803965,0.21217726114233446,-0.12567706470607365,-0.7469285454584156,0.0,0.0,0.04183882110226289,0.2061747795591773,0.011116192171969352,0.03775902188553837,0.2991649190740633,0.7370732795857279,0.0,0.0,0.0968143158781336,0.3842837978591135,0.0,0.0,True,False,False
10,126,near_high_high_volume_high_rsi,-1,1,1,1,0.5,1,0.0005,0.1636294216058427,0.8057695572260559,-0.2806902036682899,-0.05192374550821954,-0.19526928830516566,-0.04502254928883542,-0.16899554334840616,1,1,-0.06454292365456493,-0.235483760128459,-1.2908584730912986,-0.2408860245636917,-0.06342737093014383,-0.28472330039728,-0.06110197986127752,-0.3627319193687941,-0.12061150571292067,-0.44123973730861277,-0.11266848319756617,-0.4275432196568172,-0.06565847637898603,-0.18624421985963802,-0.01012563201581318,-0.025657343398032384,0.0357140320945597,0.12083182669091663,9.969545726518092e-06,0.00026280806482892327,False,False,False
10,126,near_high_high_volume_high_rsi,-1,1,1,1,0.5,2,0.0005,0.1320642472149991,0.6740100143057196,-0.252365429713027,-0.08348891989906315,-0.32702883122550197,-0.06701553367522806,-0.25749310590824503,1,1,-0.08582723885189947,-0.2889424413637234,-1.7165447770379894,-0.3873240231950946,-0.17086048141072063,-0.9669464675809647,-0.12829658216838058,-0.7092270428299258,-0.11893236885909197,-0.4265730046407743,-0.13063071846241692,-0.507501491519833,-0.05272210884470696,-0.15131187808667246,-0.0371098001523571,-0.10240503335592654,0.010540215956369003,0.02403027713169692,0.02652252063897942,0.1093436308809872,False,False,False
10,126,near_high_high_volume_high_rsi,-1,1,1,1,0.5,3,0.0005,0.10472576443653625,0.563755311710665,-0.22785935759604514,-0.110827402677526,-0.4372835338205566,-0.0672132328248396,-0.2601111978469506,0,1,-0.10764857159277719,-0.5062355187732972,-2.5311775938664858,-0.5141534414053889,-0.1429033421296766,-0.8051131314127402,-0.10976660088183987,-0.5925949271375823,-0.20971342066985388,-0.8145818452171537,-0.12494706772187714,-0.5211850720627939,-0.07239380105587778,-0.2073579061338543,-0.062211610930769545,-0.17211010758683254,-0.022257125272757028,-0.11800846853393021,0.025158980065530523,0.11266791391384923,False,False,False
10,126,near_high_high_volume_high_rsi,-1,1,1,1,0.5,5,0.0005,0.1537292051355681,0.7604601335565125,-0.24090356718648387,-0.06182396197849416,-0.24057871197470904,-0.06182396197849416,-0.24057871197470904,1,1,-0.04684808622136449,-0.18173173872506765,-0.9369617244272899,-0.28681537277426944,-0.16603826911543207,-0.9393889002429429,-0.16603826911543207,-0.9393889002429429,-0.054889980040832675,-0.1876547484911668,-0.054889980040832675,-0.1876547484911668,0.024526387875102307,0.06522463333243922,0.024526387875102307,0.06522463333243922,-0.03880619240189631,-0.17580872895896849,-0.03880619240189631,-0.17580872895896849,False,False,False
10,126,near_high_high_volume_high_rsi,-1,1,1,1,0.5,10,0.0005,0.24939009287387992,1.1076434065419696,-0.2183673220869431,0.03383692575981767,0.106604561010748,-0.0315201383450483,-0.09719554971384081,3,0,0.04375318159056918,0.18336493498615963,0.8750636318113836,0.1064939302671877,-0.19113294835425054,-1.0718187559040635,-0.0654558836481769,-0.3248902104456478,0.022228758576834817,0.10965868557973857,-0.008493870353458721,-0.05875707209390035,0.29362555035255866,0.7707949106360829,-0.005539368721504623,0.03372163105035497,0.06527760460430354,0.2570711843925807,-0.031536711273830065,-0.1272126134665328,True,False,False
