metric,observed,bootstrap_mean,ci_2_5,ci_97_5,probability_positive,benchmark
annual_return_delta,0.06533877323686732,0.07563281738145138,-0.0761841571704493,0.2003062005512181,0.863,current_qmom_rd5
sharpe_delta,0.29734176808562474,0.33621866683898793,-0.015854274884389678,0.6779904180951343,0.9695,current_qmom_rd5
annual_return_delta,0.03242428325919566,0.021284731613339956,-0.03078928721108353,0.07655617033177702,0.788,matched_qmom_rd10
sharpe_delta,0.1123501387155128,0.06160668350588397,-0.10440074972983852,0.23712571076952813,0.7625,matched_qmom_rd10
