window,history,alpha,rebalance_days,is_selected,train_annual_return,train_sharpe,train_max_drawdown,train_dual_vs_current,train_dual_vs_matched,test_annual_return,test_sharpe,test_max_drawdown,test_dual_vs_current,test_dual_vs_matched,full_annual_return,full_sharpe,full_max_drawdown,full_dual_vs_current,full_dual_vs_matched
40,252,0.15,5,False,0.21555316711406225,1.0010388455312216,-0.21988831808861653,False,False,0.36230279310713476,1.1876335638834286,-0.2622193265943892,False,False,0.26810167401475793,1.071866708540985,-0.26221932659438696,False,False
40,252,0.15,10,False,0.2809102312189282,1.2048389562558104,-0.19672816700819518,True,False,0.3357798531105145,1.3413876244597558,-0.20416629306278034,False,False,0.3010161639924296,1.256858337911097,-0.2041662930627801,True,False
40,252,0.15,15,False,0.24885287553169166,1.1173835963977314,-0.20124021340058318,True,False,0.39378905743882253,1.5486934956266976,-0.1889252634323254,True,False,0.30082194728964384,1.2822172295986412,-0.20124021340058318,True,False
40,252,0.25,5,False,0.21606143312587167,0.9940754396357123,-0.21988831808861664,False,False,0.36401913557279153,1.190301111538553,-0.26221932659438774,True,True,0.26902816033203614,1.0695185010740884,-0.26221932659438807,False,False
40,252,0.25,10,False,0.30621648782701705,1.2679160826531821,-0.1967281670081954,True,True,0.34684447371451843,1.3725384119557,-0.2041662930627799,False,True,0.32115732747135173,1.3075001008295513,-0.2041662930627799,True,True
40,252,0.25,15,False,0.2507114216441433,1.116074952805804,-0.2012402134005833,True,False,0.39378905743882253,1.5486934956266976,-0.1889252634323254,True,False,0.3020386686502776,1.2806235917508006,-0.2012402134005833,True,False
40,252,0.35,5,False,0.17296540959392503,0.8114331735950531,-0.21988831808861664,False,False,0.3426638422425363,1.1332986748750091,-0.2622193265943883,False,False,0.23336555422837235,0.9434348903584788,-0.2622193265943886,False,False
40,252,0.35,10,False,0.17176920104805515,0.79252645524429,-0.30941183511046755,False,False,0.33015931885644645,1.3252937436164691,-0.2041662930627799,False,False,0.22829670694946658,0.9912127974574776,-0.30941183511046755,False,False
40,252,0.35,15,False,0.21423564936325112,0.9800474449509939,-0.22693670029304114,False,False,0.34892299140658434,1.38441213119475,-0.18892526343232519,False,False,0.2626015817184275,1.1351346603736867,-0.22693670029304114,False,False
40,252,0.5,5,False,0.13578810586203338,0.6722066633550774,-0.23161040118381448,False,False,0.3464729957557502,1.1474706861207022,-0.30333330174847206,False,False,0.20992685226950414,0.8713818339440489,-0.30333330174847273,False,False
