date,period,qmom_asset,candidate_asset,qmom_asset_score,candidate_asset_score,qmom_drawdown_percentile,qmom_rebound_percentile,qmom_volume_percentile,qmom_rsi,candidate_drawdown_percentile,candidate_rebound_percentile,candidate_volume_percentile,candidate_rsi
2016-01-27,train,518880.SH,513100.SH,3.6429890138362175,3.722090239695418,0.0496031746031746,0.8551587301587301,0.7698412698412699,67.83076866132791,0.9841269841269841,0.06547619047619048,0.9226190476190477,39.70893618790061
2016-12-26,train,513100.SH,518880.SH,3.5644289493267776,3.5720143324171243,0.060515873015873016,0.8353174603174603,0.6071428571428571,70.34833711877143,0.9503968253968254,0.14484126984126985,0.6984126984126984,35.99395891340049
2018-10-11,train,518880.SH,510300.SH,3.7338595028121087,3.7941539401076905,0.057539682539682536,0.6527777777777778,0.6428571428571429,57.990004199483,0.9543650793650794,0.0248015873015873,1.0,34.12556118481113
2018-10-12,train,518880.SH,510300.SH,3.6059367302545287,3.645549479302019,0.012896825396825396,0.8154761904761905,0.6964285714285714,68.19757458401489,0.8849206349206349,0.1746031746031746,0.9781746031746031,39.73931048880255
2018-10-15,train,518880.SH,513100.SH,3.5757830554705894,3.6009846951512605,0.013888888888888888,0.871031746031746,0.7400793650793651,73.13703969953292,0.9742063492063492,0.013888888888888888,0.6111111111111112,36.945918112604986
2018-10-16,train,518880.SH,510300.SH,3.6257396127658557,3.777066532324931,0.031746031746031744,0.8690476190476191,0.8154761904761905,72.6695377642892,0.9642857142857143,0.025793650793650792,0.9742063492063492,35.85653480485507
2018-10-19,train,518880.SH,510300.SH,3.5045421319539187,3.6345303840436594,0.01488095238095238,0.8988095238095238,0.6130952380952381,72.00824027588293,0.9424603174603174,0.25793650793650796,0.9920634920634921,40.7526533499983
2018-10-30,train,518880.SH,510300.SH,3.5839171257528415,3.5907096954652116,0.09722222222222222,0.9067460317460317,0.6646825396825397,68.73244786530466,0.8829365079365079,0.20436507936507936,0.9305555555555556,42.77075931965612
2019-01-02,train,518880.SH,513100.SH,3.2323547733731384,3.282575017555935,0.025793650793650792,0.9543650793650794,0.16468253968253968,77.14015643648347,0.9880952380952381,0.3115079365079365,0.28174603174603174,39.318329822146374
2019-01-03,train,518880.SH,513100.SH,3.1890292316810847,3.4832356331699406,0.026785714285714284,0.998015873015873,0.16666666666666666,81.73780445743391,0.9880952380952381,0.27976190476190477,0.6448412698412699,38.67033368347225
2019-01-04,train,518880.SH,510300.SH,3.2878180692555676,3.3695435103809457,0.12896825396825398,0.9583333333333334,0.14484126984126985,73.98400519650554,0.7242063492063492,0.2896825396825397,0.7341269841269841,42.9563772888902
2019-01-07,train,518880.SH,513100.SH,3.3842188132451523,3.4495903068245832,0.2123015873015873,0.8869047619047619,0.12698412698412698,68.39433258906477,0.9642857142857143,0.5218253968253969,0.9325396825396826,47.58193863508333
2019-04-30,train,513100.SH,518880.SH,3.2355603563397484,3.311880817328977,0.20238095238095238,0.9742063492063492,0.06349206349206349,82.05459539871697,0.9345238095238095,0.23809523809523808,0.38492063492063494,45.75875716912527
2019-06-04,train,518880.SH,159915.SZ,3.180957366804619,3.2209948010023224,0.027777777777777776,0.9900793650793651,0.09325396825396826,76.90376473431428,0.9305555555555556,0.17063492063492064,0.06746031746031746,38.539135037630786
2019-06-05,train,518880.SH,159915.SZ,3.247996329600658,3.2708841000104094,0.028769841269841268,0.998015873015873,0.25595238095238093,79.07136900050334,0.9345238095238095,0.12896825396825398,0.1111111111111111,37.48984666458474
2019-06-06,train,518880.SH,510300.SH,3.2208224246254256,3.457314177333812,0.057539682539682536,0.996031746031746,0.16666666666666666,78.65297539237525,0.9682539682539683,0.031746031746031744,0.3472222222222222,36.91018040625353
2022-03-08,train,518880.SH,159915.SZ,3.6816653525605125,3.8482770314534567,0.03968253968253968,0.9027777777777778,0.9880952380952381,76.1669294878975,1.0,0.017857142857142856,0.996031746031746,28.162054026768985
2022-03-09,train,518880.SH,513100.SH,3.6584874563860486,3.7027881521879933,0.040674603174603176,0.9166666666666666,0.9761904761904762,78.32234999263153,0.9424603174603174,0.07142857142857142,0.9067460317460317,37.22014734017908
2022-03-11,train,518880.SH,159915.SZ,3.657135191609673,3.6932192953780856,0.4166666666666667,0.8472222222222222,0.3630952380952381,61.826929932033714,0.9920634920634921,0.16071428571428573,0.9384920634920635,38.34026790850985
2022-03-14,train,518880.SH,159915.SZ,3.734949824142488,3.7606928515865414,0.47619047619047616,0.8214285714285714,0.4107142857142857,59.55765421912145,0.998015873015873,0.03968253968253968,0.8928571428571429,32.9804773017394
2024-09-20,test,518880.SH,159915.SZ,3.4569941706860536,3.478932988123583,0.08234126984126984,0.8194444444444444,0.3333333333333333,68.22418173580519,0.6388888888888888,0.20337301587301587,0.9444444444444444,42.209434121315205
