family,q_window,rsi_weight,threshold,rebalance_days,train_days,train_annual_return,train_sharpe,train_max_drawdown,train_total_return,test_days,test_annual_return,test_sharpe,test_max_drawdown,test_total_return,full_days,full_annual_return,full_sharpe,full_max_drawdown,full_total_return,full_annual_turnover,train_joint_improvement,test_joint_improvement,full_joint_improvement,dual_improvement_train_and_test
qmom,10,,,1,2225,0.1638007388952727,0.7463222302937127,-0.3940689516254271,2.816510510546858,958,0.19893284953596146,0.8398117787137014,-0.25504107542942467,0.9931754881654178,3183,0.1742648939282161,0.7753634163791362,-0.3940689516254271,6.606975199947695,125.96041470311027,-0.38986545191697664,-0.497164251312049,-0.4297349778593328,False
qmom,10,,,2,2225,0.1737609305096064,0.7795929308987055,-0.36753736134102544,3.1147563914073926,958,0.19690161477803514,0.8333021179860228,-0.2550410754294248,0.9803685618188265,3183,0.18067821030360265,0.7962290269414565,-0.36753736134102544,7.148734197086277,104.10933081998115,-0.3527651491319128,-0.5022985338231847,-0.40874801988768616,False
qmom,10,,,3,2225,0.16272421931570635,0.7329032238091824,-0.37303157383726493,2.785452968251793,958,0.13823475431236076,0.6602861304393574,-0.23911218391489275,0.6359508681598673,3183,0.15529861307573234,0.7115577451456756,-0.37303157383726493,5.192815069789849,88.27521206409048,-0.393875334849197,-0.6505887472004188,-0.4918002987995507,False
qmom,10,,,5,2223,0.17353693741317566,0.7660996222266104,-0.4091449727503531,3.1026147478437336,958,0.1775535297471642,0.7954490546557301,-0.19305063532398858,0.8613976890313855,3181,0.17474514317551737,0.7748025001301748,-0.4091449727503531,6.6365976106223945,69.31782458346431,-0.3535994916848597,-0.5512040255248828,-0.42816340861511015,False
qmom,10,,,10,2225,0.15870100248648433,0.729001982589249,-0.36985876230698544,2.671357638563806,958,0.13730398524126164,0.662566610570845,-0.22881012611388685,0.6308710541230775,3183,0.15221905309737216,0.7094087859719211,-0.36985876230698544,4.987510902067376,44.25636192271442,-0.4088612476020499,-0.6529414202949502,-0.5018778611797653,False
qmom,10,,,20,2225,0.22229243986599423,0.9234034609721856,-0.4631941058407405,4.884384047904142,958,0.4020835583135791,1.622486084160039,-0.22813466375095193,2.613880446795288,3183,0.2738338974534631,1.115333538349647,-0.4631941058407405,20.265460452154866,23.19698397737983,-0.17199215183866745,0.016332835684712554,-0.10390503747421709,False
qmom,20,,,1,2215,0.2647774034475432,1.0895147266445082,-0.2849299695182552,6.882637133952165,958,0.47640200636643093,1.4617146709930626,-0.25504107542942456,3.397908204338747,3173,0.325257981103209,1.2126456676285833,-0.2849299695182552,33.66711452323356,82.51749133312322,-0.013741680992347183,0.1518129125844041,0.0496352888023146,False
qmom,20,,,2,2215,0.2619088947660204,1.0757157728788524,-0.2837202250949441,6.726878108573777,958,0.44254951756795746,1.3816207621239696,-0.28150770450869933,3.026700808752775,3173,0.3139248330910509,1.1761060611920202,-0.2837202250949441,30.113826328928173,67.26883075953356,-0.024804429981784892,0.08869991229406371,0.01800753357372642,False
qmom,20,,,3,2215,0.2192744139892293,0.9279545172612516,-0.2852092976386863,4.712214443901919,958,0.4378288547824818,1.375762040162043,-0.271527176877728,2.9768358900567375,3173,0.28150658070769996,1.0767689344503466,-0.2852092976386863,21.716539412209638,59.64450047273873,-0.1832338706907427,0.0840833125288003,-0.0787969231132255,False
qmom,20,,,5,2215,0.2684665856242969,1.10307696830366,-0.2574996335895967,7.087045727608523,958,0.3956219303321946,1.2690556383096192,-0.2550410754294248,2.5509730303353773,3173,0.3055858016226536,1.1553019230253505,-0.2574996335895967,27.71688127382674,47.41380397100536,0.0,0.0,0.0,False
qmom,20,,,10,2215,0.30313555812531745,1.2261612148121799,-0.4330337869774964,9.249956885104067,958,0.3555845817524934,1.4036024882626432,-0.2001068119647188,2.179002599267365,3173,0.3187535701130866,1.279488985312165,-0.4330337869774964,31.584639580124218,32.16514339741569,0.11158264567684872,-0.10120103439686157,0.04309024967950892,False
qmom,20,,,20,2213,0.12605671407058106,0.5956197132458062,-0.5688928545676215,1.8365415349440024,958,0.1963835918370087,0.8685369555937277,-0.3043012272830633,0.9771121582526052,3171,0.14685605079269592,0.6746269418241141,-0.5688928545676215,4.608160756126297,21.695364238410594,-0.5304565975037581,-0.5036079226646766,-0.5194277678711063,False
qmom,40,,,1,2193,0.12100525193804046,0.5891846977259836,-0.5490883703393901,1.702120079875586,958,0.20328137874371954,0.8323671494720272,-0.2579667877370111,1.0207980368163456,3151,0.14540608817784917,0.6668364677520493,-0.5490883703393901,4.460438952654591,51.42367502380196,-0.5492725783484276,-0.4861726230064424,-0.524172630384834,False
qmom,40,,,2,2193,0.14317255873374113,0.6654322960862998,-0.5237193264265052,2.204136005070011,958,0.24096893045587287,0.9783499378041092,-0.25796678773701076,1.2721671609598997,3151,0.17206098263476677,0.7623140694439956,-0.5237193264265052,6.2803326099693155,42.46651856553475,-0.46670250079426034,-0.3909110896518381,-0.43694706455232246,False
qmom,40,,,3,2193,0.11979843583525152,0.5780856859490117,-0.5720911845715932,1.676909885018822,958,0.24338735082172813,0.9948069579248002,-0.25796678773701087,1.2890467346917989,3151,0.1560139758508361,0.7050305478242566,-0.5720911845715932,5.127571831366527,37.50809266899397,-0.5537677973716166,-0.3847981313438277,-0.4894593432600419,False
qmom,40,,,5,2191,0.13274727856817448,0.6274122022826573,-0.49510507627793077,1.9556744666171344,958,0.24857061914365963,1.0136424993500652,-0.25796678773701076,1.3255348854482847,3149,0.16679786328044433,0.7456275123520072,-0.49510507627793077,5.873524082146901,31.61003493172436,-0.5055351925474016,-0.37169656157599607,-0.45417011394262596,False
qmom,40,,,10,2191,0.04649300469732287,0.3089947327168351,-0.5996021242441545,0.4845554427145642,958,0.18310480252234385,0.8112741459271486,-0.25796678773701065,0.8949778393373231,3149,0.08629418929693333,0.4618444192738167,-0.5996021242441545,1.8131996652117088,24.40774849158463,-0.8268201437836027,-0.537172263507751,-0.7176106061253069,False
qmom,40,,,20,2191,0.07021807303709315,0.39956968282159694,-0.5562960101700481,0.8040356169283669,958,0.23753268470563982,0.9599834577150473,-0.2621481555921711,1.2483415773406454,3149,0.11857224967068514,0.574779061351696,-0.5562960101700481,3.0560882845434296,16.88536043188314,-0.7384476251530268,-0.39959677031506036,-0.6119837733262827,False
qmom,60,,,1,2171,0.03447252230617348,0.2613760695098717,-0.6841859188024401,0.33907531289816006,958,0.21777773024030767,0.8272682904823426,-0.2550874890082223,1.1149218678178396,3129,0.08745347245081603,0.44893059246207423,-0.6841859188024401,1.832039661903344,40.510067114093964,-0.871594737847876,-0.44953069194762607,-0.7138169640525178,False
qmom,60,,,2,2171,0.014863475015951977,0.1872151869532535,-0.6974408254652104,0.13553931858169,958,0.18668381536832568,0.7399108168248717,-0.29433568594938153,0.9168629591484032,3129,0.06464501477080598,0.368731539242852,-0.6974408254652104,1.176673258445856,35.19463087248322,-0.9446356611516916,-0.5281257153475502,-0.7884554373025762,False
qmom,60,,,3,2171,0.02949773620146412,0.24254920777207611,-0.6755170886612265,0.2846025752020025,958,0.1888957333576411,0.7395599355274188,-0.3211610387415844,0.9304812865192489,3129,0.07588667214449552,0.4077164850290451,-0.6755170886612265,1.4799012320419087,31.328859060402685,-0.8901251113509356,-0.522534726022317,-0.7516682000880308,False
qmom,60,,,5,2171,0.04642619859927155,0.3063859139393069,-0.666654795766905,0.47839739824386096,958,0.22036681575534134,0.8398780567231003,-0.2550410754294248,1.132066603740567,3129,0.09686974363801437,0.4821530015972859,-0.666654795766905,2.1520417198526793,27.302013422818792,-0.827068987034974,-0.4429863491887206,-0.6830031267040606,False
qmom,60,,,10,2171,0.05834080194344926,0.34930950960986223,-0.6524837678654695,0.6298625423432604,958,0.16083025268948115,0.6707607563769451,-0.2997490723952877,0.7628848083843844,3129,0.08871974780560987,0.45311774258693427,-0.6524837678654695,1.8732599156516812,20.697986577181208,-0.7826887774216574,-0.5934748800339867,-0.7096732003433731,False
qmom,60,,,20,2175,0.10187676534552081,0.5198505253044001,-0.579546097025851,1.3101923225117162,958,0.1999156646864484,0.7875282584783291,-0.275039632499968,0.9993939953966451,3133,0.1309728872539031,0.6086646901183812,-0.579546097025851,3.618984657841354,14.880306415576126,-0.6205234811303806,-0.49468002312565484,-0.5714038853950671,False
qmom,90,,,1,2142,-0.016085157433190056,0.07185381504741736,-0.6409365461853356,-0.12875790153745237,958,0.11915509280530201,0.5538451857596794,-0.3289469381160427,0.534124656236707,3100,0.02386462972908321,0.2228785556759291,-0.6920296991451922,0.3365939848028081,54.22064516129032,-1.059914932786832,-0.6988157539566873,-0.9219053058016355,False
qmom,90,,,2,2142,-0.017961808229767118,0.0640979065343199,-0.646556695243827,-0.1427821365243701,958,0.03213618032541987,0.25417462538887103,-0.3932764918330417,0.12777486823029482,3100,-0.002745189656486957,0.12303549077823722,-0.7267471840821599,-0.033251236974113474,46.0916129032258,-1.0669051911544165,-0.9187704779195737,-1.0089833678198072,False
qmom,90,,,3,2142,0.043800812615593765,0.29499074715048146,-0.5565381351884882,0.43962659267574344,958,0.13192921435904958,0.6153128180324465,-0.2879986745795251,0.6017644453536866,3100,0.0702767036678904,0.3915661040637793,-0.5565381351884882,1.3059426907336769,37.8,-0.8368481779073601,-0.6665270445238674,-0.770026279706967,False
qmom,90,,,5,2142,0.028011821362637246,0.23715532654788254,-0.6174607826490612,0.26468953344233737,958,0.08653798222891229,0.458381837164663,-0.32903857261980773,0.3709697806416088,3100,0.0457535483040874,0.3033990000092347,-0.6174607826490612,0.7338511322431807,30.321290322580644,-0.8956599336282463,-0.7812609069566787,-0.8502759353964185,False
qmom,90,,,10,2142,0.048345212114176084,0.31130282904431766,-0.6608211423983452,0.49378015883673965,958,0.16904742138333928,0.7636346046860982,-0.27594233428202486,0.81079696350119,3100,0.08425176241501675,0.4428018282911712,-0.6608211423983452,1.7049325757598983,22.68,-0.8199209335427973,-0.5727046242320438,-0.7242942506895221,False
qmom,90,,,20,2141,0.08183819311310625,0.42888751563131194,-0.590955189454996,0.9509406932616435,958,0.15395807141276374,0.6832628979144322,-0.3296004083764287,0.7235378501780096,3099,0.10363781839571895,0.5059230324390401,-0.590955189454996,2.3625201282889705,14.067763794772507,-0.6951643239966037,-0.6108454572184896,-0.66085525621477,False
qmom,120,,,1,2113,0.07547567127459565,0.40497412164311025,-0.5473874711133424,0.8406382524822396,958,0.032502398259554255,0.25527155958717496,-0.47864142123704134,0.12929683732581276,3071,0.06188160203465398,0.35969671569205824,-0.5473874711133424,1.0786269571891052,32.90524259198958,-0.7188638165189787,-0.9178448013934345,-0.7974984383892704,False
qmom,120,,,2,2113,0.07320285599910892,0.39739847979098325,-0.5473874711133427,0.8082756054057714,958,0.04648898680179192,0.30741485858871714,-0.4409278812370623,0.18856528440172227,3071,0.064797072457909,0.3702144138549126,-0.5473874711133427,1.1492536092158074,28.966460436339954,-0.7273297314491421,-0.8824913806907615,-0.7879578432183758,False
qmom,120,,,3,2113,0.06578145158120452,0.37192746439568,-0.5473874711133426,0.7060639505311292,958,0.11499427069412826,0.5486648498890574,-0.3476743435060138,0.5125545695960114,3071,0.08089568852354723,0.4259489649121032,-0.5473874711133426,1.5805148243988767,25.52002605014653,-0.7549734115765835,-0.7093329214647676,-0.7352766781244646,False
qmom,120,,,5,2113,0.07325842815253725,0.39773670768646735,-0.5473874711133426,0.809060880864255,958,0.0880208203970625,0.45923302387422266,-0.43543145714689013,0.3780962074268923,3071,0.07784193960565178,0.41621112259262766,-0.5473874711133426,1.4930599389233965,21.0888961250407,-0.7271227330500709,-0.7775127877184325,-0.745269776304027,False
qmom,120,,,10,2113,0.0668177073450853,0.37635073493842847,-0.5473874711133426,0.7200228982530164,958,0.0723991320515458,0.3995759968789712,-0.37745710017577394,0.3043757296257774,3071,0.06855571096355262,0.383543861807857,-0.5473874711133426,1.243556122881826,15.837186584174535,-0.7511135056539486,-0.8169991941782552,-0.7756580619926601,False
qmom,120,,,20,2113,0.0909735098684139,0.46230152529135504,-0.5473874711133424,1.0752437388997813,958,0.14097559466508636,0.6320992565886543,-0.30632379069485904,0.6509771550972943,3071,0.10633189453422731,0.5154279803653516,-0.5473874711133424,2.4261800041822332,11.24194073591664,-0.6611365632081829,-0.6436608189371291,-0.6520391524422686,False
rsi_hi,20,,,1,2221,0.18675116487993781,0.8768748521896454,-0.39568722171050164,3.5223933322920793,958,0.3846819034570752,1.4660244116102568,-0.22469461349300235,2.4463106921789244,3179,0.2432182721461167,1.0635787263901966,-0.39568722171050164,14.585572495316898,94.88644227744574,-0.3043783663219638,-0.027652731146459275,-0.20409171219790567,False
