start,end,baseline_annual_return,selected_annual_return,annual_return_delta,baseline_sharpe,selected_sharpe,sharpe_delta,dual_improvement,benchmark
2016-01-04,2019-02-12,0.213007377273293,0.2275953878439163,0.014588010570623311,1.1996839282058085,1.252780278209994,0.053096350004185444,True,current_qmom_rd5
2016-02-02,2019-03-13,0.31481697584987356,0.3373528088192219,0.022535832969348357,1.5902426070166338,1.7007335379840913,0.11049093096745755,True,current_qmom_rd5
2016-03-09,2019-04-12,0.2609066283457877,0.3116755357278542,0.05076890738206652,1.3591950890657387,1.5857946499443871,0.2265995608786484,True,current_qmom_rd5
2016-04-08,2019-05-16,0.22188208408400345,0.29287493049902635,0.0709928464150229,1.190636219972167,1.5147774314061442,0.3241412114339772,True,current_qmom_rd5
2016-05-10,2019-06-17,0.23270314960770344,0.314994721975834,0.08229157236813056,1.2439965182638353,1.5966439965457933,0.35264747828195797,True,current_qmom_rd5
2016-06-08,2019-07-16,0.24015361190912587,0.3506941442725191,0.11054053236339323,1.265504892955937,1.7281901574519658,0.46268526449602887,True,current_qmom_rd5
2016-07-11,2019-08-14,0.2550336403753961,0.35015435035749753,0.09512070998210143,1.3458004417858642,1.7521814460748606,0.4063810042889964,True,current_qmom_rd5
2016-08-09,2019-09-12,0.27237336585936456,0.3440936536902037,0.07172028783083917,1.4115245402481276,1.7072835498886143,0.29575900964048674,True,current_qmom_rd5
2016-09-07,2019-10-21,0.24717066595249682,0.330178666581771,0.08300800062927416,1.2903587359483417,1.635778465081525,0.3454197291331833,True,current_qmom_rd5
2016-10-17,2019-11-19,0.26952867964449934,0.3697348836681431,0.10020620402364377,1.3931184321491097,1.789535524334589,0.39641709218547927,True,current_qmom_rd5
2016-11-15,2019-12-18,0.2985898615617386,0.4018979537750149,0.1033080922132763,1.5223546365013207,1.9228628347087968,0.4005081982074761,True,current_qmom_rd5
2016-12-14,2020-01-17,0.30953715799490267,0.40018319820516934,0.09064604021026668,1.5664412473649454,1.9112815089526478,0.3448402615877024,True,current_qmom_rd5
2017-01-13,2020-02-25,0.34113357478851336,0.4358976988132237,0.09476412402471035,1.5516162992033715,1.865574735231586,0.3139584360282144,True,current_qmom_rd5
2017-02-20,2020-03-25,0.27471785831438367,0.37238219487027746,0.0976643365558938,1.2437568800577923,1.5681983720737096,0.3244414920159173,True,current_qmom_rd5
2017-03-21,2020-04-24,0.2627017288463347,0.3594454324128866,0.09674370356655193,1.1975158277818287,1.522035100273422,0.3245192724915933,True,current_qmom_rd5
2017-04-21,2020-05-28,0.27258340409270243,0.3840103493158691,0.11142694522316665,1.2213423064679463,1.587184306904508,0.3658420004365617,True,current_qmom_rd5
2017-05-23,2020-06-30,0.3093502625674984,0.4253091492506844,0.11595888668318599,1.3450389768835402,1.7151121504973152,0.370073173613775,True,current_qmom_rd5
2017-06-23,2020-07-29,0.269190373586639,0.42008174350409067,0.15089136991745167,1.1689998694346386,1.6468885723913946,0.477888702956756,True,current_qmom_rd5
2017-07-24,2020-08-27,0.29291602511876724,0.480347591385742,0.18743156626697477,1.2167576835089817,1.7710125169370967,0.554254833428115,True,current_qmom_rd5
2017-08-22,2020-09-25,0.27480444278718674,0.463784395113616,0.18897995232642928,1.0804925758939266,1.6028965902239283,0.5224040143300017,True,current_qmom_rd5
2017-09-20,2020-11-03,0.2774020834375073,0.4783571968845921,0.20095511344708483,1.0818447369742603,1.6316495256051085,0.5498047886308481,True,current_qmom_rd5
2017-10-26,2020-12-02,0.28258865738421024,0.48346316096346764,0.2008745035792574,1.0941591498490935,1.6394790026482229,0.5453198527991294,True,current_qmom_rd5
2017-11-24,2020-12-31,0.2849152701556765,0.48994894251449717,0.20503367235882064,1.0995912625397803,1.652798590608144,0.5532073280683636,True,current_qmom_rd5
2017-12-25,2021-02-01,0.27094423191139727,0.47194354728604115,0.20099931537464388,1.0492492035742431,1.586788700562077,0.537539496987834,True,current_qmom_rd5
