family,q_window,rsi_weight,threshold,rebalance_days,train_days,train_annual_return,train_sharpe,train_max_drawdown,train_total_return,test_days,test_annual_return,test_sharpe,test_max_drawdown,test_total_return,full_days,full_annual_return,full_sharpe,full_max_drawdown,full_total_return,full_annual_turnover,same_path_as_selected
top1_lo,20,0.25,,1,2215,0.2647774034475432,1.0895147266445082,-0.2849299695182552,6.882637133952165,958,0.47640200636643093,1.4617146709930626,-0.25504107542942456,3.397908204338747,3173,0.325257981103209,1.2126456676285833,-0.2849299695182552,33.66711452323356,82.51749133312322,False
top1_lo,20,0.25,,2,2215,0.2619088947660204,1.0757157728788524,-0.2837202250949441,6.726878108573777,958,0.44254951756795746,1.3816207621239696,-0.28150770450869933,3.026700808752775,3173,0.3139248330910509,1.1761060611920202,-0.2837202250949441,30.113826328928173,67.26883075953356,False
top1_lo,20,0.25,,3,2215,0.2192744139892293,0.9279545172612516,-0.2852092976386863,4.712214443901919,958,0.4378288547824818,1.375762040162043,-0.271527176877728,2.9768358900567375,3173,0.28150658070769996,1.0767689344503466,-0.2852092976386863,21.716539412209638,59.64450047273873,False
top1_lo,20,0.25,,5,2215,0.2684665856242969,1.10307696830366,-0.2574996335895967,7.087045727608523,958,0.3956219303321946,1.2690556383096192,-0.2550410754294248,2.5509730303353773,3173,0.3055858016226536,1.1553019230253505,-0.2574996335895967,27.71688127382674,47.41380397100536,False
top1_lo,20,0.25,,10,2215,0.30313555812531745,1.2261612148121799,-0.4330337869774964,9.249956885104067,958,0.3555845817524934,1.4036024882626432,-0.2001068119647188,2.179002599267365,3173,0.3187535701130866,1.279488985312165,-0.4330337869774964,31.584639580124218,32.16514339741569,False
top1_lo,20,0.35,,1,2215,0.2230714081274645,0.9489272318241602,-0.30232526019074013,4.870480912468751,958,0.5401783096113304,1.595156146314429,-0.25504107542942456,4.164966901864041,3173,0.3112335315654411,1.167017448998618,-0.30232526019074013,29.32083961092571,110.7910494799874,False
top1_lo,20,0.35,,2,2215,0.20539577177040536,0.8880166417165115,-0.3048785976046462,4.165400363942279,958,0.4360949264481637,1.3547375303366187,-0.3061234592947827,2.9586349902414986,3173,0.27084305408191134,1.0448883552317214,-0.30612345929478246,19.44793461930807,87.60037819098645,False
top1_lo,20,0.35,,3,2215,0.18330780613418196,0.8127561408635797,-0.3134165524381215,3.3904176618350066,958,0.4182668807070038,1.325990363445447,-0.271527176877728,2.7750363596927996,3173,0.24981870780050142,0.9852195148429684,-0.3134165524381215,15.573986307664573,74.41664040340372,False
top1_lo,20,0.35,,5,2215,0.1465356331982015,0.6986073701045533,-0.35718601300264485,2.3265784546099146,958,0.38432797861182677,1.2414434672326515,-0.2550410754294248,2.4429631586923883,3173,0.21366924171634083,0.8846169040494081,-0.35718601300264485,10.453287063721831,59.00913961550583,False
top1_lo,20,0.35,,10,2215,0.19819588004025124,0.8700156099620842,-0.4219964365917833,3.9004349145833066,958,0.2395424798276089,1.0431731306084149,-0.2327479575288921,1.2622542382978263,3173,0.2105318616767331,0.9207510676305146,-0.4219964365917833,10.086029655018741,38.201071541128265,False
top1_lo,20,0.4,,1,2215,0.2230714081274645,0.9489272318241602,-0.30232526019074013,4.870480912468751,958,0.5401783096113304,1.595156146314429,-0.25504107542942456,4.164966901864041,3173,0.3112335315654411,1.167017448998618,-0.30232526019074013,29.32083961092571,110.7910494799874,False
top1_lo,20,0.4,,2,2215,0.20539577177040536,0.8880166417165115,-0.3048785976046462,4.165400363942279,958,0.4360949264481637,1.3547375303366187,-0.3061234592947827,2.9586349902414986,3173,0.27084305408191134,1.0448883552317214,-0.30612345929478246,19.44793461930807,87.60037819098645,False
