arm,fee_bps_one_side,start,end,trading_days,total_return,annual_return,sharpe,max_drawdown,annual_turnover_sum_abs,avg_holding_days,switch_count,train_end,is_annual_return,is_sharpe,oos_annual_return,oos_sharpe
O-A0,0.0,2025-03-28,2026-07-14,314,0.5652517467708176,0.43272590567771596,1.2944820120904867,-0.2532508606404722,48.955414012738856,10.129032258064516,30,2026-02-09,0.5657731958596184,1.6185776001967012,0.18476558067658133,0.6673683389114039
O-A0,1.0,2025-03-28,2026-07-14,314,0.5557331636058072,0.4257293642111455,1.2789456300745539,-0.25505250836130944,48.955414012738856,10.129032258064516,30,2026-02-09,0.5585856337028485,1.6032985030151228,0.178237511263988,0.6511235428239189
O-A0,5.0,2025-03-28,2026-07-14,314,0.5182157782942838,0.3980696136801576,1.2167137052876857,-0.26221932659438807,48.955414012738856,10.129032258064516,30,2026-02-09,0.5301498756904239,1.5421019779538574,0.15247024876324033,0.5860467639176777
O-B1,0.0,2025-03-28,2026-07-14,314,0.6264171531538174,0.47748720076742934,1.4148737888625085,-0.22588868171805732,53.77070063694268,9.235294117647058,33,2026-02-09,0.4513002220479527,1.3790576268181882,0.5351257756641705,1.4816243983139417
O-B1,1.0,2025-03-28,2026-07-14,314,0.615533906942312,0.46954741635183916,1.3972486880936572,-0.2275992222814447,53.77070063694268,9.235294117647058,33,2026-02-09,0.44361547074624674,1.3613495709403076,0.526617533793486,1.464227057523673
O-B1,5.0,2025-03-28,2026-07-14,314,0.5727032996997643,0.4381972345716645,1.326689214354958,-0.23440707874986877,53.77070063694268,9.235294117647058,33,2026-02-09,0.4132663497991911,1.2904567271447627,0.4930368661598552,1.3945818817049125
O-B2a,0.0,2025-03-28,2026-07-14,314,0.7574524927799224,0.5722832308679762,1.6224983571853275,-0.1695149359610726,47.35031847133758,10.466666666666667,29,2026-02-09,0.6610342734310664,1.8275407900968244,0.39796554132212814,1.20249070636253
O-B2a,1.0,2025-03-28,2026-07-14,314,0.7471427452708084,0.564876643451701,1.6072383285681804,-0.17117019785631538,47.35031847133758,10.466666666666667,29,2026-02-09,0.6530453164026258,1.8115554854894136,0.39167605736472666,1.1886278525805845
O-B2a,5.0,2025-03-28,2026-07-14,314,0.7064851462986079,0.5355832064617083,1.5460432733875005,-0.17776159511787126,47.35031847133758,10.466666666666667,29,2026-02-09,0.621456449080878,1.7474605880023735,0.36678754985528395,1.1330240323475491
O-B2b,0.0,2025-03-28,2026-07-14,314,0.7639529111938561,0.576948761105236,1.619310128980485,-0.18898990892980438,48.955414012738856,10.129032258064516,30,2026-02-09,0.619975411037033,1.749950810737098,0.48867256227863565,1.362037890309946
O-B2b,1.0,2025-03-28,2026-07-14,314,0.7532379612511066,0.5692565244636889,1.603550728985551,-0.1904542202691084,48.955414012738856,10.129032258064516,30,2026-02-09,0.611784517548219,1.7328974194384028,0.4819789820575644,1.3486882767785555
O-B2b,5.0,2025-03-28,2026-07-14,314,0.7110044143711514,0.5388460510915507,1.540382616846317,-0.1962879930794701,48.955414012738856,10.129032258064516,30,2026-02-09,0.5794171449068557,1.6645773075310868,0.4554912294396143,1.2951335940427455
