branch,arm,asset,held_share
E,E-A0,518880.SH,0.3326
E,E-A0,513100.SH,0.3186
E,E-A0,159915.SZ,0.2416
E,E-A0,510300.SH,0.1071
E,E-B1,513100.SH,0.2818
E,E-B1,518880.SH,0.2796
E,E-B1,159915.SZ,0.2383
E,E-B1,512890.SH,0.2003
