window_end,sharpe_a0,sharpe_P-B1,b_leads
2017-05-15,1.5361979397052878,1.400035827915947,False
2017-06-16,1.5428615795825165,1.4981196533560173,False
2017-07-19,1.5677662942746524,1.4510688125832458,False
2017-08-18,1.592539260834293,1.493167624332426,False
2017-09-18,1.583255420341655,1.492065971916795,False
2017-10-27,1.671771301788526,1.5632170408805652,False
2017-11-28,1.5346589237113841,1.4688192827688917,False
2017-12-27,1.515973278625891,1.442248606579918,False
2018-01-29,1.6068651290318599,1.5370935440207356,False
2018-03-07,1.454241201209363,1.4923604152069947,True
2018-04-09,1.258135714424746,1.311060378646043,True
2018-05-10,1.4509071386343266,1.4866138650413905,True
2018-06-12,1.3471399919831786,1.3959639867686182,True
2018-07-12,1.1670236899278799,1.2111242520028458,True
2018-08-10,1.0101009074309142,1.0636233906742378,True
2018-09-12,0.8032916751447075,0.8035578601176078,True
2018-10-23,0.9936353777251743,1.108030575127547,True
2018-11-21,0.8865647274902339,1.002341325101185,True
2018-12-24,0.9178014137367877,1.0639209903124873,True
2019-01-25,0.7367500328350209,0.9112866087056111,True
2019-03-07,1.1679221089063245,1.3664173384902416,True
2019-04-08,1.4210967163073618,1.6530426364335211,True
2019-05-14,1.2624513563286743,1.6656454334404107,True
2019-06-13,1.1548262649434675,1.5604338369742745,True
2019-07-12,1.1244772707660722,1.5354501069723263,True
2019-08-12,1.2348751196364947,1.6479130642572528,True
2019-09-10,1.3876765701683673,1.8002957808803395,True
2019-10-21,1.1632947638249136,1.6498521046094523,True
2019-11-21,1.113362366686323,1.627247688370615,True
2019-12-23,1.3207170100271046,1.7717108092727964,True
2020-02-04,1.194923599043288,1.5905275094257967,True
2020-03-04,1.344475877593324,1.726353533650969,True
2020-04-07,1.1433381257391695,1.4960298706755002,True
2020-05-11,1.107254635336054,1.4810757874856737,True
2020-06-09,0.9840948918152957,1.342200547487299,True
2020-07-10,1.2403418435796563,1.744723213005028,True
2020-08-10,1.1093065237821662,1.6765419787896851,True
2020-09-08,1.0969098152556351,1.616090413624882,True
2020-10-15,0.9942670489440294,1.5060795900263855,True
2020-11-16,0.9520487884580534,1.5337066632212162,True
2020-12-16,0.9302488242837322,1.4530418490854746,True
2021-01-15,0.9235677494201339,1.4809709815900844,True
2021-02-22,0.9351860342461564,1.4204049523007203,True
2021-03-24,0.8374784634436393,1.380769183063043,True
2021-04-26,0.8173224885410856,1.3903204293432887,True
2021-06-02,0.8387847170963655,1.339147160027719,True
2021-07-05,0.8977962405905408,1.3978941987962776,True
2021-08-03,0.7574956340045301,1.2556841985955305,True
2021-09-02,0.6827758951650342,1.2856073912831825,True
2021-10-12,0.5978297609002312,1.226351965396734,True
2021-11-11,0.6194335918355306,1.1851234821192518,True
2021-12-13,0.6934402807582534,1.2170254942862766,True
2022-01-12,0.7171186364551054,1.2768553486327694,True
2022-02-22,0.755939841925264,1.2127385486694962,True
2022-03-23,0.7416864982561026,1.174439819997865,True
2022-04-27,0.6472908256740385,1.0448502148787622,True
2022-06-06,0.39055180069930373,0.7623700791204299,True
2022-07-06,0.5193824228356113,0.8884495150463136,True
2022-08-04,0.7829783197049004,1.015687584132168,True
2022-09-05,0.677173737332245,0.9415358476317918,True
2022-10-13,0.6911074630343407,0.8576243161997703,True
2022-11-11,0.6202344082575167,0.7895710334411814,True
2022-12-13,0.5551026704505906,0.7049118089196494,True
2023-01-13,0.6638460517238702,0.77154687028065,True
2023-02-20,0.6990167645777932,0.7818512164204986,True
2023-03-23,0.5928855436362117,0.7592593802925888,True
2023-04-25,0.6094080544971388,0.7989336225953865,True
2023-05-30,0.593586286154375,0.823364654845576,True
2023-06-30,0.8464135746553496,1.069367325642704,True
2023-08-01,0.8801448463092999,1.110418058363044,True
2023-09-04,0.8830119695084462,1.118035728486661,True
2023-10-12,0.5940449843041484,0.7114988824512759,True
2023-11-13,0.6042819481828577,0.7017133610682089,True
2023-12-12,0.4752973460699751,0.5886328147430852,True
2024-01-15,0.5768240661738308,0.6891523474103084,True
2024-02-26,0.7450422681706053,0.727120018236018,False
2024-03-27,0.8284284417090233,0.8483999447560463,True
2024-04-30,0.8716330372541837,0.8555472648941298,False
2024-06-05,0.8941822704955645,0.8824010256506444,False
2024-07-08,1.2884878451156607,1.1291897415369239,False
2024-08-06,1.0428230397094294,0.8669302866073962,False
2024-09-06,1.1087375758599975,0.8660395611953589,False
2024-10-16,1.0182028023914254,0.9021626419741323,False
2024-11-14,1.1230558638823953,1.0063649835749986,False
2024-12-16,1.2127868363326852,0.982000842607295,False
2025-01-16,1.2082222502196192,0.9268832896798737,False
2025-02-24,1.2516683406189464,1.030536112683708,False
2025-03-25,1.171483100021943,0.9663329931308069,False
2025-04-28,1.312364340376543,0.9548498113617296,False
2025-05-30,1.2538920548424426,0.9914130641969744,False
2025-07-07,1.2783906759997299,0.9718181821366693,False
2025-08-05,1.4272461254638849,1.1851599886326318,False
2025-09-03,1.6037635540768447,1.4256752208511505,False
2025-10-10,1.6422038815424382,1.4664850117969006,False
2025-11-11,1.4900230061305144,1.3043216930179196,False
2025-12-15,1.4056977907417174,1.2105393072958661,False
2026-01-15,1.424575976170497,1.2795486965971266,False
2026-02-13,1.3135900448557802,1.1762676605646405,False
2026-03-27,1.2116340380790946,1.1765147289349285,False
2026-04-29,1.290778687128253,1.3258667261608468,True
2026-06-02,1.4548931938329743,1.4903567583887236,True
2026-07-02,1.3567860077233167,1.3486420059999054,False
