branch,arm,asset,held_share
O,O-A0,159915.SZ,0.3726
O,O-A0,518880.SH,0.3185
O,O-A0,513100.SH,0.2771
O,O-A0,510300.SH,0.0318
O,O-B1,159915.SZ,0.3248
O,O-B1,518880.SH,0.3089
O,O-B1,513100.SH,0.2357
O,O-B1,512890.SH,0.1306
O,O-B2a,159915.SZ,0.3471
O,O-B2a,513100.SH,0.2771
O,O-B2a,518880.SH,0.2452
O,O-B2a,159201.SZ,0.1306
O,O-B2b,159915.SZ,0.3567
O,O-B2b,518880.SH,0.2994
O,O-B2b,513100.SH,0.2675
O,O-B2b,159399.SZ,0.0764
