window_end,sharpe_a0,sharpe_E-B1,b_leads
2022-04-01,0.8750322073751403,1.1751112283562288,True
2022-05-09,0.6254189821420849,0.9109293461473459,True
2022-06-08,0.6679321464339245,0.8231556840662518,True
2022-07-07,0.9306999708861249,1.0014953638782311,True
2022-08-05,0.896584762581847,0.9677043989513172,True
2022-09-05,0.8792359959136014,0.95257631227114,True
2022-10-12,0.7560931271276058,0.7774127305191285,True
2022-11-10,0.7311676615352029,0.7532185772417767,True
2022-12-09,0.8750484693934796,0.8809770254064547,True
2023-01-10,0.8192364649718907,0.7422224915862372,False
2023-02-15,0.8035002401719107,0.7398191024611409,False
2023-03-16,0.7390579534976696,0.6957670681101374,False
2023-04-17,0.7367498203451013,0.6913527171027442,False
2023-05-19,0.8166200581959748,0.8870831271069084,True
2023-06-19,0.9856900426989047,1.048018606159558,True
2023-07-20,1.0861383534866293,1.143760327279287,True
2023-08-18,0.7605450169317569,0.7149349994288221,False
2023-09-18,0.9223864436269481,0.8899268577505431,False
2023-10-25,0.7365865377847385,0.6406178989884375,False
2023-11-23,0.7531878797515194,0.7432260082465665,False
2023-12-22,0.8198575397607553,0.7370169113018894,False
2024-01-23,0.8220768938373356,0.578965308394739,False
2024-02-29,0.7904838806350911,0.6040116632536967,False
2024-03-29,0.9579857322770493,0.7000920319751461,False
2024-05-06,1.1169011746089066,0.8454848182259936,False
2024-06-04,1.0691115894245162,0.7747864067236213,False
2024-07-04,1.2293245201109528,0.871993536777376,False
2024-08-02,1.107856453867817,0.7718296256260085,False
2024-09-02,1.0448703131372195,0.6711691123723663,False
2024-10-10,1.2586811206506512,1.0251184693799218,False
2024-11-08,1.1592877080860702,0.7306921115529325,False
2024-12-09,1.1605985298914754,0.866280103190475,False
2025-01-08,1.1082127246792999,0.7960705773124233,False
2025-02-14,1.1975279547395492,0.8376589021251385,False
2025-03-17,1.1819199735248118,0.8479661685995264,False
2025-04-16,1.2498961985576722,0.9052277880416238,False
2025-05-20,1.2187827385755898,0.8771463405105157,False
2025-06-19,1.2925892346295655,1.0139628705789168,False
2025-07-18,1.3449173911561871,1.0783167010136852,False
2025-08-18,1.3858434336900205,1.1181386670015208,False
2025-09-16,1.4901341742035634,1.2267468965305643,False
2025-10-23,1.5748730961479942,1.2707671595290966,False
2025-11-21,1.394540739755082,1.1453881640021857,False
2025-12-22,1.420487203794332,1.1499154716049333,False
2026-01-22,1.3272363424328693,1.0812502376892585,False
2026-03-02,1.3787060972156806,1.175880146840519,False
2026-03-31,1.1248137338024748,1.0295034837648749,False
2026-04-30,1.2604378197847972,1.1410739556688811,False
2026-06-03,1.4018170396107825,1.2841732352719677,False
2026-07-03,1.3146349175083198,1.1763358022584423,False
