window_end,sharpe_a0,sharpe_P-B1p,b_leads
2017-03-21,1.363725502554731,1.3054950125720632,False
2017-04-26,1.2666017648923675,1.2843816082646324,True
2017-05-31,1.3182044974349068,1.3119061859467662,False
2017-07-03,1.4257029575142208,1.3966540437607375,False
2017-08-03,1.3511990817827668,1.2529679553601272,False
2017-09-01,1.4412695110114138,1.3447659872736961,False
2017-10-09,1.3544304881744544,1.286757672376992,False
2017-11-13,1.3662628989942487,1.27755881952012,False
2017-12-12,1.3357939543801192,1.2663010389312845,False
2018-01-12,1.4240501630314824,1.363472846545565,False
2018-02-13,1.0623524512626037,1.163977876139903,True
2018-03-21,1.0428421431105965,1.1467114413559347,True
2018-04-23,1.1325107920764896,1.213185763271795,True
2018-05-24,0.9692651692122808,1.0609505580820677,True
2018-06-25,0.9239645229892567,1.0323469815549366,True
2018-07-24,0.850245896289371,0.9622299822163951,True
2018-08-22,0.7810607907382886,0.8730698516673839,True
2018-09-20,1.0238818941195322,1.121246210949376,True
2018-10-29,0.8568845127317939,1.0801556162510932,True
2018-11-27,0.8148075750976919,1.0351729691240297,True
2018-12-26,0.7059360389280074,0.9677840960106843,True
2019-01-28,0.8078119276508519,1.1147455298919178,True
2019-03-05,1.4355201147433787,1.7401233670150125,True
2019-04-03,1.5722298503636722,1.8715029611852463,True
2019-05-08,1.2388980073209022,1.6999235859628155,True
2019-06-06,1.2914382535521836,1.6789238134536002,True
2019-07-08,1.2482376461966234,1.7214135401819297,True
2019-08-06,1.356137122402924,1.828196457851706,True
2019-09-04,1.4717815186195078,1.9559834311581463,True
2019-10-11,1.3182047357706999,1.7650958238293608,True
2019-11-11,1.3167066869504156,1.77332372974804,True
2019-12-10,1.38330857855521,1.8482822364734313,True
2020-01-09,1.466167771325449,1.8987720009604114,True
2020-02-17,1.605708082315125,1.9789427641722168,True
2020-03-17,1.191851560725786,1.530177996893188,True
2020-04-16,1.3457802406986692,1.7202999382338393,True
2020-05-20,1.2099579448704996,1.5798492382917868,True
2020-06-18,1.2956897377066503,1.6797311586362746,True
2020-07-21,1.307111917703787,1.877143956584584,True
2020-08-19,1.1279688717953738,1.6930780183042764,True
2020-09-17,1.1644242473411814,1.7455093061609082,True
2020-10-26,1.0705576923286604,1.5909286694669844,True
2020-11-24,1.1150105991489736,1.692817931973354,True
2020-12-23,1.1128708107433396,1.673859865835788,True
2021-01-22,1.1733257967283532,1.758020781984171,True
2021-03-01,1.029388246626521,1.5401286040123843,True
2021-03-30,1.1099362531697559,1.5871790753728225,True
2021-04-29,1.1329160838755352,1.60180600029976,True
2021-06-02,1.1183807174751412,1.5975710502861133,True
2021-07-02,1.15596552064735,1.60689551244698,True
2021-08-02,1.011691079074318,1.4620525367036288,True
2021-08-31,0.8866174354531076,1.429555758935637,True
2021-10-08,0.9204950084206149,1.4802530114048458,True
2021-11-08,0.9759619690412051,1.4883009298471417,True
2021-12-07,1.0075202737882196,1.4515269740240697,True
2022-01-06,1.0166389790229433,1.5373252310057208,True
2022-02-11,0.9345470717707238,1.423400824470986,True
2022-03-14,1.033306321570449,1.4614713038897913,True
2022-04-14,0.6619608739680958,1.1198679133012248,True
2022-05-18,0.5826815219640885,1.024576012694386,True
2022-06-17,0.8124072809025501,1.0230091889905775,True
2022-07-18,0.8476181242613251,1.0547685780066487,True
2022-08-16,0.9963203620741204,1.152310557263155,True
2022-09-15,0.8153600518246968,1.052256684327361,True
2022-10-21,0.7337570312960725,0.8981145390004552,True
