,510880.SH,512890.SH,515450.SH,511010.SH,511260.SH,511090.SH,511360.SH,511880.SH
510880.SH,3298.0,1827.0,1563.0,3247.0,2169.0,762.0,1417.0,3231.0
512890.SH,1827.0,1827.0,1562.0,1827.0,1827.0,762.0,1416.0,1827.0
515450.SH,1563.0,1562.0,1563.0,1563.0,1563.0,762.0,1417.0,1563.0
511010.SH,3247.0,1827.0,1563.0,3247.0,2169.0,762.0,1417.0,3231.0
511260.SH,2169.0,1827.0,1563.0,2169.0,2169.0,762.0,1417.0,2169.0
511090.SH,762.0,762.0,762.0,762.0,762.0,762.0,762.0,762.0
511360.SH,1417.0,1416.0,1417.0,1417.0,1417.0,762.0,1417.0,1417.0
511880.SH,3231.0,1827.0,1563.0,3231.0,2169.0,762.0,1417.0,3231.0
