date,asset,side,shares,notional
2018-09-04,510880.SH,sell,527500,1650385.1623616235
2018-09-04,511880.SH,buy,13700,1661349.44162
2018-10-09,511880.SH,buy,200,24318.665139999997
2018-11-02,511880.SH,sell,13900,1690557.3814799997
2018-11-02,511260.SH,buy,16500,1707255.0
2018-12-04,511260.SH,buy,200,20955.600000000002
2019-01-03,511260.SH,sell,16700,1771536.0
2019-01-03,511010.SH,buy,15200,1788657.6105600002
2019-02-11,511010.SH,sell,15200,1797303.3735999998
2019-02-11,510880.SH,buy,574300,1820258.3134594096
2019-03-04,510880.SH,buy,5800,20026.244280442803
2019-04-02,510880.SH,sell,580100,2120749.9691236163
2019-04-02,512890.SH,buy,1794300,2138805.6
2019-05-07,512890.SH,sell,1794300,1991673.0000000002
2019-05-07,511880.SH,buy,16200,1999969.3152
2019-06-04,511880.SH,sell,16200,2003768.97984
2019-06-04,511010.SH,buy,17100,2023212.39282
2019-07-02,511010.SH,sell,17100,2028041.0207099998
2019-07-02,510880.SH,buy,598100,2054212.7968173432
2019-08-02,510880.SH,sell,598100,1998949.0189206642
2019-08-02,511880.SH,buy,16200,2011368.30912
2019-09-03,511880.SH,sell,16200,2015385.66288
2019-09-03,510880.SH,buy,605200,2038865.7054243544
2019-10-09,510880.SH,sell,605200,2036658.3445018448
2019-10-09,511880.SH,buy,16400,2045315.5958399998
2019-11-04,511880.SH,sell,16400,2048260.62912
2019-11-04,512890.SH,buy,1803300,2075598.3
2019-12-03,512890.SH,sell,1803300,2064778.5
2019-12-03,511260.SH,buy,19300,2077471.3
2020-01-03,511260.SH,sell,19300,2090209.3
2020-01-03,512890.SH,buy,1722400,2113384.8000000003
2020-02-04,512890.SH,sell,1722400,1820576.7999999998
2020-02-04,511260.SH,buy,16600,1838118.0
2020-03-03,511260.SH,sell,16600,1854369.4000000001
2020-03-03,512890.SH,buy,1600900,1873053.0
2020-04-02,512890.SH,sell,1600900,1703357.6
2020-04-02,511010.SH,buy,13700,1711368.79648
2020-05-07,511010.SH,buy,200,25538.92656
2020-06-02,511010.SH,sell,13900,1740235.1030000001
2020-06-02,512890.SH,buy,1560400,1763251.9999999998
2020-07-02,512890.SH,buy,17000,19958.0
2020-08-04,512890.SH,buy,14900,20055.4
2020-09-02,512890.SH,sell,1592300,2168712.6
2020-09-02,515450.SH,buy,2022700,2186538.6999999997
2020-10-12,515450.SH,sell,2022700,2117766.9
2020-10-12,511880.SH,buy,16700,2125348.59944
2020-11-03,511880.SH,sell,16700,2128360.37096
2020-11-03,515450.SH,buy,2038300,2156521.4
2020-12-02,515450.SH,buy,17400,19975.199999999997
2021-01-05,515450.SH,sell,2055700,2224267.4000000004
2021-01-05,511360.SH,buy,22100,2233492.3000000003
2021-02-02,511360.SH,sell,22100,2235901.1999999997
2021-02-02,511880.SH,buy,17600,2255748.95744
2021-03-02,511880.SH,sell,17600,2260201.13792
2021-03-02,512890.SH,buy,1645800,2284370.4
2021-04-02,512890.SH,sell,1645800,2351848.2
2021-04-02,515450.SH,buy,1963100,2369461.7
2021-05-07,515450.SH,sell,1963100,2343941.4
2021-05-07,512890.SH,buy,1619700,2361522.6
2021-06-02,512890.SH,buy,13100,20095.4
2021-07-02,512890.SH,sell,1632800,2470426.4
2021-07-02,511880.SH,buy,19200,2483065.6819200004
2021-08-03,511880.SH,sell,19200,2486769.69984
2021-08-03,511260.SH,buy,21800,2502661.8
2021-09-02,511260.SH,sell,21800,2507174.4
2021-09-02,510880.SH,buy,603000,2530794.3376383763
2021-10-11,510880.SH,sell,603000,2504787.4594095936
2021-10-11,515450.SH,buy,1918300,2522564.5
2021-11-02,515450.SH,sell,1918300,2357590.7
2021-11-02,511360.SH,buy,22900,2368730.2
2021-12-02,511360.SH,buy,200,20737.0
2022-01-05,511360.SH,sell,23100,2400644.4000000004
2022-01-05,512890.SH,buy,1464300,2423966.78394
2022-02-08,512890.SH,sell,1464300,2429959.28526
2022-02-08,511260.SH,buy,20900,2446198.7
2022-03-02,511260.SH,sell,20900,2435309.8000000003
2022-03-02,510880.SH,buy,608100,2454105.5797416973
2022-04-06,510880.SH,buy,4700,19861.975405904057
2022-05-06,510880.SH,sell,612800,2407544.5576383765
2022-05-06,511360.SH,buy,23100,2423166.9
2022-06-02,511360.SH,sell,23100,2428780.1999999997
2022-06-02,511260.SH,buy,20700,2439495.0
2022-07-04,511260.SH,sell,20700,2435251.5
2022-07-04,510880.SH,buy,597700,2461937.5482287826
2022-08-02,510880.SH,sell,597700,2407154.0424354244
2022-08-02,511260.SH,buy,20400,2424560.4
2022-09-02,511260.SH,sell,20400,2447367.6
2022-09-02,512890.SH,buy,1410600,2464959.74088
2022-10-11,512890.SH,sell,1410600,2427436.9345199997
2022-10-11,511880.SH,buy,18400,2436785.784
2022-11-02,511880.SH,sell,18400,2438490.6359999995
2022-11-02,511260.SH,buy,20500,2460717.5
2022-12-02,511260.SH,sell,20500,2436548.0
2022-12-02,512890.SH,buy,1404800,2457699.0047999998
2023-01-04,512890.SH,sell,1404800,2362840.4467199994
2023-01-04,511260.SH,buy,19900,2374925.7
2023-02-02,511260.SH,sell,19900,2370806.4
2023-02-02,515450.SH,buy,1839200,2394020.7966400003
2023-03-02,515450.SH,sell,1839200,2480746.0656000003
2023-03-02,510880.SH,buy,587800,2498235.4045202956
2023-04-04,510880.SH,sell,587800,2496521.3493542434
2023-04-04,515450.SH,buy,1781300,2513991.79746
2023-05-05,515450.SH,sell,1781300,2693702.16682
2023-05-05,512890.SH,buy,1341000,2711026.7495999997
2023-06-02,512890.SH,sell,1341000,2560109.2685999996
2023-06-02,511010.SH,buy,19300,2565553.36373
2023-07-04,511010.SH,sell,19300,2570397.67917
2023-07-04,515450.SH,buy,1726700,2599774.42906
2023-08-02,515450.SH,sell,1726700,2698236.3885000004
2023-08-02,510880.SH,buy,599200,2715301.3328413283
2023-09-04,510880.SH,sell,599200,2648904.002952029
2023-09-04,511090.SH,buy,25800,2664108.0
2023-10-10,511090.SH,sell,25800,2635470.0
2023-10-10,510880.SH,buy,592800,2655184.011808118
2023-11-02,510880.SH,sell,592800,2574802.464575646
2023-11-02,511260.SH,buy,21000,2586801.0
2023-12-04,511260.SH,sell,21000,2593290.0
2023-12-04,512890.SH,buy,1377700,2616078.1587199997
2024-01-03,512890.SH,sell,1377700,2599163.86028
2024-01-03,511090.SH,buy,24700,2608443.5
2024-02-02,511090.SH,buy,200,21975.6
2024-03-04,511090.SH,sell,24900,2815642.2
2024-03-04,515450.SH,buy,1771800,2838917.9322
2024-04-02,515450.SH,sell,1771800,2862847.50864
2024-04-02,511880.SH,buy,21100,2866744.4526
2024-05-07,511880.SH,sell,21100,2870934.8492999994
2024-05-07,515450.SH,buy,1736300,2901419.45954
2024-06-04,515450.SH,sell,1736300,2916342.2635200005
2024-06-04,510880.SH,buy,593100,2933304.409095941
2024-07-02,510880.SH,sell,593100,2959575.5109686344
2024-07-02,511090.SH,buy,25900,2972990.27487
2024-08-02,511090.SH,buy,200,23605.229999999996
2024-09-03,511090.SH,sell,26100,3094850.54934
2024-09-03,511880.SH,buy,22700,3103325.8984
2024-10-09,511880.SH,sell,22700,3106914.0193
2024-10-09,515450.SH,buy,1672500,3132224.55
2024-11-04,515450.SH,sell,1672500,2961763.3499999996
2024-11-04,511360.SH,buy,26900,2977426.5
2024-12-03,511360.SH,sell,26900,2983586.6
2024-12-03,511090.SH,buy,24400,3000642.3624
2025-01-03,511090.SH,buy,100,13196.20578
