date,arm,transaction_cost_rate,transaction_cost_bps_one_side,gross_return,net_return,benchmark_return
2014-01-02,B,5e-05,0.5,0.02511773940345363,0.02511773940345363,0.009568360941810156
2014-01-03,B,5e-05,0.5,0.014548238897396537,0.014548238897396537,0.001366032344305268
2014-01-06,B,5e-05,0.5,-0.019622641509433936,-0.019622641509433936,-0.010610295126145725
2014-01-07,B,5e-05,0.5,0.019245573518090975,0.019245573518090975,0.0054233644822059834
2014-01-08,B,5e-05,0.5,0.038519637462235634,0.038519637462235634,0.009914124757866127
2014-01-09,B,5e-05,0.5,-0.019636363636363563,-0.019636363636363563,-0.0065502568897006785
2014-01-10,B,5e-05,0.5,-0.017804154302670683,-0.017804154302670683,-0.0047673129805184955
2014-01-13,B,5e-05,0.5,-0.0007552870090635766,-0.0008552870090635766,0.002337840438253802
2014-01-14,B,5e-05,0.5,-0.011111111111111072,-0.011111111111111072,0.007284102037804052
2014-01-15,B,5e-05,0.5,0.009507346585998278,0.009507346585998278,0.0025985471154046647
2014-01-16,B,5e-05,0.5,0.011130136986301498,0.011130136986301498,-0.000215683252084653
2014-01-17,B,5e-05,0.5,0.0016934801016088574,0.0016934801016088574,-0.004058866708774284
2014-01-20,B,5e-05,0.5,-0.01562733880599687,-0.01572733880599687,-0.003979038317529993
2014-01-21,B,5e-05,0.5,0.029061102831594576,0.029061102831594576,0.008835568894221213
2014-01-22,B,5e-05,0.5,0.01303403330919628,0.01303403330919628,0.008194950962247427
2014-01-23,B,5e-05,0.5,0.022158684774839177,0.022158684774839177,0.005488357187225457
2014-01-24,B,5e-05,0.5,0.016083916083916128,0.016083916083916128,0.007820442107996456
2014-01-27,B,5e-05,0.5,-0.00550584996558845,-0.00550584996558845,-0.008043188046615496
2014-01-28,B,5e-05,0.5,-0.0027681660899654403,-0.0027681660899654403,-0.0022089974495529963
2014-01-29,B,5e-05,0.5,0.017349063150589705,0.017349063150589705,0.00733255702265509
2014-01-30,B,5e-05,0.5,-0.0020463847203273655,-0.0020463847203273655,-0.005730866081688407
2014-02-07,B,5e-05,0.5,0.02392344497607657,0.02392344497607657,0.008863531124081198
2014-02-10,B,5e-05,0.5,0.012016021361815676,0.012016021361815676,0.014963383548541043
2014-02-11,B,5e-05,0.5,-0.0158311345646438,-0.0158311345646438,-0.001559666337693305
2014-02-12,B,5e-05,0.5,0.009383378016085908,0.009383378016085908,0.0061562681026308685
2014-02-13,B,5e-05,0.5,-0.037184594953519334,-0.037184594953519334,-0.011827599824731277
2014-02-14,B,5e-05,0.5,0.020000000000000018,0.020000000000000018,0.010628750380541008
2014-02-17,B,5e-05,0.5,0.028397565922920753,0.028397565922920753,0.014004826123272918
2014-02-18,B,5e-05,0.5,-0.009204470742932291,-0.009204470742932291,-0.008369047594227297
2014-02-19,B,5e-05,0.5,-0.0006635700066356387,-0.0006635700066356387,0.006150975901785399
2014-02-20,B,5e-05,0.5,-0.0021534359376127465,-0.0022534359376127464,-0.008324255596048713
2014-02-21,B,5e-05,0.5,0.00623538581449723,0.00623538581449723,0.001657857630108922
2014-02-24,B,5e-05,0.5,0.006584043377227067,0.006584043377227067,-0.0009128222736954072
2014-02-25,B,5e-05,0.5,0.005001923816852605,0.005001923816852605,-0.014204569240788972
2014-02-26,B,5e-05,0.5,0.014931087289433265,0.014931087289433265,0.005964479020363539
2014-02-27,B,5e-05,0.5,-0.018483591097698926,-0.018483591097698926,-0.012829388425872362
2014-02-28,B,5e-05,0.5,0.007302075326671931,0.007302075326671931,0.011778656548865285
2014-03-03,B,5e-05,0.5,0.011446012972147868,0.011446012972147868,0.00693988055434841
2014-03-04,B,5e-05,0.5,-0.003017729158808047,-0.003017729158808047,-0.005726375261310507
2014-03-05,B,5e-05,0.5,-0.007188800605372525,-0.007188800605372525,0.00013470638661075562
2014-03-06,B,5e-05,0.5,-0.0003810975609755962,-0.0003810975609755962,-0.0004056553366406923
2014-03-07,B,5e-05,0.5,0.009912314144109757,0.009912314144109757,0.0016152537631233532
2014-03-10,B,5e-05,0.5,-0.014722536806342057,-0.014722536806342057,-0.023826873358256062
2014-03-11,B,5e-05,0.5,0.011877394636015337,0.011877394636015337,0.0029724202416364642
2014-03-12,B,5e-05,0.5,0.010223400227186819,0.010223400227186819,0.0017487496705035077
2014-03-13,B,5e-05,0.5,0.009745127436281864,0.009745127436281864,0.014696957072887373
2014-03-14,B,5e-05,0.5,-0.0007423904974015461,-0.0007423904974015461,-0.008049785794705888
2014-03-17,B,5e-05,0.5,0.011144130757800852,0.011144130757800852,0.010156838862481476
2014-03-18,B,5e-05,0.5,-0.013225569434239581,-0.013225569434239581,0.0014973750414959408
