arm,description,transaction_cost_rate,transaction_cost_bps_one_side,eval_start,eval_end,eval_days,train_end,annual_return,sharpe,max_drawdown,annual_turnover_single_side,avg_holding_days,is_annual_return,is_sharpe,oos_annual_return,oos_sharpe
A1,recency-weighted WLS slope x weighted R2(26),5e-05,0.5,2014-01-02,2026-06-04,3016,2022-09-05,0.3298868179375851,1.2313300035143802,-0.3588748995804756,13.87002652519894,17.952380952380953,0.3264495866500341,1.2414919966536084,0.33795191611697106,1.210202731060358
A2,equal-weight OLS slope x R2(26),5e-05,0.5,2014-01-02,2026-06-04,3016,2022-09-05,0.3687792432667638,1.3342599890128282,-0.30575615562346736,13.36870026525199,18.617283950617285,0.3400546653823029,1.2768980077430805,0.4383105681296442,1.4605722861202242
A3,equal-weight OLS slope x ER(25),5e-05,0.5,2014-01-02,2026-06-04,3016,2022-09-05,0.26764327672860855,1.0351298144453858,-0.3516190068191606,15.958885941644562,15.708333333333334,0.227651559841211,0.9279355340531455,0.3662263136865245,1.269981854446728
B,production baseline: pct_change(20) x ER(20),5e-05,0.5,2014-01-02,2026-06-04,3016,2022-09-05,0.3425953608627472,1.2674706686757278,-0.2577231896027776,22.810344827586206,10.967272727272727,0.31041254038637933,1.2393735417944478,0.42089764893063575,1.3370811925608066
B_prime,window-matched baseline: pct_change(25) x ER(25),5e-05,0.5,2014-01-02,2026-06-04,3016,2022-09-05,0.31659305551304406,1.194168074095208,-0.39279606107196596,19.384615384615383,12.944206008583691,0.19739017048603835,0.8623232347655716,0.6434008503170443,1.8599084948531734
A1,recency-weighted WLS slope x weighted R2(26),0.0001,1.0,2014-01-02,2026-06-04,3016,2022-09-05,0.32804734220223253,1.2259993018746704,-0.35933111782479954,13.87002652519894,17.952380952380953,0.32461936849999606,1.236074004000264,0.3360906727995827,1.2050602891183952
A2,equal-weight OLS slope x R2(26),0.0001,1.0,2014-01-02,2026-06-04,3016,2022-09-05,0.36695414005012195,1.3291577382708506,-0.3058961297518189,13.36870026525199,18.617283950617285,0.3382507687494418,1.2716040643090065,0.4364356192909138,1.4558815630772695
A3,equal-weight OLS slope x ER(25),0.0001,1.0,2014-01-02,2026-06-04,3016,2022-09-05,0.2656218700177455,1.02903213429828,-0.35278598109455517,15.958885941644562,15.708333333333334,0.2256471508271427,0.9215631186909291,0.3641693242557065,1.264468793357764
B,production baseline: pct_change(20) x ER(20),0.0001,1.0,2014-01-02,2026-06-04,3016,2022-09-05,0.33954072810638936,1.2586701290583797,-0.2579467007454499,22.810344827586206,10.967272727272727,0.30743331700625687,1.2299626926620821,0.4176593224232066,1.329341469385443
B_prime,window-matched baseline: pct_change(25) x ER(25),0.0001,1.0,2014-01-02,2026-06-04,3016,2022-09-05,0.3140441690019662,1.1866352084072092,-0.3932221273009624,19.384615384615383,12.944206008583691,0.19496458482220724,0.8539806101366102,0.6405639372632852,1.8538744636022295
A1,recency-weighted WLS slope x weighted R2(26),0.0003,2.9999999999999996,2014-01-02,2026-06-04,3016,2022-09-05,0.32071302207950336,1.204650555953268,-0.3611532099691809,13.87002652519894,17.952380952380953,0.317321898693812,1.214373984477062,0.3286697071620166,1.1844687784584744
A2,equal-weight OLS slope x R2(26),0.0003,2.9999999999999996,2014-01-02,2026-06-04,3016,2022-09-05,0.3596762186682627,1.3087227227183915,-0.30645588515602673,13.36870026525199,18.617283950617285,0.331057640184544,1.2504039945729488,0.42895837658041547,1.437089881597454
A3,equal-weight OLS slope x ER(25),0.0003,2.9999999999999996,2014-01-02,2026-06-04,3016,2022-09-05,0.25756641742777275,1.0046218806760492,-0.3574340718848844,15.958885941644562,15.708333333333334,0.21766019764568068,0.8960536960775715,0.3559702436406862,1.242397725622171
B,production baseline: pct_change(20) x ER(20),0.0003,2.9999999999999996,2014-01-02,2026-06-04,3016,2022-09-05,0.3273885166710091,1.2234281929088966,-0.2588402967011063,22.810344827586206,10.967272727272727,0.2955810559017449,1.192275378486074,0.40477645102850723,1.2983493746245365
B_prime,window-matched baseline: pct_change(25) x ER(25),0.0003,2.9999999999999996,2014-01-02,2026-06-04,3016,2022-09-05,0.30389534605174084,1.1564758385096028,-0.3949238308563652,19.384615384615383,12.944206008583691,0.185308874503596,0.8205861862328079,0.6292623573019365,1.8297071500007847
A1,recency-weighted WLS slope x weighted R2(26),0.0005,5.0,2014-01-02,2026-06-04,3016,2022-09-05,0.3134163006180295,1.1832618000184938,-0.36297085956078645,13.87002652519894,17.952380952380953,0.31006174090351557,1.1926306575453796,0.32128701658319647,1.163843813333232
A2,equal-weight OLS slope x R2(26),0.0005,5.0,2014-01-02,2026-06-04,3016,2022-09-05,0.3524341613735109,1.2882474487428042,-0.3070154147855204,13.36870026525199,18.617283950617285,0.32390032090932497,1.2291665581992433,0.42151709864737663,1.4182532145734565
A3,equal-weight OLS slope x ER(25),0.0005,5.0,2014-01-02,2026-06-04,3016,2022-09-05,0.2495590419026763,0.9801822951087541,-0.36205062442618474,15.958885941644562,15.708333333333334,0.20972212631670462,0.8705147939350542,0.34781718566190634,1.2202980488716186
B,production baseline: pct_change(20) x ER(20),0.0005,5.0,2014-01-02,2026-06-04,3016,2022-09-05,0.315341757262527,1.1881265441623634,-0.2622193265943884,22.810344827586206,10.967272727272727,0.2838315646428584,1.1545226098460257,0.3920055734883485,1.2673068261930214
B_prime,window-matched baseline: pct_change(25) x ER(25),0.0005,5.0,2014-01-02,2026-06-04,3016,2022-09-05,0.29382089135405276,1.1262747565968765,-0.39662144239487473,19.384615384615383,12.944206008583691,0.17572736796946997,0.7871572823683268,0.6180341558775859,1.8054916451922591
