portfolio,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,traded_notional,estimated_transaction_cost,meets_5pct_return_floor,trigger_signals,rebalance_dates,deposit_trade_count,rebalance_trade_count,average_cash_weight
strategy,0.06383723804556651,0.045685728050704144,1.3775151461023811,-0.050609527879078686,1.5551738702896707,1.261367981896468,0.019280156509322577,0.17724877483779866,5534621.5414276915,3280000.0,454,178716689.36464,89358.34468232,True,109,109,86,368,0.029497726003678615
calendar,0.06583566636287608,0.04311030224854304,1.5006708695233368,-0.05912863943001101,1.8364877769379506,1.1134311054257218,0.009961889154295411,0.13290202086439917,5530870.910917308,3280000.0,504,161299254.1654,80649.6270827,True,164,94,176,328,0.031169797831788318
static,0.05277867728843444,0.04393344884691901,1.192792140751641,-0.05253679748246021,1.3259166236860154,1.0046040074303155,0.011299621113231462,0.12179518937135314,4864897.596398405,3280000.0,375,9945683.563189998,4972.841781594999,True,164,70,219,156,0.031102043394630748
