portfolio,year,calendar_return,volatility,sharpe,max_drawdown,deposits
strategy,2013,0.028302834238009833,0.0029196795208567875,10.166231349341594,-0.0009716437499998065,240000.0
strategy,2014,0.044486314160067986,0.008182446464939588,5.475878211378034,-0.0041177415399616946,240000.0
strategy,2015,0.03119259364476412,0.0043868674330851684,7.234011458226867,-0.0011624384641700791,240000.0
strategy,2016,0.02607294000182292,0.0025153276630107708,10.570107626347811,-0.0009200084837553968,240000.0
strategy,2017,0.019280156509322577,0.012189280180959383,1.6241756662915683,-0.012006570482330003,240000.0
strategy,2018,0.04994034370872358,0.011335878875657252,4.464349235120857,-0.004862263305010828,240000.0
strategy,2019,0.061183551432022476,0.047022829478850385,1.3278355039410126,-0.029262034121689706,240000.0
strategy,2020,0.053750909690501336,0.06987267387644833,0.8122023590673261,-0.04751204495987105,240000.0
strategy,2021,0.10292751725689242,0.06184739592958176,1.673791691715688,-0.0391241535752368,240000.0
strategy,2022,0.07323819751323746,0.07823225721250893,0.9799311735539087,-0.0506095278790788,240000.0
strategy,2023,0.1018084505991339,0.04870512417874959,2.097498861280254,-0.03559809716617979,240000.0
strategy,2024,0.17724877483779866,0.07569440568884175,2.2830416071844053,-0.045701615828344644,240000.0
strategy,2025,0.04104869547555068,0.034365846865559206,1.231170076143049,-0.017988535070548428,240000.0
strategy,2026,0.03396713882918756,0.053993596642063074,1.1247739395591876,-0.026161069130063885,160000.0
calendar,2013,0.02761043413281139,0.002715989659047249,10.66472478188773,-0.0006123160210941281,240000.0
calendar,2014,0.04449324788640596,0.008183561903639421,5.475967456858692,-0.004118248361644317,240000.0
calendar,2015,0.03119536294349512,0.004387283797304875,7.2339576118406,-0.0011625463892726007,240000.0
calendar,2016,0.026074544357653995,0.0025154734411024014,10.570137242144657,-0.000920057695833365,240000.0
calendar,2017,0.01821738791997185,0.0143361041653102,1.3077738930035878,-0.014031785692598664,240000.0
calendar,2018,0.04807947350553743,0.011634520689342205,4.191897950620959,-0.003653753519808123,240000.0
calendar,2019,0.09270553532198522,0.04942387114649663,1.8774971944725867,-0.03133330844409388,240000.0
calendar,2020,0.08035872763209029,0.05482575095870223,1.4894758898328504,-0.025826601895361123,240000.0
calendar,2021,0.13290202086439917,0.06170225159505296,2.1284386071695462,-0.033302847370849986,240000.0
calendar,2022,0.07543705537410994,0.05969417836202354,1.298553149728029,-0.047672693578380554,240000.0
calendar,2023,0.11419267085075147,0.05059582124972888,2.2510697578698147,-0.0391278538543548,240000.0
calendar,2024,0.1273939925876526,0.07474834342308312,1.7079922383036086,-0.05912863943001079,240000.0
calendar,2025,0.04162749109947872,0.04150394178103885,1.039816922156558,-0.021278713711484265,240000.0
calendar,2026,0.009961889154295411,0.060696900813500904,0.3199626646631886,-0.05444088082741583,160000.0
static,2013,0.02761043413281139,0.002715989659047249,10.66472478188773,-0.0006123160210941281,240000.0
static,2014,0.04449324788640596,0.008183561903639421,5.475967456858692,-0.004118248361644317,240000.0
static,2015,0.03119536294349512,0.004387283797304875,7.2339576118406,-0.0011625463892726007,240000.0
static,2016,0.026074544357653995,0.0025154734411024014,10.570137242144657,-0.000920057695833365,240000.0
static,2017,0.021869308413925204,0.011588119026370306,1.9339420353607644,-0.009439826719853772,240000.0
static,2018,0.05284910151060518,0.013651823540174761,3.9193128220477838,-0.00684796607210425,240000.0
static,2019,0.07996772534012808,0.05124646472157995,1.5761711324226853,-0.043112307713202624,240000.0
static,2020,0.05399036588258532,0.07046111826402383,0.8091013436080892,-0.04499555657957166,240000.0
static,2021,0.10824534711918332,0.060882165836810775,1.7813434621406532,-0.05253679748246054,240000.0
static,2022,0.029049736299797457,0.0683381262753644,0.47046199731517596,-0.04818797862978741,240000.0
static,2023,0.06595181833287467,0.04529048373504117,1.4911899169426193,-0.03967930714144485,240000.0
static,2024,0.12179518937135314,0.06908159240093026,1.7672642111957104,-0.03848936002961234,240000.0
static,2025,0.022035355754926655,0.040584940538385114,0.5772125493423075,-0.028697186791346585,240000.0
static,2026,0.011299621113231462,0.049356702905703244,0.4285355941445343,-0.035846851213523934,160000.0
