experiment,annualized_return,volatility,sharpe,max_drawdown,sortino,calmar,worst_calendar_return,best_calendar_return,final_nav,total_deposits,trades,rebalance_dates,traded_notional,estimated_transaction_cost,average_cash_weight,meets_5pct_return_floor
baseline_calendar,0.0658356663628763,0.043110302248543085,1.5006708695233377,-0.05912863943001134,1.8364877769379477,1.1134311054257193,0.009961889154295633,0.13290202086440028,5530870.910917307,3280000.0,504,94,161299254.1654,80649.6270827,0.031169797831788318,True
combo_risk_only_tilt_075,0.07307671845095554,0.04685978805816948,1.5286945681204054,-0.07145315965017351,1.8107849096121855,1.0227220015004344,0.011633479272346703,0.14275835008908144,5929909.607989316,3280000.0,443,85,233432417.36139,116716.208680695,0.030942508854413974,True
combo_risk_only_zsigmoid_075,0.06953302704551079,0.04516317499326112,1.511150224708926,-0.06439009232024229,1.8022165417984906,1.0798715227754336,0.01868391597390162,0.13107599473760856,5739834.156660336,3280000.0,454,90,189171198.85935003,94585.59942967501,0.030929907527299787,True
combo_risk_only_tilt_025,0.05958159402534924,0.04222316041015366,1.3919163739927813,-0.04928872273292706,1.6644401689340003,1.2088281197342954,0.012025086034567423,0.12703532873269818,5198362.530856853,3280000.0,451,90,76906592.7863,38453.296393150005,0.031134042007523864,True
combo_risk_only_zsigmoid_025,0.05844880329850244,0.0422243910748479,1.3665432451684576,-0.04779233758367196,1.617879776020821,1.2229743564263575,0.014036415765110943,0.1227406135899678,5144225.405728419,3280000.0,453,91,65208077.30317,32604.038651585,0.03095218307791976,True
combo_risk_only_tilt_050,0.06631924909499154,0.043236429203701125,1.5069110345588432,-0.060446385718919804,1.8457277025650982,1.0971582222199519,0.012161048799354868,0.13078674782534572,5551472.329764633,3280000.0,452,90,151278313.01075,75639.156505375,0.030991667128372972,True
combo_risk_only_zsigmoid_050,0.06397100034818393,0.04262756977174568,1.4761011222157314,-0.055650720871711745,1.7970407390489107,1.1495089254216926,0.01635985383613181,0.12292626156129582,5432837.245237904,3280000.0,450,90,124927074.54420999,62463.53727210499,0.031061459546185253,True
combo_risk_only_tilt_100,0.07982632809354406,0.05263715714125829,1.4854958093207133,-0.08295452488999511,1.7018103802713442,0.9622902210506382,0.010459220811451786,0.17226753378904158,6334247.85492401,3280000.0,427,89,324571837.31201994,162285.91865600998,0.030629674227442345,True
combo_risk_only_zsigmoid_100,0.07505400459284117,0.04947840003696247,1.4875529100728546,-0.07310428368613398,1.7061991224232649,1.0266704057326945,0.020341332343312146,0.1538995561517218,6062010.77411699,3280000.0,457,87,258127851.22605,129063.925613025,0.031025677590186408,True
combo_risk_only_tilt_125,0.08078437094796587,0.05392597428868796,1.4677091405906935,-0.08592714074431496,1.6787692133565328,0.9401496459465359,0.011236901644243291,0.17508845709719867,6395740.802517035,3280000.0,418,82,335763425.14597,167881.712572985,0.030691721796927557,True
combo_risk_only_zsigmoid_125,0.079880335046556,0.054683612950283685,1.4328312658176083,-0.0815179865868042,1.620292851233056,0.9799105496980799,0.020946327140942467,0.17073769322494337,6352432.781068067,3280000.0,453,89,317881401.9839,158940.70099195,0.030874297254964544,True
combo_risk_only_tilt_150,0.08149194728526599,0.05501086048494099,1.4517327246867828,-0.08848366691708942,1.65666115986087,0.9209829353209923,0.01192144738586931,0.17722484792413895,6442338.557170583,3280000.0,418,83,344966286.31888,172483.14315944002,0.030840285780212216,True
combo_risk_only_zsigmoid_150,0.08260627498496209,0.05807266778470398,1.395915793430665,-0.08372811810042258,1.5694262565985706,0.9866013575736294,0.021869308413925204,0.17629853944366025,6530800.928194842,3280000.0,439,87,346002779.01035,173001.389505175,0.030776307972824588,True
combo_risk_only_tilt_200,0.08267214381007748,0.05674664309070915,1.4282514613508703,-0.09252323859467493,1.6248486045217923,0.8935284266501625,0.01320266090981348,0.1807795317540164,6520838.938107693,3280000.0,425,84,360473577.26465,180236.78863232498,0.030758839226292883,True
combo_risk_only_zsigmoid_200,0.08421381451657672,0.06043525006137294,1.3682125732252237,-0.08658614799765885,1.529254496140152,0.9726014664476555,0.021869308413925204,0.18031980807604886,6636936.6329965675,3280000.0,430,86,364326185.68691,182163.092843455,0.03071041694299248,True
